,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.015224982515701908,
BMP1,0.017182163432318074,-0.09676697485723978,0.04469686367173579,0.004228677958840421,0.042960618309979645,0.0628903264634133,0.07866514864267292
NDP,0.009434165644495287,0.03889879762645367,0.0020879409336813344,0.10439019679869031,0.026367370738166487,0.0410588826808698,-0.0076016980067957285
TNFSF18,,0.04909095373404112,,,,0.006440364832528387,-0.03202299432911116
RTN4,0.026899034123970145,0.01967686389045135,-0.052866253590601354,-0.06930275963697871,-0.02183344005548499,0.024946762908796386,-0.1438285234508885
HEBP1,-0.011677723898151821,-0.028170044172686516,-0.01377278388632612,0.003690808621586058,0.04167758684447125,0.042182492929911844,0.01440839044467834
WNT7B,-0.07193466275709465,,0.0002736235269681961,0.04017641519100219,0.007275876002123092,0.04990518924803759,0.03067535903071513
PTMA,-0.03593278102171118,-0.0030776430608978854,0.02429142730456911,-0.02927524664063828,-0.019967130807563942,-0.0026293777931865846,-0.043877630330466516
FASLG,,,,,,-0.013204622141790428,
CEACAM1,0.031266544236827454,-0.029222894900890917,0.012853617263675076,0.028095004941625455,-0.01603498154134533,-0.01837229230432348,
PDAP1,-0.04988302043251796,-0.06482929260535009,-0.023999067364304683,-0.03572348121570019,-0.003915590153326768,-0.021263648213045633,-0.042838938694965904
QDPR,0.0137137080777293,0.045696632146059284,0.02171119425195603,-0.015989216512888142,0.02902894355803379,0.02340291845123836,-0.10417111823286597
POMC,-0.011488130690546368,0.0029278194554437312,-0.009853614265397303,0.032343069559596066,0.07548814470781345,0.030191470161042244,-0.007562210810462933
CCL18,-0.0464467468172169,,-0.02305520710817656,0.007494515210011288,-0.041316418910554764,,
CCL17,,,-0.01660153215727061,0.007529290101413239,,-0.011968506833406048,
VEGFD,-0.031031874553083427,0.008205742751143184,,0.02809784508450812,,,
TNFSF13,,,-0.03185584662141588,-0.0277625835261538,-0.018006209565815192,0.024573882812508503,0.021961358836128434
WNT5A,-0.032103651339906725,-0.02087585388876418,-0.04965224578437014,-0.03316319167314687,-0.03535881136857744,0.050500489322909875,0.052575530017460216
CXCL8,-0.01660629896352436,-0.07619807487658228,0.010323915461193817,-0.010384467350203647,-0.04894834336760578,-0.03743032842655679,0.018577213319612478
GRN,-0.08323282906734929,-0.06815270772908348,-0.009925606906526637,-0.03535757538591848,0.06628364501631222,0.02920343128140097,-0.05881034871462461
MIA,-0.029720057339332834,0.07001425415814029,0.09104792672454763,0.03600757974825164,0.06606548987290907,0.10568611286732406,0.14319949086450104
COL4A4,,-0.031107716547036403,0.10264425878280657,-0.02832970568389762,0.028430317087158364,0.064771776669655,-0.011635097090535533
TAC1,,,,,-0.027664911244327368,-0.01573381924151108,-0.03848666865252534
RARRES2,0.01828176632088037,0.009298698780443372,0.05018061235912736,0.035241458047034525,-0.01598654478529205,-0.014866905761758085,-0.011105755502728569
FGF7,0.042498213529807385,-0.02054460364218376,-0.017889032994578502,-0.05752489469072827,-0.08316108019497535,0.019786493078013292,0.050360459711162736
EFNA2,,,,-0.016816277305827625,,,
HBEGF,-0.04177419511331167,0.0025663606344146013,0.039606020702463794,0.02049704273198561,0.013665856383570768,0.009319236904575664,0.038630945040169395
CSF3,,,-0.034067984245812644,0.025688356926982528,-0.022988336396604598,0.0528047088824537,0.01413945951596424
