,UKF243,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.016020372870584467,,,,,,,,,,0.09895630329692004,
BMP1,0.014430447295387075,-0.03330072120156611,-0.034108278365669695,-0.010324247347221463,0.0866024669016737,-0.04961563229417886,-0.003307533555424455,0.00651455260582581,0.009694780540431427,0.011150377386224007,0.033270492814401996,0.021850029819481885,-0.0418355213268141,-0.010817584294890376,-0.027015866522019615,-0.010231773777029636
NDP,-0.04149953136636189,0.005189592469496036,-0.02461142710918413,0.014370368564537462,0.01144521696151504,0.004536829467884098,0.0053723292318708015,0.017029593706483354,0.06787095511387975,0.013407972554196877,0.01239759233985139,0.009341464126598604,0.05751738918236761,0.012080686531863612,0.033931887865454806,-0.0528172847315086
TNFSF18,-0.02528569966875761,0.034992775934824624,,,0.1059193526369044,-0.020702783207238402,,,,-0.0644255999429467,,,,,-0.029616042306323087,-0.037159121481630766
IL36G,,,,,,,,,-0.015082912256850173,,,,,,,
RTN4,0.03745888035005383,-0.006813298502784638,-0.017256039702979037,0.006252971345364478,-0.07431388805891928,-0.02045993330401894,-0.035714953023135654,0.02410891418866594,-0.03875068288980376,-0.042189636089254065,-0.07647532100609926,-0.02532102127495602,-0.00017177686218699124,0.055645157577606096,-0.06168857610294846,-0.014173747057810677
HEBP1,0.0172903152370615,-0.029298341525530718,-0.018232087232631776,0.03664923986516828,-0.004070439755144103,0.025496539284759225,0.027434442701119777,-0.04726805821034685,0.04134302618234805,0.06396810509473916,-0.03238578064816434,0.07287709734858148,0.03877690581711708,0.07575738390217869,0.05562687719958972,-0.07863056688578876
WNT7B,0.03629778203909681,0.01605025949483795,0.025428089683391452,-0.04005467463825494,0.024551780007781607,-0.01231707819705692,0.01981865281209878,0.024224256297825146,-0.016577858746195134,,-0.002608668150801862,-0.034443839834238085,-0.024981638886484633,0.04328394401400673,-0.042667396626701326,0.016689038241913593
PTMA,0.05359411891250316,-0.028981222569694588,0.06549141530379139,-0.017201038390059386,-0.07288227284631772,0.03321518566041745,-0.06837268484028425,0.054102338698039425,0.04108217643972624,-0.02559656053768543,-0.07129616882664858,-0.010143438582483,-0.07487525361888467,-0.007231090912141391,-0.067507833118991,-0.10008831797332692
FASLG,,,,,,,,,,,,,,,0.06260313422542983,
CEACAM1,,0.026627645716620043,0.018301533396650783,-0.023235681478336996,0.05664274610474665,0.0035903205484871144,,,,-0.04530213071013772,0.07468503248319837,-0.019300582293606268,-0.017888123361098223,-0.014826660991910582,-0.028832078652114998,
PDAP1,-0.0016824491525533447,-1.9289831074487763e-05,0.0016662835704433139,0.0007176304511820984,0.07791453119566351,0.011823411950755931,-0.037596152176741386,0.052926081253578255,0.023484688638641428,0.020925460706880093,0.05090688644552756,-0.02158892036162934,-0.01098699526331414,-0.024036987611324563,0.0827928644372506,0.09537437257531013
