,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.020846989755219144,,,,,,,,,,0.09042217259586054,,0.05415227727612423,
BMP1,0.092547050463281,-0.0015155295841116896,0.09845703145693571,0.12036811163979913,0.01905522991661655,-0.03670009159357053,0.06305277454911805,0.1324218596652613,-0.03342649809379636,-0.014369770390206055,-0.04657644303723699,0.03396945818226807,0.06560661221973192,-0.02101394602965625,0.030519403849218134,-0.02227865201594599,-0.05119412807340826,0.04119100715391237,-0.01564450454924613,0.09144867563644252,-0.020625714040293733
NDP,0.11589469557492629,0.021158032359246143,0.03379612322374724,0.024845202266827293,-0.027107768262742474,0.028746152665939814,0.06905516745581315,0.011606392851403111,0.05995661290891499,0.030040914822815297,0.0225115094051836,0.05568415286341796,0.022426997248521784,0.01892032745893738,0.03758077039657213,-0.022290282039993333,0.02915604359821134,0.023630993598242358,-0.03270973299179572,0.03751998548024763,0.025716145551241965
TNFSF18,0.11008705190459256,0.022635911320923997,-0.020791592447436516,,,,-0.015533977951760853,0.03727423075962972,0.03993956168484716,,,,,-0.0466338726115327,,,,-0.009181739484139565,,-0.010263178485299009,-0.03090682503673645
IL36G,,,,,,,,,,,,,0.06046381533838974,,,,,,,,
RTN4,-0.0397487883250257,0.033304005055719885,-0.05006834182041595,-0.018957235111827456,0.05426981348413439,-0.009408227707569907,-0.01512248065821924,-0.2045029424738899,0.005443213509451314,0.006993558282784036,0.013025499875964033,-0.014609329005915899,-0.0963489264699608,0.032809544416092545,0.03560324956900781,0.06521880417670951,0.025269624428772185,-0.07646587904178852,0.02109827190202414,0.031605197683788507,-0.003737047541281452
HEBP1,0.05557312293591736,-0.04821672388919398,-0.0014015332594286517,0.052353301239530844,0.007332236785329087,0.007212809746949588,0.004603553668780096,0.14709439488982662,0.07421518199555764,-0.010833089973076467,-0.031064940516272208,-0.005258774418204328,0.03754251914174072,-0.08371010746986648,-0.01742521109507261,-0.0242200991850283,0.029668214932035662,-0.02821394808466061,0.010201191114914866,-0.022795489404054754,0.10926635070440086
WNT7B,-0.04590381302758924,-0.017177262480924434,-0.030114336535787933,0.06369037198605479,-0.00845481986489186,0.025474345178249293,-0.012783112239111851,-0.057365812679070545,-0.006043730772219511,-0.005995535425429101,,0.010148168002013649,-0.023210976922527136,,-0.034477280638715524,-0.016991653923462215,-0.023609965279054554,0.03242432508123637,-0.032415456950889855,0.05079806461861712,0.002701412199163433
PTMA,-0.14493800260569495,-0.037405437728446275,0.04925491860212189,0.029423985427647063,-0.024780628693797553,0.03650669350347269,0.04413740637141524,-0.0584568977463469,0.0001689189776060855,-0.03560944489811635,-0.04558993801862679,0.017900264771613425,0.10506370560994244,0.02066916526067027,-0.08952472175291681,0.002009244867515633,-0.028227607472483672,-0.06259056637933032,0.01982442742983598,0.07422635590783591,-0.018411042280254614
FASLG,,,,,,,,,,,,,,,,,,,,-0.010328293268102426,
