,UKF248,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,0.011237031829353629,
BMP1,-0.040288957769165495,-0.013588902213001927,0.08151756295195811,-0.051640442651183366,0.07327616143049605
NDP,0.013840227476988947,-0.005925985584700116,0.021782136994285384,0.06039769126197667,0.0311315849392312
TNFSF18,0.03029563331665445,-0.0066224518590771156,,-0.02609801530061904,-0.01593626221688422
RTN4,-0.009003513938847837,0.07592339010005006,-0.13970087821470895,-0.0014594877575930707,-0.09412725554731183
HEBP1,0.03200396949160468,0.04293897348647362,-0.02148640070886255,0.04644583707734537,0.0516449166737007
WNT7B,-0.021557258818454376,,0.03925247096197111,-0.03302306915662087,-0.022350558276404753
PTMA,-0.02802312725779192,-0.08480916236543705,-0.12763648454791401,-0.03147038041261309,0.0316358058265957
FASLG,,,,-0.013418612192275236,
CEACAM1,0.023532820574297057,-0.03961425219482192,-0.02214134306850795,0.0035184308644745613,
PDAP1,0.015478042800027209,0.036134622337256096,0.004338939957336718,0.032495507817574716,0.04121988726719989
QDPR,0.002896775274026111,-0.02696172993095116,-0.07324179622827752,0.027105488712794387,-0.029710739559964994
POMC,-0.011431448157470468,0.058808852448401575,0.05205987277594479,-0.012735536890174516,0.01456458215188235
CCL18,0.01109564797199023,,-0.06309305059708871,,
CCL17,,,,-0.012162464778889602,
VEGFD,0.029286712665179276,-0.02114718175557582,,,
TNFSF13,0.0057374042871819525,,,-0.019817721197513512,-0.04380840857631697
WNT5A,-0.0032361989712983543,0.05374445882424286,0.07436857241251368,-0.042663316774328275,0.04704489665521197
CXCL8,-0.03208100318401229,-0.00351286471997016,-0.01585973240058888,0.006347839963039558,0.030587826703196257
GRN,-0.004056271885298571,0.10242833396337771,-0.0030720428798647883,-0.11497029527255775,-0.023050971228937747
MIA,-0.03271990106407204,0.10546840886600098,0.07893254644091466,0.07289803733038545,0.06804372227418512
COL4A4,-0.025019234242334466,0.013349511609508154,-0.028338133098658864,-0.02339086374864415,0.018713853564205137
TAC1,0.0075808544342967086,,,-0.01598879668332323,-0.012810907896520427
RARRES2,-0.002545450469920364,-0.03001766493455334,0.07288556204867062,0.044792164669569784,0.005274949280491117
FGF7,,0.021161575256354762,0.09241755147028417,0.1258865440001671,0.013221483825155532
HBEGF,-0.021268040539270127,0.0705035068538465,0.05512877077050477,-0.05472386790282096,0.06913869752183652
CSF3,,,,-0.01280519913052335,-0.0017396227774531354
PI3,-0.021916292541622747,,,0.03139136126232512,0.025817205859280302
PCSK1N,0.03848263330213805,0.06643988442023155,0.07592754174329731,0.04035796974478102,-0.03963909977545615
NTS,,,,0.0030160154391004417,
SFRP1,-0.006875830803176432,0.027100291952469754,0.039020295693194935,-0.018522107422954383,-0.003981810548055849
CXCL13,,,,,-0.0065164176636909685
MICA,-0.005673778702022074,-0.007642865580126935,-0.0005403766439363221,-0.016169855851009298,0.029762093682148275
TG,-0.032805571024894835,0.10219489500436757,-0.06251113257489532,0.042037010592386216,-0.04588294686703372
ADA,0.0062533912444678015,0.044428039612170504,0.04155133277836291,-0.02049646098744048,-0.028954080637060637
LAMC3,0.003545109490040954,0.04481071608510834,0.04866798395400834,-0.07375581957840448,0.07376169069472761
CCL7,-0.013251002671454766,,,-0.013418607420776907,-0.029294493295017297
NGF,-0.022751313554203484,0.023535682508806898,0.03085586015390632,-0.04017490618739735,0.0882243032414433
TNFSF15,,-0.007196770129147216,0.01811971340870616,-0.022919963867427284,-0.011232443785578864
HMGB1,-0.030591004700301145,0.08570368285967572,-0.0034607695897633673,0.0773920124830223,0.012839624749865634
ITGB3BP,-0.008583911021635946,0.027368197612921877,0.12930851923915687,0.08816624251689431,0.035494652039996626
AANAT,-0.019225188876977092,,-0.06571405694021674,-0.014197446236339775,-0.03821151979190943
RELN,0.01866844810050222,-0.03246198074449828,,,0.010170936720114201
IL15,-0.04189929848011819,-0.057973853005932274,0.00839462493996234,0.03511199705960075,0.029596571925960193
BSG,-0.010844226280663186,0.07582176157442766,0.07921938628824178,0.028855588772161773,0.09795779175497446
ADAMTS3,0.03417341112077453,,-0.06999442143780847,0.09804054924205333,0.05091272790437903
CD34,0.01709506810695373,0.12419304216704315,0.0069894880024959395,-0.059083970449971164,0.01317551462559964
PLAT,-0.019781117157484512,-0.0005709249839555437,0.15934081719748855,-0.051894528658639305,0.04171326435212229
LTA,,,,-0.01910762302761479,
CKLF,0.033963158639347235,-0.05903827092833265,0.08202448998735244,0.08753502206073518,0.0741483955748769
CD24,-0.0244002751326863,-0.04438236084595567,0.07615937703057028,0.040282969209252215,0.026515799148655938
