,UKF248,UKF259,UKF275,UKF313,UKF334,ZH1007nec,ZH8811Bbulk,ZH916bulk
BMP1,-0.008167146301069725,-0.05824263913710885,-0.05385402361964339,-0.06727838318883722,0.02174953331563891,-0.06527194029608469,0.02175400188207585,-0.012836369138297247
NDP,-0.03838367574151519,-0.040228323684592115,-0.03983617070881577,-0.012232791261281973,0.06562213995391321,-0.1252011735998685,-0.0024178249673075004,0.009911466587247212
TNFSF18,0.02737950862525659,,0.04981043304475083,,,,,-0.004575319057388414
IL36G,,,,,-0.023253435583971464,,,
RTN4,0.0019509976792981775,0.015033952288992885,-0.03564927121170125,-0.013213777262057174,-0.06741581769948474,-0.12854509289102353,-0.05640524295685889,0.03343198693403465
HEBP1,-0.018066586375651256,0.01510269752515226,-0.06501987424365722,-0.06569110667429959,-0.005256067826891931,0.04712882334261411,0.08529084382275753,0.043740374868782704
WNT7B,-0.038815222182277724,-0.02340167877395307,0.013877230517651856,-0.024363893612980744,0.04143444515648422,0.16627065277431463,-0.009934854209324308,0.054714843545289174
PTMA,0.03924287000840694,-0.00720277481435357,-0.01799534735415095,-0.05154758958860837,0.09603130938202208,-0.022064724040336478,0.02180365932943326,0.0006059009827438687
CEACAM1,-0.01669368667725947,0.05225879386744027,-0.025795149495551135,,,-0.060593311420124654,-0.022878836728046276,
PDAP1,-0.01282637062068349,0.002672631601009326,0.015809274281169086,0.06207925429799651,0.03699645776083942,-0.11295467162856747,-0.05424774356780292,0.005747925192104606
QDPR,0.010704810368988803,0.011470904650611808,-0.1138840006934628,-0.023191959367049403,-0.017596383923028636,-0.08636667516113454,0.01822997841939859,-0.0035931807038055803
POMC,0.00546081264013662,-0.025164196800738184,-0.01903063279513701,0.0030188631408113726,-0.006870875369269546,0.032855912237214506,0.033793970350420074,0.01236951166199244
CCL18,-0.020832143686474267,,,-0.03141728747098048,,-0.030770268780598537,0.055620468958333245,
CCL17,,-0.015662418629282308,-0.006525571713331018,,-0.021242673570770334,,0.058016209203631035,
VEGFD,-0.004791971140230633,0.014974905680505524,-0.021793568030838484,0.0311555157438482,-0.022766431222276767,-0.05853378738643919,0.04954142820198034,
TNFSF13,-0.015720609117411202,-0.01080358583519926,,,,,0.033447830216891156,0.01690606640217836
WNT5A,-0.014169030380026594,0.05419398693881027,-0.01186679048212748,0.03944415582798201,0.016816060983424388,-0.02364912708429774,-0.004788053609668355,0.03274969272148537
CXCL8,-0.022932325396160032,-0.0066283659552892876,0.0590258481546918,0.06256025724005863,0.052714463006959505,0.18761211520065077,0.014790526378422765,0.008176548121474388
GRN,0.006387042719548333,0.01807004832412218,0.016470136020866426,-0.06132507970080339,0.017197739196916785,-0.03337448009876133,-0.0021030191261617415,0.0028939349465680808
MIA,-0.002222048604061382,-0.03297979912032011,0.04820249092224501,0.11116090579402524,0.0344193389246187,0.15104588689478277,0.11687334087342179,0.02968597452465107
COL4A4,-0.025019235311162753,0.06669904222169751,-0.02135613854086088,,0.01527426703292578,,-0.013249727667425888,0.09847254986370534
