,UKF243,UKF255,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH916bulk,ZH916inf
IGFL3,,,,,-0.023678095801710177,,,,,,,,
BMP1,-0.0056836500244675445,0.08641121204596088,-0.0763062866679504,-0.010730266704912877,-0.11270652345953651,0.051369726713496155,0.026664579849616694,0.0006306751894247851,0.1213851337970675,0.046757808855417284,0.16453028608757833,-0.056019489073293974,0.05616551066503258
NDP,0.008804175983069184,0.0004873464609194405,0.13200563431559234,-0.011324367616905447,-0.10834975136683127,-0.00037900956537987733,0.055152556938571864,0.026535993381292144,0.01995741224374411,-0.028861134949674676,-0.005144774112809495,-0.0587253607457953,-0.011396359400305572
TNFSF18,-0.023357414953259506,,,-0.013463318507689689,-0.03516126142962459,-0.012358478082985059,,,,,,-0.02634856523100631,
RTN4,0.1349006205729994,0.022544720333036027,0.1402804487085064,0.06613282512932192,0.14982711021604686,0.040312551375113796,-0.03695911824421152,0.027211650934935893,-0.0004574312011314654,-0.06908629222945173,-0.009668454011291926,0.09330589638494703,0.09649617563070712
HEBP1,0.03073482860724335,-0.021084967571874377,0.013076179701573624,-0.05824907416899618,-0.035216224846651586,-0.03621235467234165,-0.03557322006602153,0.054087115510511666,0.006849919038411578,0.04099685845686191,0.10868862513117321,0.01396865769584954,-0.08329156594439442
WNT7B,0.23879363022550856,0.0700133153198988,-0.006627145349904359,-0.013688373928374862,0.2151522254746225,-0.03542442700302276,-0.017755496902707772,,0.002457972567843029,0.08979276946838592,-0.042183223559691604,0.019217434579338666,0.04375995828818205
PTMA,0.011367006929962,0.09508416223445135,-0.057060240867598554,-0.06770368141537705,0.06437270534258234,-0.03421347725843179,0.02490292645746833,-0.0458660422768028,0.019896589169122975,-0.12361042666741458,0.04281888862405639,-0.008732041297946644,-0.10387546601726313
CEACAM1,,,-0.0129605654047567,,-0.037856490191148895,-0.019436941814405424,,,,-0.023839991951221322,-0.020435807922094092,,
PDAP1,-0.12018283277602981,0.02202789505208437,0.012141270990346979,-0.014457724939920286,-0.11100409565265963,0.013674524490215681,0.007203538730730819,-0.05972374560246504,0.04632188464647276,-0.020897423018451305,0.054539156805971704,-0.0266624872465203,-0.10999977883833181
QDPR,0.05596867143646143,0.014246479550755144,0.08513568645737804,0.015508294041802442,-0.01734615077085453,0.03697134279548116,0.005986345627345828,0.034472876392799175,0.04951973198303504,0.03234283709914054,-0.049967953429948385,-0.0017991879478220397,-0.030587064320357016
POMC,0.054496487302236815,,0.059095740191390723,-0.03551894964554367,-0.008703015761622631,0.1186237267588324,-0.003456718919109862,-0.05786782109620013,-0.045708833317164896,-0.03338203640348834,-0.02893043106165058,0.015916277200438343,0.011644527274230543
CCL18,-0.03132421399770014,,,,,,,0.09042307358419019,0.0015858100343100544,0.012774816320971789,0.026561261827748633,,
CCL17,,,,,,-0.0154134282912586,-0.021976327803362068,,,0.13901818874387584,0.15666873256319655,,
VEGFD,-0.0352932335852292,,-0.012399935175924354,,-0.03966716196942232,-0.016421704158634625,0.0014506914524300828,-0.017903222883271758,-0.030882735497951994,,-0.020435807922094092,,
TNFSF13,,,,-0.013056610345784762,,,,,,-0.01912645250600868,-0.01871078522549701,0.027899636636729896,
WNT5A,-0.09446100539972214,0.03688471756181335,-0.05963272803460333,-0.07887219641961628,-0.10442039565503664,0.010007002071091094,0.054909783950031814,-0.05851635045556296,-0.005743521529312855,0.05237636745128585,0.0829560927122222,-0.017807602026546937,0.04730547872059973
CXCL8,-0.11957501446413159,-0.15190651433367158,-0.0477085814819271,-0.01857218137615688,0.0004989261397343545,-0.05622748915182176,-0.015011553857256369,-0.02496290362603701,0.030671296299198517,0.18464120435421064,0.17435579197862108,0.021180832247499344,-0.03463145458986512
