,MGH258,UKF248,UKF259,ZH1019T1,ZH1019inf,ZH8811Bbulk
BMP1,0.07837878124023866,0.05213067744651625,0.054437740536836796,0.007783176394193543,0.08577933764441566,-0.004770006464935774
NDP,0.0444018439400426,0.05369374560032505,0.044157852034765646,0.043159344777466,0.046925760356013646,0.06353614344693909
TNFSF18,0.09175894228360372,0.07591432258686434,,-0.06103411898117587,,
RTN4,0.0401873482051626,-0.04587324926197426,-0.002018871619400616,0.047180182421153016,-0.06849322355382961,-0.044917899640289694
HEBP1,-0.03226031166770194,0.021053548694575923,-0.035307391432019386,0.022163958483939483,0.007375305501426412,0.00042185907008235476
WNT7B,0.0043395298745202175,0.02548003172169019,0.015001014491770097,,-0.050489633224083626,0.01724243798496722
PTMA,0.053082505521055375,0.06275549181527812,-0.0841901939737193,-0.0645931662351921,-0.14133623595126016,-0.04030997610751565
FASLG,-0.006895648895352521,,,,,
CEACAM1,0.001096548334178452,-0.011599538605980519,0.023345174652740372,0.07521601260086358,-0.020201179547224068,-0.013504274822972713
PDAP1,0.014897427420381304,0.05029534610444523,0.04853424241316078,0.0225964389206687,0.0015214665091133226,-0.026828150126185224
QDPR,-0.04563660660674373,0.010192675206836472,0.028779660423478747,0.04924198669081985,-0.054166652258145744,0.06983520893383943
POMC,-0.026429494535798334,-0.013354662514870858,0.02803714954882387,0.12705818582915074,0.013159254775836442,-0.0038417506535587476
CCL18,,-0.04029193679732158,,,0.04179567885432975,-0.0082377659772099
CCL17,,,0.029120563421353815,,,0.06543409066608716
VEGFD,,0.02058861271494611,0.01882403140696123,0.08647258703701882,,-0.013504274822972713
TNFSF13,,0.015590270912179101,-0.02478271728561986,,,-0.021189603369153074
WNT5A,0.006528381670720714,-0.050470624872941294,0.05313588812006006,0.0874090468280205,0.15417237202175918,-0.0196487836105154
CXCL8,,-0.11020839684930318,-0.06737749578377637,-0.0604441947095572,-0.06638751112159345,-0.09557487789271414
GRN,-0.15513509723817515,0.026758286330576475,0.03376144531375668,-0.0035723815562433985,0.03272473017401197,-0.07129135784689378
MIA,0.03817500919021083,0.011446180085013006,0.032964113720846906,-0.02668803982272928,-0.04888476546610048,0.10046176679771329
COL4A4,-0.003041137406660352,0.03223310658221917,-0.011472944399824294,0.08457671304349589,0.07549248641635224,-0.02162245550530708
TAC1,-0.0055227762294232305,-0.035465633603626465,0.15348710095604504,,,
RARRES2,0.10810987621782563,-0.018557589710006442,0.07417574463268253,-0.049184712413310856,0.06753109027522634,-0.028576455259309484
FGF7,0.016027872031795867,,0.0310179494105881,0.09490331979441481,0.04833679104770108,-0.025253989254184612
EFNA2,,,,,,-0.01283490947160936
HBEGF,0.01411385545470634,0.014642932884254703,-0.0067959712578179905,0.0994398403622721,-0.015945315086979675,-0.01530911506113244
CSF3,,,-0.06239673285328723,,,-0.06065348366959367
PI3,,-0.0010566758712572872,-0.034161127191127745,,,-0.11285934208770748
PCSK1N,-0.002842188446780574,0.03698416841834974,0.03999182374994436,0.09989297809606498,0.20253001497440465,-0.014621357560528509
NTS,,,,,,-0.01563690159479015
SFRP1,-0.013468488586399291,-0.04971147934805472,0.04026136731867543,0.05848264424138835,-0.011017431566269357,0.04326972940159216
CXCL13,,,,,,-0.03297654128088206
MICA,-0.01670176818766265,0.0053518200555553504,-0.038040567264283176,0.03837525817898682,0.005358279796334933,0.03127552197454457
TG,0.06540194966602673,0.0876729406817079,0.03211262262641793,-0.0782263521864283,0.058830435758852474,-0.0192585536841815
ADA,0.06719502288203469,-0.012786754405265955,-0.01575019026810234,0.03789482413473453,0.03109437621529825,0.026008718486324762
LAMC3,0.0043940508671898755,0.09043212576764892,0.01596515187196441,-0.05616969661700418,0.03603570165293079,0.06383100632372216
CCL7,,-0.02562907557587371,-0.05076622966565309,,,
NGF,,0.019426785065242872,0.016241044538440157,-0.029347494052892345,-0.08995930439868326,-0.012662386695045567
TNFSF15,,,-0.02424120478332197,-0.029577779827479368,0.07333852228056592,
HMGB1,-0.016261230126558536,0.038674495008396086,0.14515139807736935,-0.12866966723455722,-0.08253423979304927,-0.10376261515399036
ITGB3BP,-0.02850919558733283,-0.008851524373458954,0.011617690844878984,0.07369163889719993,0.0725832782380171,-0.016053154223252333
AANAT,,-0.037183889468976966,-0.014473258517300433,,0.01858488424207004,-0.017272311869589666
RELN,0.007353738703944955,0.06658018518455439,-0.02360222756386465,-0.0755673425269017,,
IL15,0.04821590458460484,0.02909941864750878,0.020724039463541427,-0.013337658225552423,-0.026328176224192694,-0.005790778812092702
BSG,0.05036494423911931,0.10394611584499928,-0.03245853525171703,-0.004038498086907578,0.07872826062238349,-0.004972934087108602
ADAMTS3,0.04063159122873343,0.01823069075685175,0.0756485636776663,,-0.028708771386694854,-0.01246122465966351
CD34,0.05308349126539269,0.07073235411008962,-0.001573030132697507,0.07912500182237518,0.08205877488059425,0.07273535600499662
PLAT,0.026556263319670585,0.09357659637691322,0.037402961485970665,-0.037527215392382844,0.1578730023138074,0.04968199076588211
NTF3,,,,,,-0.02245132605645691
LTA,,,-0.02803784395846068,,,
CKLF,-0.03357590388270353,0.10677100933493285,0.14047812202492088,0.03458746796425917,0.021363112440172874,-0.0006836571933294909
CD24,0.06497390384233381,0.12808068820826532,-0.0990248717595034,0.024451579148182506,0.07605794001799693,-0.005141367914081709
HSP90AA1,-0.00848060675688976,-0.023107718364522356,0.03792109102557923,0.021709417370878403,-0.09362486730388991,-0.14593275290790172
BMP4,0.016939613384838226,0.09668525597428032,-0.06828358391592104,0.1024499963991543,-0.0133987771273019,0.037862151650034995
SCGB3A1,,0.041227676063640965,,-0.1053827218749369,,0.07777409334112177
IGFBP4,-0.04782883238499105,0.06781693244763506,-0.061162307680432224,0.04466447095880468,0.01027261392017357,-0.04704084456782813
RSPO4,,,-0.011419477657364964,0.03480381490957568,,
LEFTY2,-0.004887549964848327,0.003863196142353259,-0.03687286254672832,,-0.0029935000837416044,-0.01475783988068656
PF4,,-0.0265860491829943,-0.012694322508922443,,,-0.011764083132908654
ANGPTL2,0.08446537428764096,0.08509548313552283,0.04970160351397347,-0.0002749070960299689,0.13955440897721708,0.10238441177380966
LRIG2,0.025712549979885518,0.012950409416212236,0.02299105669181811,-0.039003913658785846,0.10254898312048714,0.04559396757248702
ICOSLG,0.03121543347455567,-0.0012278589972545529,-0.04824978547302199,-0.002977327799885681,0.12432588071179732,0.07108096927486779
WIF1,,-0.018111239216997334,,,,
NPPC,0.05880423284615965,-0.029379080477135083,0.04667104491546106,-0.040794086165713984,-0.05950606914528969,0.0707451617273714
LYZ,-0.017368097436903297,0.006894805386569921,-0.06764122104064148,-0.02019310312365448,0.021494983391620762,0.023189185062935155
EREG,,,,,,-0.03738087889122732
SPTAN1,0.018625068448117885,0.08229522041655485,0.0855872654400263,0.11462975286425647,0.06600092849443279,0.04503975293052577
LIPC,0.13850615520886683,-0.03254831220454862,-0.013412696870132986,0.0107190058120539,0.06703007418943913,
COL8A1,-0.02705952272773138,-0.009906132801020772,-0.02407869508644527,0.10327214493964276,0.030157970310526895,-0.014802560065492376
GSTM2,-0.01570125731018682,0.047895043484508466,-0.011905821902406931,0.10082925260790883,0.02431988303446888,0.08905605871222208
SPX,-0.009343520227493464,-0.0028356894332184474,0.05929697707899795,,-0.021221614593590746,-0.01460661287799056
MFGE8,0.08344367066819137,0.0480603132830124,-0.06426659725524574,-0.019837742052954625,0.07741974895433744,0.06933257789964434
TGFA,-0.03452941368424208,0.026867625317777193,-0.026142199245014493,-0.01286187847029046,0.09356668180946622,-0.0008619307857035959
SLIT2,0.04332673934947101,-0.02550538734349128,0.006683665990741013,0.13747388919124365,0.01839583772096177,0.021590282647560518
PLTP,0.007555958976287103,0.07286901506686382,-0.007139972157630229,0.08713530447946399,0.04801138088183381,-0.07056235138493222
APOD,-0.05950720576460835,0.07541955125089163,0.12354336127152131,0.05310232595324579,0.013243502985230228,0.13544510751581135
B2M,0.015317448110883442,0.007715990514071321,0.12763751650733407,-0.004225173696435701,-0.10404091557310925,-0.0033614026529479118
OMG,-0.0047983784927393205,0.06466659433822174,0.11004152210266238,-0.012144297971640244,0.034099744705434955,0.12118859746208899
CXCL3,-0.017616390426144265,-0.02216569412521941,-0.025832774883998984,,,-0.052852172735978586
CXCL10,0.044168500061298265,0.009091548310049984,0.09738126227677472,0.03691308809919988,-0.028660439917215272,-0.015779045847621544
RSPO3,,-0.03481383925675432,0.06788436498397578,,,0.10399507609128658
CORT,-0.0037452074982635766,0.021794787274737163,0.09333958404524752,,,-0.012310515076076745
NCAN,0.013057017050236486,0.1288219506379257,-0.002324451756739557,-0.04567180146689266,0.06819738852354311,0.13699849364142758
PRG4,,0.0066696813415744426,-0.005841534530963456,,,-0.018164918324973665
ZG16B,,-0.01627875797236127,0.000491133097599973,,-0.05718221121147526,
TGM2,0.022851344839650452,0.013689705460493232,-0.023796280797105933,0.11606456369043928,0.01839637118260702,-0.036061674051962686
VEGFC,-0.028989526335490297,0.0017745728116741414,-0.042744330814210564,0.07440548953690665,0.03812372432395873,-0.024665785542970095
WNT6,,0.0037124747756569236,0.0030196795746070377,,-0.044053203744205134,0.049661808806527485
NRG4,,0.006302671349050426,-0.06178483347684795,-0.06673168112730189,,
PMCH,,-0.013905469654475333,-0.05460233516784024,,,0.028924339564384196
COL9A1,-0.034076021193973516,0.03038560678098639,0.03471922985511466,-0.05455814597863745,0.028446688577019517,0.09997083647143708
GDF11,0.0065546598452394245,0.0032265053135032444,0.05902397421346827,-0.029746679696570508,0.15782108186919358,-0.01815238665077908
IL24,,,,,,-0.011576510808434205
SORBS1,-0.06270274879969827,-0.019522692604290272,0.06074238787933963,0.071047783551794,0.07135641182017295,-0.03114341234831934
DLL1,0.012086631515875449,0.10220888370402527,0.08184995555744506,0.04245281634708264,0.10249279267944052,0.1332557759640022
