,UKF251,UKF259,UKF269,UKF275,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,-0.021378619839902878,,,,,,-0.019505714011503597,,0.008453851510496808,
BMP1,0.03203977776264467,0.032490490222785516,0.1829386975506458,0.03549595746022199,0.06816263059408252,0.006810893611479541,-0.02710533356809658,0.007865023159669814,0.09720684561385189,-0.02053046907057658,-0.021419823214350757,0.028974708594118274
NDP,-0.0019317075530665315,0.027197058728905554,0.06207328781130216,-0.012194130680863363,0.030355002806469893,0.01973288025673377,0.060257716479379476,0.07371342793579086,0.04347867507855401,-0.051631789674802316,0.09656142101629077,0.04448045093272991
TNFSF18,-0.002478121792138453,,0.009889654922635004,-0.006513870518890105,,,,,-0.020115898563992558,,-0.038204286930146755,0.0054716123835550365
IL36G,,,,,0.04653496597281844,,,,,,,
RTN4,0.03672511250852934,-0.05336297758677469,-0.2317763395988616,-0.017077871824790262,-0.03659761575515653,0.00481577092587953,-0.02233997844186635,-0.018338774414113204,-0.05950209075446772,-0.0271007145268755,0.010618198647922296,-0.12010305114381364
HEBP1,0.044984913777246976,0.005310864477878224,0.10735562341616721,0.017786412188183234,0.027423596257710754,0.023883674990346337,0.003599444203054661,-0.040217832040380576,0.01211017370788715,-0.006454445440811695,0.11211138263952859,0.014659421846417204
WNT7B,0.020790900544574015,0.020676230127420637,-0.11289962792981569,-0.052303759693926664,-0.017739985509264842,0.021241235033339093,0.01520667069141488,-0.0317724267483579,-0.016558029299550355,-0.024159454834219152,-0.042506960229604325,0.002908390661121306
PTMA,0.037009849472270824,-0.03252146126047449,-0.10016289756273289,-0.036857907349360675,0.07500550799773924,-0.06821296871187872,-0.02955600891159559,-0.031443828566932806,-0.1039581819287599,0.043755382719353426,-0.07788127240685552,-0.045141506267357405
FASLG,,,,,,,,,,,-0.027812018278538676,
CEACAM1,-0.02830515700605469,0.014890176965560598,0.04387387759060827,-0.023168448744315645,,0.14206902651349382,0.025743281465388113,-0.023942738753319582,0.04034951619656038,0.030651903490598896,-0.016704729348399186,
PDAP1,-0.016678172698615417,0.06913295744316425,0.1676191679226661,-0.012224875810633484,0.06270253334685474,0.009851940373135887,-0.0390628664427636,-0.06003218416634919,0.024211802461440782,0.020866137761527806,0.004387376633424691,0.03148092441055444
QDPR,-0.04550057062921926,-0.0015079413042292306,-0.1816441040793432,0.00394971611829075,-0.1030137535526895,0.09707268701260387,0.0447001859584241,0.03886599624616212,-0.04633204208559409,0.011787127994210495,0.0460251293704227,-0.06705721997819694
POMC,-0.04385796047564601,-0.013219716605432145,0.012053375507543089,-0.023535752694090556,0.025137713932666225,0.02313000629293899,0.09228022434053193,0.004419122007576651,0.10007804993058433,-0.02623112335616423,-0.014956182553282056,-0.043113500128408984
