,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.015200538429454583,,,,,,,0.006048771805245941,,-0.028724608156591027,
BMP1,0.054132873437217836,0.031728153516850044,0.03567213233823154,-0.03789875103575088,-0.03664912934754731,-0.0021143076972477953,0.0335313739176642,0.037646253972511465,0.02006031723083058,0.025450028005339898,-0.050185765069894785,-0.0692120519696272,0.08358909340389639,0.07602945993699639,0.04614176119951064,-0.010461039360315422,0.02760253703039673,0.03978432270781307
NDP,0.0687719174608378,-0.005933912414076837,-0.03771136512270549,-0.0010836241983966678,-0.04558120155105233,-0.0030726041258777115,-0.06114034006224743,-0.024462744257164933,0.06446193384596637,0.11434444760517998,0.004651226461832722,0.05597227780170775,0.025679210413694368,0.03727420119292326,-0.05494514670454644,-0.039664727834379306,0.03703890071758038,0.0037865869642115337
TNFSF18,0.03723271421243692,-0.024830504610871256,0.02002346155315815,,,,-0.012582392755615047,-0.022572343235071506,-0.015882540928287423,,,,,,-0.020750290250528585,,0.03077088212408836,0.05285717303768424
RTN4,0.06264122171629458,0.015059505558854566,0.052345899470151856,-0.04870883182370791,-0.011407671935063849,-0.014145464734371926,-0.006025125988347648,-0.0791126714611217,0.007082257634667724,0.010178426529965362,0.02645637578926463,0.11392677674291447,-0.02375008324186089,-0.08178944728092673,0.012636452062867934,0.057268558090331205,0.024812912066539114,-0.09701756600066105
HEBP1,0.05606933536529116,0.008522891141214241,0.04674181425287107,-0.014153963058738023,0.012584412127092765,-0.040282532089277484,0.027252348105147685,0.13816042419722122,-0.015289667310733827,0.019720587327837262,-0.077450746564341,-0.03634990775948255,0.04313201732991415,0.042144440913995634,0.11017357629994039,-0.0031608315345798034,0.015063761500779982,-0.03923064382449797
WNT7B,-0.027629450429914423,-0.03674642317934705,-0.0197548868133798,-0.04325966942927572,-0.006518047032984069,0.03200807179227128,-0.0026897690147654053,-0.050810131093416235,0.007150251246040214,-0.0049544193894316205,-0.07118791721410526,-0.029019787699864737,0.045493673826947134,0.10419389646825826,0.052341369142199966,-0.008328657402176797,0.03884221607027702,-0.007834759847684954
PTMA,-0.08606279946505746,0.09923066683774501,-0.0290984532215944,-0.09478612776828292,0.057793642730720504,-0.07870376455818386,-0.034903531239236854,-0.01416557230586286,-0.08501671605036455,0.036232042076916264,0.02224793229084863,0.04144281775067106,0.010359727408517169,0.0611925680490274,-0.034556857773744294,0.0021970680435151034,-0.015289518634374125,0.013214103547125123
FASLG,,,,,,,,,,,,,,,,,0.00916253538494175,
CEACAM1,,-0.01580393568753256,-0.015160687452835083,,-0.03241455204258107,-0.007346416789984798,,0.037713388489810915,-0.024979453118346293,,0.14916071513352272,-0.026025410429283854,-0.004692441538692358,-0.03680388312885086,-0.013366665228327202,-0.004078063739990852,0.04020234980101773,
PDAP1,-0.018820805576457572,0.07273759709757069,-0.036688877213491226,0.04290073779453539,-0.0031560348291786496,-0.013706377399075377,0.03451646395558363,0.08885241742915041,0.021690680377070205,0.013470952566884551,0.007879448660541284,-0.013815609314708746,-0.009774836524926169,-0.019918370308870916,0.0008851398410355878,0.072890163895162,-0.040927573250733686,0.02883571346997062
QDPR,0.0159038855560635,0.041601121991378436,0.06470032738755131,-0.034494260633150815,-0.021663171945892446,5.199595144625352e-05,0.007949307721954096,-0.06136231957745043,-0.03906468048164424,0.026253719035494734,-0.01952199121623675,0.04808419363679614,0.008302235197238085,0.009581170065565872,-0.05381028416786655,-0.060398216589886165,0.0092466083411584,-0.0809867379027882
POMC,-0.05164520320956329,-0.008986257016871627,0.021180681233161518,,-0.009597634924521136,0.05467805369865522,0.06022751883506944,-0.01776877561109688,-0.018428844531433158,0.056269899085441735,0.024133280971798194,-0.03363329282821404,-0.014145373422801012,-0.022965709436792364,0.051884347457904115,-0.024371495102965733,0.019753654308493955,0.06600514017114126
CCL18,0.08544962146397071,-0.019721818518551773,,,,,,,,0.016151591290993392,-0.04596458842732868,-0.01845244389315641,0.058392583891706096,0.05157906602503339,,-0.04115492379955935,,
CCL17,,,,,-0.018787875280720314,,,,0.037791916563388234,,,,0.1107583587309078,0.00893652191518199,-0.02652819480708392,,-0.022580693846742408,
VEGFD,-0.02621238380500595,-0.019721824781152864,-0.021714643097072713,,0.006161226436563178,-0.004628090327587183,,0.036305196344340616,-0.02110440999776764,-0.013838525360604953,0.03616087726661903,,,0.029292710359118478,-0.02797905761221725,,,
TNFSF13,,0.14230152512815608,,,-0.01295945588357583,,-0.01220229613775079,,,,,,-0.03497843841800979,0.05269503336567065,0.05906862947129769,-0.02415945373290496,0.01970721568040135,0.03161925322686306
WNT5A,0.07383666831524147,-0.03388663666840254,-0.010234402048012617,-0.029896530986957666,0.03780321364419688,0.01822708578368078,0.009010392511574747,0.07773479121907184,0.02559912091679166,0.02710834124475295,-0.022826673664648602,-0.05094163240602083,0.0629821159646318,0.06867602151895248,0.02077378441384785,0.0037148965239945605,0.006699421635326095,0.005293325475844452
CXCL8,-0.060952220731935375,-0.0352116034705276,-0.004177832615036593,0.0665815512009054,0.0962782801286592,0.002659701658458951,-0.0173569748253267,-0.011776691460476116,-0.03464899010774173,-0.0067923503266106005,-0.007621180343716434,-0.010123477522527248,0.05844502890890195,-0.0009849401975989258,-0.03766425388766277,-0.002076945796230754,0.030356802464746636,-0.018693716519058993
GRN,0.04914979425248326,-0.031494297693768616,-0.0572825670525757,-0.0832314015474775,-0.04637923910576593,0.0016448257836549816,-0.005718616440509449,0.04196758016582125,-0.009344671513715009,-0.05438626895617442,0.005263855458700648,0.018430675829386275,0.004202874590585334,-0.04845547755201203,0.016759568768412912,-0.06714398716382167,0.03143893653937692,0.04055381700620301
MIA,-0.05481198687647626,-0.013443380466134944,0.04777132136846851,0.09275661351801728,-0.025174054292726823,0.03210006204297123,-0.022064104766683235,0.05131998140125654,-0.0016800052214331004,-0.01876752652045988,-0.06522361958444202,-0.05853442276687671,0.0656965202320942,0.12862447824067674,0.07774884102399454,-0.01110644725674768,0.040187036337356194,-0.0062990133000461355
COL4A4,0.04294154023051435,-0.023685743805620017,-0.03247616591823659,-0.04386877616818304,-0.011178917554085831,-0.01536041318879889,-0.011609945672552111,-0.014979002359722082,0.12958050646127597,,,-0.023329654607410932,0.13264601982614557,0.00020912078832017582,-0.04086453969299836,-0.04335935494725947,0.04386005230489003,0.0856829745240546
TAC1,0.013504465728586889,0.07783043754208699,0.012906104532239135,0.02483009809375728,0.00022609235241056867,0.009767866157398622,-0.022050348704660046,-0.06526396253507297,-0.0027486989059781024,,,,,,,-0.037118813972994553,-0.01523656409418369,-0.10483956289776343
RARRES2,0.05086522859003807,0.01800326933493818,-0.019891629026292924,-0.029960098725389846,0.025653164541200178,-0.0656048413169136,-0.0337430724565234,0.08850451635503115,-0.011468263661371823,-0.0069402285620866295,-0.0016432391272431812,0.1206003849793905,0.06963997328414996,0.0053715942588380295,0.049425488491136434,-0.03534640258350058,0.014196835265503329,0.015626787179204793
FGF7,-0.02890994727790149,,-0.024508989944798637,0.06186838572814322,0.07196580127085746,0.07159607736992614,-0.021008538437530807,0.025184892859806116,-0.034758105872461,-0.004729017194416411,-0.018353811551159213,-0.02559070407866718,-0.047948000291967253,-0.02060331568692522,0.05721453887919338,0.03632337867335809,0.009456541118412258,-0.025328023363916864
EFNA2,,,,,,,,,,,,,,-0.03497962788486169,,,,
HBEGF,0.09732180022263483,0.014628591230044473,0.058100908715356656,0.020437471206870048,-0.00017968420499810508,0.0683736764224628,-0.025308583492590832,0.03313768143637757,0.03705041646448727,0.009072018424287709,-0.09657802298773342,-0.09606975057270546,-0.007481822825882451,-0.05119641479122618,-0.0027440765224371485,-0.06617144431693979,0.009878973079676272,0.047315051123558965
CSF3,-0.04951608505004533,,,0.08717005601218189,0.0709439291000197,0.048715543681439946,,-0.015847496186592064,,-0.02078997976171325,,,0.048317070872850455,0.050985938125131025,,-0.01852124616201167,-0.02377398713744258,0.004814342004856753
