,UKF269,ZH1007inf,ZH1007nec,ZH8811Abulk
DCN,0.22552317215124135,-0.006447206930489148,-0.05145032847190265,-0.007199756731722052
RARRES2,0.25978240131519054,0.04238621185490678,0.09956817915961799,-0.007059358666017506
SEMA4A,-0.04194251553904492,-0.02372739133161782,0.10513925309363652,0.01478462895837431
GDF11,0.1070277842694836,-0.015563845895373995,0.08190604146259864,0.06810641745618305
GPC3,0.10133231357533964,-0.024164598212963184,,-0.01831188849966802
OSTN,-0.04609988362138047,,,
GRN,0.18469503884056085,0.030065458601902555,0.053233080374298046,0.03247759573734128
CALM1,-0.25878965266741416,7.037334390607967e-05,-0.05156839463570688,-0.026831420599283253
ANGPTL4,0.0645002129863093,-0.01329252556833379,-0.08657002080123752,-0.06399499382691755
BMP8B,0.033419040574607886,0.12059101522310817,0.0198192214334805,0.0752562369047639
TNFSF4,0.025069022609458404,0.10953356302646275,-0.10831445807747048,0.0050450197889475665
RBP4,-0.17594624953912455,-0.013976175448428536,-0.12820671562516955,0.01936443009981113
DKK3,-0.2105860437327792,0.000662913077410633,-0.04781530638649177,-0.004645209018960753
COL11A1,-0.02088074910636958,0.02296783700536655,-0.013372123083254491,-0.004888846064359464
COL5A1,0.1385246998604356,-0.013242068648204238,-0.0699272415920511,-0.022775548450296064
KISS1,,,0.025738948826317824,-0.02215527626499519
MEGF10,-0.006117988957311229,-0.06253170397519998,0.023281504278919677,0.10340261776546715
CEACAM1,0.17997569112770534,,-0.014056745317840548,-0.018763785934444076
EFEMP2,0.24229992477377685,0.05551589691295821,0.018193056118870253,-0.004695242456064328
IGF1,-0.06452518706771149,-0.006394485367907295,0.03757700460589404,0.002272854178500778
COL6A3,0.10284181902185636,0.0638058709084772,-0.03627645364462585,0.008083988202808146
RLN2,-0.03464043300623069,,0.13669187024542948,-0.01446701761047025
WIF1,-0.15786531038307366,,,
IL13,-0.016025888112979628,,-0.008040666560556721,
PLAU,0.23458769799590937,0.09345510028900633,0.0010114193951973772,0.04090222272299959
CXCL12,-0.021994575102943014,-0.057524650556909085,-0.03400800000469032,0.016757351604650517
MMP9,0.19160911430708583,-0.0351526729694782,-0.10053393940846093,-0.04732900267112591
TNFSF14,0.04518300745887641,-0.0017876553462866458,0.06628555917887699,-0.019785880812208872
HBEGF,0.15549252270041258,0.02668154847761117,-0.015128045448835378,0.019376790941734678
NUCB2,0.07453257952740906,0.03574401934497346,-0.01369090816648688,0.023140465375948792
VCAN,0.1701184626898587,-0.10585184615666553,-0.08271338643701934,0.01912061382873309
VEGFC,0.06583031408513744,0.0009734517057765304,0.07133374662250726,-0.025676584225330437
LMAN1,0.18679254069655082,0.008308669487965237,0.14381952227801945,0.020693524983547117
IRAK4,0.12458540829110865,0.0353820422041666,-0.012707177300221239,0.03017468694465937
