,MGH258,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.015367755473064215,,,,,,,,,,,-0.016603064509004405,,0.038092943381268854,
BMP1,-0.08730332059603613,0.029234912598212804,0.049206212170410615,-0.01395200785699756,0.026301906458817307,0.013211270573247561,-0.06944975198568139,0.031222101821157467,0.06751941866123662,0.03326097517811804,0.034961010047776866,0.03668163469261217,0.0013103138764475023,0.023846800206814945,0.02648886598649534,0.030486817568101045,0.09359842369997139,-0.017591480263035836,0.06442113104128491,-0.06529977192953854
NDP,0.05947039080711463,0.012025063126618753,0.048132513689086526,-0.0355032470293842,0.041090792640402544,0.02522521123453735,0.010073906357743155,-0.019436918999882147,0.013703184258794765,0.03550336415623576,0.019222855983244316,-0.0913419478925147,-0.0775789279614128,-0.1157422925655676,0.0530148323538434,0.11904848416576547,0.05620967371330595,0.007280359938500863,0.07062037163605384,-0.0042048701730754085
TNFSF18,-0.019279987219288242,0.011602430517381555,-0.016769904117249945,,0.10908916688540679,0.028243827108645547,0.03346822018393919,,,,,0.04961297308360667,,-0.02539479724046655,,,-0.01712244736683762,,0.022739328289059613,-0.02044476276487932
IL36G,,,,,,,,,,,0.02500120216554796,,,,,,,,,
RTN4,0.016008242829996914,0.034223325576904745,-0.014839551264715334,-0.017243252674967447,-0.0690845758513477,-0.0242300281091822,0.04695008917129324,-0.0002905706008875311,-0.017775086218843834,0.006974359295715708,0.004615604509272909,0.032832994480538794,-0.07826510856332439,-0.10443986816165754,-0.11636083676608142,0.05808952103441137,-0.12254150691373877,-0.027888106262677292,-0.028578594550847984,0.061098602681784374
HEBP1,-0.009629498623870816,-0.01884078063041135,-0.05300037602019797,0.009299627849060892,0.009279901162911034,-0.01523998908574781,-0.03790035864281466,0.0064380144316460355,0.05634702423411058,0.018100345058424214,0.025702191701943912,-0.0004841288080612682,0.10489683132202483,0.05641786603521926,0.04622689699928662,0.04567955624810748,-0.019729124145215212,0.01763092429775361,0.0432110560207924,0.022504925533011703
WNT7B,-0.01698506487420097,-0.014033026447817133,-0.013535669170815,-0.018781354998591945,0.0581734236639133,-0.02228611505692119,0.02403937198022856,0.005872818702369114,,0.034615805069594996,-0.02887352208696061,0.1273834880531432,-0.07173579885565899,,-0.019668902559982826,0.054217313941415435,-0.008118946536827763,0.020413377681852866,-0.01695867141742711,0.009316053409242355
PTMA,0.059356315423995276,0.05069442072115445,-0.004735349064677735,-0.006543434564175707,0.06808916702242748,-0.034787506577935806,0.030664997610659807,0.01863602000592085,0.07649029805919896,0.05689618835751898,0.07511138613505357,0.03168420878103835,-0.10117689336273714,0.0925761453050425,-0.1719394779073177,-0.043952847495359576,-0.12176723181501237,-0.042380464163552754,-0.020373188947713974,-0.025358887095230466
FASLG,0.011114364274456032,,,,,,,,,,,,,,,,,,-0.027252350694596875,
CEACAM1,-0.02358391789291431,-0.006770428244712929,0.046206879856188196,0.008948462743722647,,-0.030030682903336013,-0.03282089456269072,,,,,,-0.056524007942374735,0.04063079491348993,-0.03452191406239668,0.011181829827277003,-0.02460316925844538,-0.020604607137742672,-0.03791764334978374,
PDAP1,-0.049760850888220895,0.025604640012645914,0.026547046930249257,-0.010628212063093117,-0.015741765521056942,0.028781726609154235,0.002328088169449421,0.005475543329298563,0.05225181232659551,-0.026480471216871162,0.03808336809276794,-0.033106546664085704,-0.11251709453988686,-0.003739690739826152,0.05290549955614941,0.007390855814762476,0.025815853176574102,0.003807046016964196,0.0035979381378163865,0.04201796228823595
QDPR,-0.032032379313814405,-0.01929823021642365,0.037480733384609256,-0.02768318733610814,-0.002575769026809188,0.005367698351148988,0.03591090021929681,0.08547982683036034,0.07534844261368821,0.15433430085937616,-0.026830971859264134,0.008478865392872934,-0.026951572838614348,-0.0027861337162502606,-0.14825280489516532,0.047851913447364065,-0.08501227122613758,0.02194096558698437,0.011507930225426134,0.06696346492510111
POMC,0.008169981517753713,-0.011655887008102985,-0.01622785570815491,-0.030268153398642608,0.003918848538760087,-0.03871121515578467,-0.0009175640330746272,0.00028034530186387557,0.002980980807079116,-0.02074610510624245,0.021247430692298206,-0.00310524256728042,0.030314092698156263,0.003966794146557903,-0.04786145800116986,0.08608049863775241,0.003462591042293187,-0.03370643054011796,-0.00030752128124863836,-0.07749163341185891
CCL18,,-0.03751872519990442,,,,,,,0.03300045174083616,0.08620551901327841,,,-0.06146030755021407,,-0.024476604664953622,0.04467769292551901,,0.00840330320463356,,
CCL17,,,,-0.023901053075178234,,,-0.004685105645437336,-0.017498844429335764,,,0.06271866045396443,,,,,-0.021906270174095323,0.02299676551164564,,-0.024701194931007323,
VEGFD,,-0.028124292796887943,-0.028720107427847502,0.017235126068261736,,-0.02574511272196499,-0.027729414733895667,-0.01283561400988998,-0.026452256068043432,-0.024134526195043693,0.001024223293319363,,-0.0692419065724524,0.1141568778667473,,-0.015175142007115257,0.06749970175411318,,,
TNFSF13,,-0.0028018849886716638,,-0.016486411489894742,-0.019876590405466528,,,,,,,,,,,0.04637959396493553,0.21905238632533763,-0.023137592842676788,0.02191442089905732,-0.03827403656871363
WNT5A,-0.05400103683839331,0.05410030373115134,-0.0556601192167545,-0.028146406699275362,0.0651576576815613,0.05918731237878104,-0.0076947576540732365,0.02675321749527191,-0.03825229216038691,0.01776240165138577,0.08067491113364574,-0.0009470553612610261,0.040552364881120066,-0.061751889948932916,0.029655118070344804,0.0906151723805272,0.058039436878471816,0.021593113185440917,0.058937116968605555,0.06536273236207685
CXCL8,,0.012687616481991676,0.03566656880905234,0.061352214765317804,-0.028273160672906354,0.021939682048718965,-0.012889908255192784,-0.011953081877061253,0.13065998195794848,-0.09260180047733117,-0.0038938398870269992,,0.03678950067217972,0.030951104580071217,0.012032939756515957,-0.061596906472261986,-0.031079285977037695,-0.06857423036553169,-0.02542069149573034,-0.0500712756912638
