,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.012508836180114174,,,,,,,,0.012679723575899401,,,-0.01818615962611293,,
BMP1,0.04860816701182373,0.0315417304817411,0.03770635892666203,-0.03188233040153646,0.03223349440252674,-0.07436917579790787,-0.1648117392163446,-0.2534132726217857,-0.10510642946726159,-0.041395251678819675,-0.1742366378656415,-0.3090293132065075,0.03923764261893085,-0.12046617930879228,-0.11118673482635402,0.05261581127270559,-0.14836854359942608,0.012390771551670749,-0.04143396133368755,-0.10273835661631113,-0.00904552501428303
NDP,-0.02502922410139545,0.11174945952877832,0.05587152812903383,-0.01869355010547523,0.048895415710838816,0.1906029701670892,0.03658074286766909,-0.050362508962270326,0.056407211241397755,-0.007610350926887504,-0.11382664510156817,-0.07046576982538093,0.17650389941209804,0.026838640904550938,0.06934188460566212,0.056317497467343824,0.08010636950739913,-0.030555445460121525,0.08826622684837088,0.08078180226706638,-0.03630754886733041
TNFSF18,-0.026663116864039674,0.03523782363051788,-0.038101261383497814,0.005052898118501629,,,-0.05966323930977597,-0.0572972772091478,-0.01641241653664775,,,,,,,-7.569740182978848e-05,,0.0007748538087770426,-0.030676799937655097,-0.07454365404166209,
IL36G,,,,,,,,,,,,-0.03822772657182613,,,,,,,,,
RTN4,-0.07092171395856216,0.14496603772944613,-0.007244368602217528,0.034950674004186874,0.07131444282890019,0.2342642916911863,0.5144378776733842,0.34967150867302516,0.1673220102515354,0.2051785856647375,0.44981950987328795,0.48467032114861663,0.004251122845075151,0.02792555987726135,-0.014031968935822132,-0.029347440361661148,0.15483763444371587,0.007430831574461185,-0.03137047557311285,0.2280806099407784,0.1016467324333041
HEBP1,0.10351720754834304,0.03164121638724454,0.04299846785088885,0.033769306634468046,-0.05988796032960311,-0.03747009640395211,-0.15721832273560388,-0.12223564416775026,0.059454845787025555,-0.03398187525175039,-0.19560940890061163,-0.05162317079360084,-0.024986953851924797,0.03724833629102087,0.05996242734489987,0.10503527488345786,0.013033490902914896,0.006060247344468098,0.04494675299668758,-0.056851277216564466,-0.06732196971151581
WNT7B,-0.00347666689079734,0.1888568396295284,-0.04667867893579336,-0.018121257344915116,0.0004917337119692585,0.06034851917169906,0.13979017251160175,0.16294810449289657,-0.018502566457548046,0.07341383632507531,,0.14167849098611432,-0.09397172334307366,0.011585081694182117,0.029456901169209262,-0.018748298580198948,0.021554653208609227,-0.07462657208241827,-0.027539980531019415,0.019650569015035032,0.03115063965334076
PTMA,0.033667500591198996,-0.10627246155869384,0.09555561790753414,-0.04371655468518716,-0.013198457883453111,-0.17299463750175928,-0.5379121331818619,0.09017897593228506,0.09155883252721182,-0.21743411571838459,-0.5629010366567404,-0.46716847385515226,-0.09178862989031536,-0.032238364574276604,0.016517235695110145,0.04876207795720902,-0.00744822451509366,-0.017869648993176616,-0.0741921073260649,-0.0962653344819275,-0.2371255391838927
FASLG,-0.023489377485560996,,,,,,,,,,,,,,,,,,-0.015772850039429735,,
CEACAM1,-0.0326152062103859,,0.027720469399450876,0.06858670972057246,0.016544239849699154,-0.04394857270133726,,-0.06858708838559151,-0.032426837023458326,,,,8.668178642137597e-05,0.01667408983190874,-0.0021351045920006187,0.03287458276575132,0.01664655078037083,,0.017099733283773295,,
PDAP1,0.09194347971067722,-0.04516705125852786,0.04141141722992404,-0.039681842810365006,0.041091558671139096,-0.07538060941436651,-0.10149698007010167,-0.2550611176676251,-0.015570989455963063,0.03571057133963722,-0.0021294161519026444,-0.2188113087830623,-0.03033047738620405,-0.0008308582542835024,-0.04536229442647044,-0.01409381568338613,0.04234293467487607,0.026017021042720846,0.01289502706564802,-0.024732819877745175,0.039355394394499865
QDPR,-0.011714979355812576,0.17857653132414641,0.08855462232626708,0.04974425556598293,0.035311992450040144,0.20674304521074266,0.07945305577285172,0.17110492264669877,0.1290094359593269,0.046575990978049486,-0.41308073719257665,0.09981493784212041,0.022441572870880132,0.17957211225610473,0.14674461061426808,-0.010805658627180848,0.08849632590183433,-0.011491124317466132,0.04408943570825132,0.20097064624764194,-0.08357031987391342
POMC,0.013322563616445179,0.16254153202310032,0.04383992689684673,-0.02180270254497547,0.018078974187628393,0.13761901766457174,0.036331382636287664,-0.03319029465268013,0.016401447820565376,0.04725129408776452,-0.06863873804054434,0.06695918616837102,-0.01656083022057378,0.08855631356828801,0.013101042038803698,-0.006890778209502279,0.01918219643702599,,-0.03128454168537049,0.007706519856349051,0.06496536546888523
CCL18,,-0.01964439658756154,-0.03345474799513784,,,,,,,,-0.1957900811335768,,-0.06067562806030978,-0.035661130393820684,-0.05655443182883206,,-0.058596212898319296,,,,
CCL17,,,,,-0.032745842524693224,,,,0.006598789534640107,0.002406279964168994,,-0.039243607456059655,,-0.06821460323949981,-0.05265554568739366,0.011913745145165069,,,-0.014296316960237315,,
VEGFD,,0.033997711364336235,0.03371292227117512,-0.040541453807007466,0.023133916747218566,0.02524637471998739,,-0.0775524277868492,0.05707907272764774,-0.01860923931146036,0.11966860509309055,-0.014623551336473261,0.0889146917094225,,0.004168379293543023,0.10766271593744287,,,,,
TNFSF13,,,0.07477208396513513,,-0.004165899147201712,,0.0009582377255296172,,,,,,,0.0831249287608566,0.08447363990479868,-0.009086971846452406,0.023641227845125536,,-0.023294655221614818,0.03213461749718071,
WNT5A,0.015809940894327412,-0.027168242367852386,-0.012295754495666528,-0.060145157847481034,0.04805975134317667,-0.035108173807702925,-0.3163880107435272,-0.17809569400832334,0.008579268101644971,-0.12922383311617502,0.09026135328433585,-0.14472182157495622,-0.007061092955643902,0.021348550934102695,0.03837954930973258,-0.025825558784863294,0.012997935626012579,-0.08825155201741988,-0.04830819524482029,-0.1392088523768878,0.1119310681576947
CXCL8,,-0.12526398102851252,-0.12365361263236718,-0.037960614376279615,-0.06487432501471005,-0.12503567121314027,-0.004421475866967446,-0.07566619801482093,-0.12757693822716568,0.002412164149036798,-0.16975292874863376,-0.1199433827246123,-0.028133695837155963,-0.135217664966317,-0.3550411189682775,-0.010769894923072012,-0.08748227372095549,-0.07031512208915613,-0.029369375232453348,-0.1293602561643376,0.06754446406450622
GRN,-0.03244910848346019,0.010463515227273077,-0.05116976253655022,-0.003940732708133192,0.0017972551169190697,-0.06033192953476806,-0.24438425160777094,-0.23306703811373744,-0.007571420053184613,-0.10338788460586286,-0.3342211997043245,0.05080314387626347,-0.09326951959490806,-0.04504799331177353,-0.034065423970397885,0.03161314833762339,-0.09531289277332741,0.05128961211945425,-0.0982485311647993,0.08534159794319537,0.004459234205210737
MIA,0.03255543876498886,-0.03639006158495203,0.03355788746171519,-0.01787726770168289,-0.01202723152688906,-0.06516796450325764,-0.04082085105207992,-0.10562631733246064,-0.060112950304349703,-0.0223835747151661,,-0.04946090457239851,-0.055948967935105225,0.19834437000976513,0.2712926945747518,0.008232093085674939,-0.10518146142034428,,0.002698187423038021,-0.033929545960395345,
