,UKF243,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,ZH8812bulk
IGFL3,,,,,0.09263307582236627,,,,-0.01865694293743766
BMP1,-0.019992369876520946,-0.047247217607191166,-0.024586743734483673,0.04603749649264798,0.09881671188956598,0.07476132033973892,0.06512684832190749,0.05954013637220435,0.02039586266105111
NDP,-0.04412570998882434,-0.05126887982515016,-0.020089862139603253,-0.005027989680415473,-0.011288455954475907,-0.043155856143299906,0.06940130849155052,-0.024910665911946173,-0.03246147294877167
TNFSF18,-0.023606118723376153,,,-0.01239910160822715,0.05068031475938244,-0.013259368528541302,,,-0.01924057593699761
RTN4,0.0054360598019054145,-0.08634407349631698,0.05922437770054885,0.01440071770786401,-0.10792386458121019,-0.022489301172929185,-0.032118344333256096,-0.023145725553898967,0.014641922784846873
HEBP1,0.019173415033122837,-0.023438118050105466,-0.017388933053676767,-0.04352712492922507,0.042688466138241475,-0.0025595229141723613,-0.0016342436880323666,0.04673021707758592,0.056057171194937895
WNT7B,-0.04290524986637458,0.06402386712731081,-0.03565902156879311,0.097402094262764,-0.014246957263246386,0.022552736163915024,-0.017327981090992425,0.05123381399412844,0.10622222767949131
PTMA,0.08538357062798564,0.06899524900768553,0.0068215140798090655,-0.02534462744237814,-0.03611164396589408,0.036240702166612175,0.03298983079676665,0.010729781512605568,0.06388888253926307
CEACAM1,,-0.017875057144341754,0.154934553312048,,0.037809072974018684,-0.02085382786249728,,,-0.027646698878149505
PDAP1,0.02188339311570637,0.03594641139980792,-0.043377981654952984,0.013980332731846457,0.1070931437992843,-0.0012165566123153667,-0.06862625634630731,0.07147202526857237,-0.06863621079312325
QDPR,-0.09669773906133255,-0.009504936149024429,0.028250747383224126,-0.012370028882361495,-0.07217091483787551,-0.022394562865691598,-0.0343694599672486,0.003956106367407689,0.09483298330987408
POMC,0.05235450184964621,0.003549108228433318,-0.0032719697364465986,0.05179023894494488,-0.02620520833527338,-0.015385122714354842,0.034144412134250984,-0.022256556509619906,-0.05030520149512431
CCL18,0.06593982116689522,,,,,,,-0.043372003387539236,
CCL17,,-0.020346441804930063,,,,-0.016537014074849452,-0.02144718307309298,,0.05801780265782332
VEGFD,0.01512432064041429,0.07796836914041184,-0.014138102775176672,,0.08949065406849613,0.013082367321071712,0.002487710741657067,0.0865033611654033,0.05200793379113846
TNFSF13,,-0.0140345201902269,,-0.012024541961474807,,,,,-0.026378282803311073
WNT5A,0.047090836987290566,-0.06702046778831872,0.016228800187930867,-0.0046103748569168825,0.010929179166452233,0.029114059363779185,0.012320574143851999,-0.007953350904961338,0.05556434806372756
CXCL8,0.07242465228163325,0.15764096019536472,0.02105983891055033,0.06929909244105044,0.08380450164529539,0.06254113291694205,0.12076774082472914,0.021986644812054496,0.026354519605880214
GRN,-0.0011902646530793295,-0.04239998702334723,-0.12182098645646615,-0.001207778385383176,0.0626276085146467,-0.04349176761718998,1.5642729269654905e-05,0.04878766095795884,-0.14055142129353865
MIA,-0.017997752807267627,0.02496117796927994,-0.04289988895121885,-0.02174269093409028,-0.03138562073390054,0.012165992893645583,-0.017891573195679532,-0.020393455601087587,-0.011928961301970638
COL4A4,-0.035907100561874454,-0.014180447724607602,-0.021035393205756533,-0.011440820427078944,-0.014302195807715613,-0.017265154327388836,-0.030056420099126076,,-0.037891387040890144
TAC1,-0.01569156040050013,-0.06980615987724555,0.02853992979661443,-0.010738430770961033,-0.04865181841122684,-0.09675917336995973,-0.03861066452784658,,
RARRES2,0.007726105770917319,-0.07622393202124376,-0.08581279530512831,-0.021135928300525908,0.07896933591566131,0.03895842067239118,0.040919921307317655,0.03403905186017709,0.06661012941918124
FGF7,0.06541357298776843,0.011770108231587634,0.028636398065351388,-0.006869984863723677,-0.03144146035351011,0.004414294103159609,0.01666976746266856,-0.00826602387013248,0.05720709722424002
HBEGF,-0.029508631364573566,0.10224668710588984,-0.016934223093697163,-0.05378801296109432,0.06423741205322568,0.07156538545361076,0.06688225336507943,0.031349247676501,-0.002168893601841371
CSF3,-0.0036576239630815278,0.25365417373548743,0.030443002478031365,,-0.015131447881477703,,,0.04500487306409024,
PI3,-0.042537281440764844,0.12273422259750635,-0.02295882612369415,,-0.017038210028038823,,,,-0.020900099121648398
PCSK1N,-0.0321261813846963,-0.10522654218963284,-0.08455168977827245,-0.02127996931747943,0.02240556557337866,-0.029836559070090484,-0.035326908086730995,0.057281092088003346,0.0497691577862111
NTS,,,-0.04736091863323126,0.14569947148522458,0.06206146937641645,-0.019723431873423593,0.039290122699586476,,
