,UKF243,UKF248,UKF259,UKF260,UKF269,UKF275,UKF304,UKF313,ZH1007nec,ZH1019inf,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.013038939806879292,,,,,,,0.03766455414409793,
BMP1,-0.12068663837736107,0.014855890520640062,-0.053687623094325475,0.0006320070440208628,0.061726780624996834,-0.014680124051693692,-0.015393609063318912,0.04489869313154378,-0.02213888882333267,0.127380400149282,0.08105409835046941,0.13836496701352166,0.09163080108153615
NDP,-0.02281740597120544,0.027106327834811334,-0.08002152706153916,0.033529608138764544,-0.01055228355525916,-0.0234093171615512,-0.030091284560623047,-0.014687412351406177,-0.10220378790679396,0.02405440894964763,-0.048222962207980336,-0.005917069856095542,-0.009006088906117081
TNFSF18,0.017931903609909525,-0.0348010316125229,,,-0.019362434173516112,-0.017103081307733328,,,,,,0.10097802931104305,0.09169653898142759
RTN4,-0.013456823394464681,-0.008409497949309484,-0.03274500485583434,-0.0008084035448891158,-0.03918381233423517,0.019720307473738867,-0.07571224114985595,0.01166710726170746,-0.043745497485473524,-0.03853466533089076,-0.04292783137930137,-0.09818630110209735,-0.09879644475622323
HEBP1,0.06873720287182741,0.06490081537206595,-0.012731789263696095,0.030534822630573697,0.024590907671282206,-0.006895021141737796,0.07840695083653407,-0.04800951232892238,0.12748088633027613,-0.001117243582115516,0.0029780004609722454,0.04683488723098815,0.05416215926742393
WNT7B,-0.024196269032061114,-0.01371401090567446,0.07304087233973487,0.029244316634966745,0.0007219575465272531,0.08443123508947845,,0.03173578453472182,-0.04759340798704059,0.005915093990842652,-0.020366673885378588,-0.00971354785159739,0.007401704052187829
PTMA,0.06982635206066994,-0.00735687316321972,0.08497183867558712,0.002300101530307017,-0.06002829363032192,-0.02358889164731209,0.07055551902453912,0.049529305892451664,-0.08365419033699831,-0.0607530746104383,-0.0006563322501851972,0.12966217045583894,0.11327955658768148
FASLG,,,,,,,,,,,,-0.026683262271792203,
CEACAM1,,-0.02214990287484139,0.026225163658766735,-0.02163740756996045,-0.02547986057055615,-0.016555051863683303,,,-0.03583902970666027,0.01838912718543388,-0.01351765766452986,0.011410062872464197,
PDAP1,0.023543274128826862,0.023340497122214476,0.03529948264072322,0.016074527361849895,0.06234450024893482,-0.04149392078550977,0.01038708207910942,0.07715774869588093,-0.09570577185031928,0.02286719545361038,-0.022983171951816348,-0.01692623493454168,-0.02829123929568748
QDPR,-0.08564993484646248,-0.05136435271910186,0.009167435825930782,0.005489124719742469,-0.060110166699897424,-0.02040485505014048,0.13703914837857367,0.0694865342353026,-0.0897401695543048,-0.14311513477174753,-0.009317398930447793,-0.031128927328195586,-0.12482925660493067
POMC,-0.03900214039698211,0.021139889235181657,0.03546965066102675,0.040480300168140075,0.026226749353261063,-0.005914208702401598,0.052041141917911156,0.0028158964917912614,0.06467907905071651,-0.04543334895133572,0.011541698841786859,-0.015966736064990262,-0.02698141396266668
CCL18,0.02898828675492303,0.034848846048093345,,,,,-0.0717263363852655,0.01911711276852921,0.004169670725507302,-0.03184646801986938,0.0008134504590876991,,
CCL17,,,-0.017300414228433904,,,-0.021330872258393738,,,,,,0.026593337678274733,
VEGFD,0.03370616078144363,-0.027640994753084718,0.05909672234842812,0.031873425621446384,-0.02184372179082375,-0.02272624020132027,-0.034745922949777845,0.09734748030780273,0.12532096468242995,,,,
TNFSF13,,-0.020858781634996406,-0.024104241449616082,,,,,,,,-0.015179423569579693,0.004112162180139961,0.10105050670356039
WNT5A,0.05231223952137021,0.05987429400406995,-0.013656382524583668,-0.07908698323810341,0.042308711772967925,0.024569864422432666,-0.012861079607336597,-0.03533055602056782,0.0997798465381645,0.0374351327705383,-0.016990900020170063,0.047551470317325435,0.1403764069177611
CXCL8,0.09557413588488062,0.053356385198794626,0.16603034303124659,0.07817382977907181,0.025800120969195855,-0.047192837852221524,0.03362132375682535,-0.002306542257826106,0.2544187726385571,0.015208009227887506,-0.06623863955782475,-0.025908463363530983,0.1148082897426535
GRN,-0.022767679913600337,0.0704784934484479,-0.016832043308567822,0.04276659075193668,-0.0031423197884482895,0.021698034319597215,0.02109932890359939,-0.01841466200966608,0.1532789410920106,0.07407117517027585,0.03889514010286295,0.10073506176546368,0.09379956823557363
MIA,-0.014447018848369398,-0.027695261743844048,0.03198740276573353,0.02034751562785534,-0.00453243767412978,0.02752721901892185,,-0.03251057612744274,-0.04377642609555262,0.1032373985683843,0.007462864328148145,-0.08692130595800494,0.007242184012437059
COL4A4,0.02055331202859187,-0.002596481323834242,0.04800620654633067,-0.09105171778622437,0.04584105502449356,-0.02227009058661262,,,,-0.006113338773356189,0.015870602160074267,0.07165673642555878,0.07857608617736023
TAC1,-0.05077109607177358,-0.027518596241052337,-0.04747138530931992,-0.040232231716501025,-0.011633792928182646,-0.032208771207038384,-0.05675250632362992,,,,-0.02332181041532054,-0.03179414153999304,-0.03157126938293163
RARRES2,-0.0035227956594393512,-0.020841892055744094,0.033834670987081227,0.03095645267920094,0.0736523366301284,-0.01367895608888111,0.07501683516402008,0.01297812172860617,0.03881592663353011,0.08000898024216939,0.0163991529014051,-0.04482700069849092,0.0036631196801469343
FGF7,-0.013728559920025743,,0.005159428625866739,0.015442411797224179,0.03029415279464614,-0.038929696678060476,0.012844387362291276,0.03088604674425104,0.025827059044891094,0.057337783609471275,-0.04700662066258632,0.03357484560341927,-0.03670247982414459
HBEGF,0.01141154422072785,0.05736871702061533,0.02755087162178242,-0.0008606524235892254,0.02883489321419196,0.020003083324689485,0.06326568341112274,0.04344658069673766,-0.1253791271527112,0.004364061882876659,0.07636886672905573,-0.008875428455288855,0.1499290210081445
CSF3,0.06247455568756753,,0.10591466846636251,-0.002157880753659178,0.042423191847809176,,,-0.0286193850913959,,,-0.019379408756106446,-0.025463474310627995,0.012318426004453494
PI3,0.15947395523520433,0.03340994943631591,0.1550035907440058,0.09104874267798808,0.009435651161308475,,,,0.015962048867223043,,-0.002891211639996888,-0.0553236702669661,-0.032778971125311085
PCSK1N,-0.07399093299249569,-0.058809687178279606,-0.10890800644339217,-0.01061806318443102,0.0124910742513728,0.04822205383997007,-0.07909700104391618,0.09276524515536377,-0.014362446741746795,0.024741958723193277,-0.039614390803510355,-0.06121931004175548,-0.052825638205638285
NTS,,,,0.011380261426630164,-0.016708534246192022,-0.00306434333185466,0.07376718574525706,,,,-0.035382324137623156,0.016811768405613506,
SFRP1,-0.03506648784542148,0.0036621685006493804,0.029071850128325326,0.06790805166723657,-0.04903402262539672,0.004291563658464466,0.044594405127071704,0.022555472412784227,-0.06691107824666588,0.050538230425874714,0.050135709325855426,0.16503473757132214,0.03175981825507611
CXCL13,,,,-0.007256913578390988,,,,-0.028419175472847804,,,0.10722516364756696,,0.09708256003062951
MICA,-0.008310503768158893,0.034441356882870526,0.0976638436311561,0.0015706085845560984,0.057909788307608616,-0.013007337458041003,-0.01432204447863972,0.008433931604978307,-0.08494045787828046,0.0682690810910399,0.08916694055057767,0.03862283288133042,-0.05028842206453156
TG,-0.014075846217008412,0.025431361849749996,0.10098873919749463,-0.01687885955001423,-0.0164066170724687,-0.02149004656560946,,-0.04648370802333921,-0.002561814093106427,-0.03859434757519926,-0.01594955120152648,-0.03278750774874293,0.13898981279561595
ADA,-0.04778933436714243,0.010414052561991387,-0.012381197374226856,-0.031175475336014863,0.03440325825065458,0.030393949075500575,-0.015417587388823713,0.0623418940756227,-0.08729919299880166,0.04604682979313527,0.04770375317371325,0.14457238880028161,0.0508474954080365
LAMC3,-0.015416987530136615,0.07600541357912184,-0.035416875070644754,-0.006386178263927966,-0.00905744966584902,0.08625828301833152,0.009824821423375355,0.030302485483880037,-0.08443550883450811,0.06154237225761398,0.07764421479264938,0.08185563217173564,0.1327502620239261
CCL7,,0.0020423902125325287,0.040397880431196694,0.06657362700547227,,,,,,,,-0.026683252783542635,0.003994897307437205
