,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.041383549619507215,,,,,,,,-0.0175433633812957,,0.03660279746221749,
BMP1,0.02181920234972326,0.08066005132650575,-0.012666929580449189,-0.016523533204109132,0.07262308196079836,0.02322697746989524,-0.029337763239343097,-0.035338594476920004,0.13036160942565825,0.0023382828230809733,0.051478816628051,-0.049687766664049324,-0.0901726768679597,-0.07334864033985063,0.19943687521066442,-0.04403262828515989,0.07124421902966838,0.031338902877158736,0.04200586079783435,0.03328371117959062
NDP,0.04166569231343303,0.08378541030733723,-0.017018293740012687,-0.07926973824889953,-0.021775078668958153,0.03891414758617858,0.10308531957490023,0.019423252510308343,-0.04585481294407069,-0.025219425858159908,-0.04336714318150163,-0.013651107172803807,-0.052932288719961605,0.034284805769942445,0.07097607889818255,-0.0045394543693176035,0.07374858965725575,-0.006816150795653962,0.03377393130334378,0.11977955153538099
TNFSF18,-0.022645266118978616,-0.025051868972210303,-0.004428161762971023,-0.024548852902799814,,,,-0.017104135872751693,0.02520433847549761,-0.024839980642175987,,,,-0.039460254750185705,,,-0.01809216099658186,,0.03602814602251275,-0.011180336150247593
IL36G,,,,,,,,,,,,,0.040981799011040945,,,,,,,
RTN4,0.005463974431553983,-0.001211238264332149,0.04280144408195045,0.003326638771299363,-0.03334061886372301,-0.014376118569299625,0.1384585737093733,0.03399517150320258,-0.135369057070613,0.011129924568408191,0.06357121578440567,0.1428508000804222,0.1596321676662557,-0.039279535087084615,-0.041448162037539066,-0.06896741157545257,-0.10129261013300375,-0.033134525114883295,0.03227962809432655,0.01419080199890669
HEBP1,-0.02371447114350062,0.0018958168081462995,-0.021237182955060253,-0.06224188481505015,-0.033161650042597086,0.011763999869046745,-0.05614453882097563,-0.01494502352714465,0.07369841696096213,0.015616686655948807,-0.027523609002001976,-0.01502535691209898,-0.04279190532120174,-0.07547611569442317,0.05299723958051957,0.05490035205799431,0.003347726222974054,0.05691895299433664,0.04848404560399803,0.04372920418122586
WNT7B,-0.019949770181362,-0.006053712659469501,0.05352499633224178,-0.015248986439305898,-0.014612657849118459,-0.016521278363670955,0.06286723632197887,-0.026828483292670006,-0.008719289342139263,0.020515219363443058,-0.01807010402326188,,-0.0282619353314188,,-0.024252312405493897,-0.03887744559249442,0.016368526914389274,-0.032797884744698746,-0.009520045984153238,-0.02322694186025042
PTMA,-0.015802886227067485,-0.050409737764977855,0.030885854795689872,-0.038825005691292894,0.09606941473082325,-0.02914521534411849,-0.06788784189483575,-0.04613425137728931,-0.08938957965116046,-0.03606881503208231,-0.07444366460595901,-0.11567254922765899,-0.1595986760622017,0.06915362550053389,-0.11338605129412545,-0.07843856346251768,-0.15351785906498933,-0.020521240203576548,-0.03707602342640672,0.03683635608815057
FASLG,0.026322620875076915,,,,,,,,,,,,,,,,,,-0.01383716456325946,
