,UKF248,UKF255,UKF296,ZH1019inf,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.04386788684876978,
BMP1,0.04967306639778956,0.018908107084431924,-0.030371080450292277,0.015711246108496512,0.062065264253349774,0.020827853474825967,-0.014482897158882669
NDP,-0.004040857652405882,0.006777700829278435,0.05382835428177992,-0.01758829817977104,-0.06572421323710967,0.08276881456673991,0.08541472701065563
TNFSF18,0.029750230577898513,,,,,0.003600745453369392,0.004018405806706928
RTN4,0.015579139072292815,0.03368623095112276,-0.11018857245889511,-0.056004653483633864,-0.037057583571886724,-0.12767271750110218,-0.04577866672008386
HEBP1,-0.03482969592604301,0.044990226245179565,0.021725173703202778,-0.03275582563892486,0.0288144269176843,0.08513846306914594,0.02924887066203699
WNT7B,0.008907578320245366,-0.00976540386030763,0.04181087577665478,0.018771058848910668,0.008694249427287491,-0.018467226620524628,0.04036823156184739
PTMA,0.03275926465599467,-0.003008674996371645,0.019462964146932063,-0.06772301178601807,-0.044941691694079695,0.051744325135548684,-0.08842657473306847
FASLG,,,,,,-0.021005324166509617,
CEACAM1,-0.01854773275406515,,,-0.026897247623678427,-0.015698622474688288,-0.029225823457138166,
PDAP1,0.03551178802644574,0.01698464633739972,0.021933164672717376,-0.0212702268226655,-0.0874919515107576,-0.007871900011203683,0.005162205854508086
QDPR,-0.04779669345680723,0.00844558469050271,-0.026087786601018965,-0.003309960019942105,-0.054502209592376526,0.060843834395568744,0.07071115622425171
POMC,-0.01279756503612656,,-0.008793365072569118,-0.008835145923402923,-0.02568088410913452,0.1042672366621368,0.06901262045518293
CCL18,0.036588147805936014,,,0.12684103774575178,0.051435432303923924,,
CCL17,,,0.0009060317511757008,,,-0.019038967046935258,
VEGFD,0.08003735717538266,,0.009540189955346718,,,,
TNFSF13,-0.017466582563698305,,,,-0.017628500877596737,0.036971775378049694,0.030481260152086683
WNT5A,-0.0011454015111512258,0.0640788834717211,0.034088854611296515,0.03899496753607702,-0.01309288871408223,0.04850303900962079,-0.047436780380493745
CXCL8,0.01260637003980597,0.016373071180809932,0.05545649621553736,0.07321291952610888,-0.04557875010521749,-0.008216707939331581,-0.0358273860399734
GRN,0.05287652873887816,-0.0031470863129547367,0.06120374633026669,-0.01795721314628441,0.09572569117288154,0.013500708396120822,-0.02336232613050575
MIA,0.031452286957915986,0.07901742549777517,5.201661911116345e-05,-0.01578451422779796,-0.04531368850329428,0.09126959369528062,0.055828133254276435
COL4A4,-0.02779793937876267,0.031851322995271894,-0.02591332640184912,0.005293681496626263,-0.019538574794891458,0.04719834085609728,0.03294901148038495
TAC1,0.012700014926276223,0.05599652770406174,-0.004425681295556796,,-0.027084596031534725,-0.025028658146850596,-0.01718198265806535
RARRES2,0.022223974076295457,0.07752984852414213,0.0020734547869391195,0.062461290113232676,0.03542420865574483,0.04614779189299019,-0.018531388313772563
FGF7,,0.05441381625572487,0.0503448448885791,-0.014268897408775098,-0.06432373553927048,0.05315973584718547,0.06427192648228404
HBEGF,0.049309820448090874,0.04448780942943359,-0.019372001209450262,0.06210479806733378,0.014841157597965133,-0.08806348879673206,-0.04863726607850122
CSF3,,-0.02626728751858906,,,-0.022506119728351967,-0.020045095193092603,0.08044215028081567
PI3,-0.02435037641753229,-0.044349495681859315,,,-0.008730128666899963,-0.043551332524554155,0.01401591062738724
PCSK1N,-0.004963155427870192,-0.029755779825315777,-0.07213076140391413,0.037646023619696864,0.03050798839515901,0.04527363345803603,-0.005603979740368463
NTS,,,0.0018886446434228533,,0.03346990353352896,0.056980313071212436,
SFRP1,0.013439977330563183,,-0.023502665701508902,-0.04109133841420773,0.04125156850004323,0.1661230899671401,0.023753739743114927
CXCL13,,-0.019073158757299483,,,-0.03671216470749348,,-0.031168741127035268
MICA,0.01978323831854136,0.10746810764550381,0.009851748975407698,0.032691478452505675,0.0701051682937133,0.013805923057388049,0.0446121080427887
TG,-0.005791123928084405,,0.006744261166231561,-0.031051380482977113,-0.018522882378541394,-0.028316725945429746,-0.03434811401832784
ADA,0.03809749930216181,-0.05182834709371198,0.006614367342592639,0.006690503612536361,0.09944575810162008,0.06207012546715168,-0.01262695148410254
LAMC3,0.06039958962313126,0.061038645986230565,0.00633753477558162,0.03656595487202045,0.17026360522332976,0.08958047887616902,0.03264103051139785
CCL7,-0.014722695562985869,,,,,-0.02100531669726707,-0.04855691268528918
NGF,-0.011251454975852141,,,0.07197958836323763,0.15743807652345315,0.05721015872515394,-0.02095809518197777
TNFSF15,,,,-0.02862110685785572,-0.013975913968904826,0.02908355318261557,-0.018076412241690317
