,MGH258,UKF248,UKF275,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH916T1
IGFL3,,,,,,,,,-0.024541697336587655
BMP1,-0.014413158768330688,0.07548560306181674,0.05352122117050428,0.06105892783289724,0.10178352801363458,0.0393804447949751,0.04387750498619124,-0.09214977670307126,0.03176899638767942
NDP,-0.042201073252677,0.023496073995445985,-0.018761288258037464,0.006962371717542727,0.04681667615299805,-0.03569223907300279,0.010200432340786655,-0.031304356759027485,0.08959285279549045
TNFSF18,-0.02115380653898456,-0.009671157341080972,0.011844518365126021,,-0.025257711380729422,,,,0.0433128211601634
IL36G,,,,0.06150932992512641,,,,,
RTN4,-0.028468384675758785,0.047883362955168735,-0.05204076153025889,-0.03287019818244649,-0.039791232724957507,0.010111846980073202,-0.02805204858135161,-0.044780647627489505,-0.012077037818509504
HEBP1,-0.0028649923940078045,0.003589647118424401,-0.02125195206999304,0.03322785946495843,-0.05002945076023441,0.058512577622446015,-0.0014647186586864863,0.028255840295707078,0.02781094245088784
WNT7B,-0.018635841005200295,0.05640927740505948,-0.0006010098095765485,0.026935709105331232,0.07595317910201382,-0.0095103425421202,-0.0062955616342242286,0.024062262632000966,0.030687277493611508
PTMA,-0.025546237345399864,0.030729085683282583,-0.05383286094543028,0.017829492512297575,-0.052893553416388774,-0.03903214706730205,-0.058809163608961754,0.024750947054364023,-0.0060287545159929
FASLG,-0.018635846273504803,,,,,,,,-0.021285005727501444
CEACAM1,0.011156598013944143,0.013520217790915633,0.011984230302480029,,,-0.003219498153162585,0.028843327174022902,0.06099276701722023,-0.001991076013794783
PDAP1,0.04363034854486966,-0.025073066989521258,0.004570286736720789,0.048505452989461996,0.046342486032315534,0.0376957896720422,-0.07407676923987638,-0.007892175360646231,-0.03826182951960844
QDPR,-0.02068543389498787,-0.03988825891976069,-0.07300436079241365,0.017765563050980013,-0.07680890491318283,0.06232675466444966,0.005752234713866098,0.06407225783384349,-0.03932578431346473
POMC,0.034560908536249976,0.018350852855745024,-0.013546473694648937,0.04013460409111956,-0.0076505268295846375,-0.05078068461816329,-0.022557062452093383,0.018680650433316955,0.045694401528808694
CCL18,,-0.025708309439151762,,,,-0.040893265905147226,-0.03332793381687478,0.010595037429966673,
CCL17,,,-0.01456070453984554,-0.021576075039274903,,,-0.012920608971365457,-0.029992048872477254,-0.019292466968247997
VEGFD,,-0.02570831760274411,-0.015513199125871216,-0.023123747902629072,,0.002103752624330307,,0.017506444814042038,
TNFSF13,,-0.019400321438103423,,,,,-0.02479270791080869,-0.032600331728854896,0.037011726770434024
WNT5A,0.03808699724574035,0.012452749323245658,-0.011459772692030941,0.06427334217372307,-0.08149415966307441,0.008481382296696928,-0.029019969482053296,0.006442435254652895,-0.032707733819288966
CXCL8,,0.04603063034511542,0.0429542229930479,0.06600463763952306,,-0.02101136026082788,-0.02659362558338426,-0.041297048411280755,-0.032965757738818366
GRN,-0.0031337679788096566,0.003640033960727609,0.005927419430906467,0.017416811229799715,0.04283769347324336,0.0397196114999694,-0.044488091108704636,-0.0480505783412267,-0.044553566153383954
MIA,-0.024392715390146757,0.005210363912102201,0.030724995203833195,-0.03166903245760076,0.04680559658669645,0.03743295481502235,0.16715334442043003,0.08294048561866443,0.03378114669272117
COL4A4,-0.02158258075049148,0.07023515771038968,-0.015201826028453276,0.062334943203197754,,,0.15227251884837092,0.05586488767400296,-0.02430447901655947
TAC1,0.03087805189908642,0.06630275445813161,-0.08341995424105418,-0.011468742914877844,,,,,-0.025361909570373146
RARRES2,0.029364476587342845,0.011376022677914838,-0.0956375822199218,0.017394736630002218,0.031200395754614377,0.09298811496997857,-0.043200469167199024,0.006338888023724529,0.04443635568672037
FGF7,-0.021337588444541415,,-0.0028467414702036697,0.06450335857805894,0.02412873056826819,-0.01244274588971518,-0.016831810978396967,-0.0033835714145115004,0.07705715514323623
EFNA2,,,,,,,,0.0012600029654618722,
HBEGF,-0.05700552560854716,0.025134744278969223,0.07609332123867261,0.10438696152094311,0.023684984823407397,-0.05295469198050048,0.0365655568477844,-0.027538455676261887,-0.04067871079395406
CSF3,,,,,,,-0.06275469703024995,-0.02150935726513251,-0.02031199150325631
PI3,,-0.0008343770889130026,,,,-0.03170761838416247,-0.0934441578925621,-0.07123381777929334,-0.0337444788763043
PCSK1N,0.019331849394334914,0.053516804906012454,0.052255167540114625,-0.0016220519838255636,0.017242288426624217,0.03796966056381462,-0.036469249054519794,-0.021472129555167013,0.06520027511862653
NTS,,,-0.0014341504842993412,,,,-0.030142435744370033,-0.024057466783154517,0.012909624581416377
SFRP1,0.04286288223536729,0.04709543419786404,-0.006584239329302366,0.09883518921896783,-0.06018997138659562,0.07366313258731498,-0.002585559701169227,0.0518780888839191,0.07476128573857338
CXCL13,,,,,,,-0.029022336845698403,-0.05073460632076007,
MICA,-0.01830215473373685,0.044406268208006826,-0.06258201797283575,0.03262434467468565,-0.002653923993638044,-0.046172920529340813,0.028681025045805237,0.047597519481368575,0.0222225672875415
TG,0.023329649228700282,-0.04048435052859602,-0.014669358795969116,0.05255591575855241,-0.032368936522709016,0.05016880083352103,0.03271206303928681,0.028951401288464684,-0.039612257788941445
ADA,0.0038362996038230355,0.014101603596901912,0.0023054356562417773,0.005846273693488854,0.09560366295098838,0.018479035882628895,0.038243453301616055,-0.016344993508203072,0.020515097811070904
LAMC3,0.10249173930009807,0.050680465489421234,-0.021519947356836475,-0.03669989123398448,0.06899610562930146,-0.057249475181356445,0.06953393400600928,-0.06573421406033284,0.04465513012215462
CCL7,,-0.01635265658382963,,,,,-0.019365014639674095,,-0.021284998158807467
NGF,,0.074665788025177,,,,,0.053104768003620774,-0.019481157789789403,-0.063726642967807
TNFSF15,,,,,-0.029835965513127276,,-0.018878714770083023,,0.04656635294134724
