,UKF243,UKF248,UKF255,UKF260,UKF266,UKF269,UKF296,UKF304,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
DCN,-0.005067021422088949,-0.04070544147116553,0.04136514883828965,0.022961049742295157,-0.023441698864759546,-0.08190563341393116,-0.05046283308179399,-0.04080272440062902,0.03637248979346017,-0.1009591264208932,0.05831414093450705,0.01317043120593071,0.05010109057355042,-0.028607488794298683,-0.03060488701626567
RARRES2,0.12183791740628472,-0.005736745488639752,0.07675834170826004,-0.07319735082431712,-0.03326958608473518,-0.2328599116755447,0.007060812271313048,0.1125796707208901,-0.08071231928501114,0.09647803563626121,0.035136904921123466,0.05502759707456605,-0.06380868791220971,-0.0006371279591286424,0.007668048680002002
SEMA4A,-0.01714477558238706,0.025805504181281486,0.08273833987224846,0.04324437395290975,0.06413965464214427,0.15354769789735861,0.030938171259929335,-0.054163602792099655,0.06893673389466648,0.059700273783619126,-0.004820327381824342,0.000396229353886019,-0.025762768613167907,0.11917045288872287,-0.01734623919172219
GDF11,0.13461380952429783,0.005918612343351151,0.1234809867515534,0.017929971831736734,-0.0806764577423087,-0.0687209667629922,0.03301243939562909,-0.043474810968747904,-0.061327341550877226,-0.03242092920038659,0.007009684703990457,-0.04951435668707993,-0.04085467950532758,0.03973007073500247,-0.043448814213778233
GPC3,-0.030580855665727817,0.009367165877701675,0.010373189879614093,0.06112181671421353,-0.08386534478587372,-0.047542053435622275,-0.038609891103682153,-0.02773345912182596,,,-0.037433358106906914,0.013750123596451447,0.0842871896992675,0.08315113364271202,0.13275865463837414
OSTN,,,0.044442058473434166,-0.015318418608911042,,0.15283564655489412,0.05269675822356821,,,,,,,,0.09832403590911852
GRN,-0.045170940548131804,-0.01747611668305271,0.08035296729524623,-0.038472793468525224,-0.04799390674239074,-0.2208476764606751,-0.046807986065149396,0.07867628360703482,0.04833212386865344,-0.03204455356369496,0.08253941085065843,-0.001502237994770355,-0.01609487937719422,0.10421066331555887,0.06565190115128902
CALM1,0.22275421415308752,0.021526684416126544,0.043542805948885745,0.07727275848136943,0.07711597099908643,0.26305847882537126,0.06704154803402171,-0.08649764201373115,0.13037026233941854,-0.05037612542784346,-0.07090947356569045,-0.0892834174234309,0.026250583125261358,0.017257799563124288,-0.003324875735572336
ANGPTL4,-0.2198811807431788,0.02559517885253987,-0.1193920475569531,-0.011017366340568175,-0.08502167313270985,0.003789198595942503,-0.009903977482389092,-0.03159332052061411,-0.11418402208858136,0.14488187224003696,0.03749319857401963,0.07939370096631594,0.019852539397176388,0.22879052786853282,-0.01391066029691864
BMP8B,-0.023293365786493013,-0.007923524129532674,0.019906401981982645,0.011189581578991747,-0.025790689260395752,-0.018751651219309537,-0.012387012572766462,0.06677360874176264,0.032596972234661674,0.08539415851264474,0.05045840195368291,0.0012112770095834798,-0.016568633791003463,0.15779007520707428,0.01406128061005477
