,UKF243,UKF248,UKF259,UKF260,UKF266,UKF296,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.015471719509742079,
BMP1,-0.029567866465560793,-0.023125702671487624,-0.019158229647758297,0.023970918800062285,0.027800038308986592,0.010831595018142997,-0.00015172344207812865,-0.020610032762054573,-0.035297993353670884,-0.03371887395983583,-0.03858446734149734,0.0455830687233774,-0.006543559374347607
NDP,0.011993588023112754,0.012469088259358883,-0.02688193698261476,-0.021175344360441738,0.05378662700315198,-0.031080380801035114,0.031212302569437925,0.015139202423213198,0.03782350285542019,0.07104102027206377,-0.010454592798031482,-0.02305017258958903,0.06231549920430307
TNFSF18,0.08209461071026611,-0.02723213112352285,,,0.05888226685808503,,,,,,-0.030607519361880324,0.03953992188654862,0.014400598868463888
IL36G,,,,,,,-0.017297024011181206,,,,,,
RTN4,-0.020796472530051624,0.0445100472135644,-0.03694569299898465,-0.01680712490691361,0.07149670576229011,0.09262283649910466,0.02149189684937003,0.029757522263007027,0.011429935360389389,-0.01750125508807978,0.054056686326003876,0.03438848302055584,-0.11825129903593622
HEBP1,0.04737653735323703,0.011689575690985079,-0.00686136069764317,0.034630071930846044,-0.011679488485439126,-0.036118735988796426,-0.030791250424267332,0.025263584892621083,-0.03547325068135326,-0.03116355459052027,-0.06914233938236684,-0.03759553199016223,0.0071086977141375995
WNT7B,0.009032070908123909,-0.0014973354051882716,-0.004710835105350034,0.03961161368556262,0.08075777817776889,0.08787232695749411,-0.01901142272154212,0.08283204397649481,-0.002932163956935248,-0.028343092097893367,-0.03060748762418198,0.07243232371921418,0.07472473687199555
PTMA,-0.004507716490248757,0.005295951459038642,0.049281716833302854,-0.03671829401107675,-0.09255768245481957,-0.08633657982668612,0.03583467445033446,0.03982185504803945,0.02437699869460925,-0.02273820217690397,-0.05567834670176938,0.05806790262943333,-0.006683301465431664
FASLG,,,,,,,,,,,,-0.013418617052545925,
CEACAM1,,0.06015478460273699,0.03751378334106607,-0.020086380384684594,,,,-0.007194009416059743,-0.018081016763285062,-0.018811722438813044,,-0.01867003479250834,
PDAP1,-0.004894847618624216,-0.01950783508883751,-0.012099032077586842,0.02721185811384096,-0.028375854271658812,-0.017404836741033936,0.023093341969293794,-0.041846440090964804,-0.06160633609941817,0.009145266429126981,0.047064196438927654,-0.0044294382665053715,-0.08921885176816592
QDPR,0.024233196820860108,-0.010398227405783897,-0.001463482258701499,-0.01264801562607414,0.0028897409468965083,0.03678787093256815,-0.03813447916445914,-0.038147859468802635,-0.017494183227386526,0.047040160031603155,-0.031723609368405244,0.019931584875795445,-0.03860701524960552
POMC,0.002258027889807759,-0.03100302888104001,-0.006772656846311573,0.07289532452877301,0.01997747881595148,0.08458408925123567,0.02941758341290419,-0.04221328530966334,-0.012125877858274752,-0.030773506696099823,,-0.007887744141060478,0.02831764867091001
CCL18,0.008898328935218754,-0.021629328775557188,,,,,,0.008412831308694222,-0.04415264561775071,-0.001190835304626366,,,
