,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.012238777875370139,,,,,,,,,,,-0.026070103897942534,
BMP1,0.0019085851180287176,0.05537993375024465,-0.0310660976206687,0.023024942603535343,-0.045264195972676426,0.05009561329413298,0.03379074835822496,0.009219873438586323,0.025993942819321363,0.03461403089400977,0.03381043501549585,0.11918401825116942,0.08602692285396918,0.05539691119865886,0.12777979899447964,0.10143044348790553,0.031543229524651675,0.08599801460287022,0.16683959290682548,0.07814922873001867
NDP,-0.027938854156664708,0.03500534270798735,-0.05858912945505512,0.024388231829272036,-0.0020875620656187486,0.11418928945267293,0.03263626975178371,-0.05520822329883212,0.014295846488280023,0.0026155043987998367,-0.03356512739796637,0.019400008919467054,0.05427991501565818,-0.005322052861635512,0.002780523961575552,-0.010158887623994597,0.07205004233766951,0.034206044885453285,-0.014677559455633619,-0.016788964195080688
TNFSF18,-0.017415223707349176,0.062308447368834466,0.04653452344002769,,,,-0.014130673265541285,0.02322032925328805,-0.018341874582639216,,,,0.09111551473180485,,,,,,0.01502302457833404,0.13123745152350885
RTN4,-0.008631239349882818,0.03161291194396351,-0.01980307128624823,-0.010802246345323948,-0.029057412055263826,0.03655581741398367,0.04197006456675523,-0.07159879768606826,0.030930298140465582,-0.06233811852500282,0.1208656353242327,0.0349514981458182,-0.06092043291438965,0.01340328334701699,0.013977177151055066,-0.06070777795084757,-0.10314481416114446,-0.029042374922597345,0.061540652526663936,-0.09301548859184638
HEBP1,0.06623841566802488,-0.0031912927070815197,0.08763814630661067,-0.018967780119508112,-0.009978402324788286,-0.024480099927576937,0.037903923989467236,-0.002762226512095609,0.04522705006708238,-0.01691795595350384,-0.04083613268594378,0.04849513891239534,0.005893417343992587,0.13923319299012032,0.00702435414722244,0.041974376775619895,0.0080975187871126,-0.020786223640408833,0.04462564973688891,0.033686870046316854
WNT7B,0.023761047909062923,0.08728342165474115,0.013992711166341461,0.03578017353815244,0.05407241981553157,0.11323364763560373,0.07230301456363811,-0.05065592363442919,-0.052575276088879144,-0.011083478362177898,,-0.001069610648578454,0.012966156421903538,-0.016971998407754558,0.06162611210916445,-0.013706301450874016,0.001730611553950882,-0.025238698434001464,0.06414577499976604,0.004540347561975581
PTMA,0.05107821061063055,0.019981621625136385,0.0045643181434837764,-0.05954787176192259,0.053267185501229414,-0.060966169873924884,-0.021882865258029068,-0.03443800969376298,0.05280092775855891,-0.00977020996525291,-0.18646515946473366,0.07800272594646797,0.11867757884548963,-0.08427598098618677,-0.06453759814665441,0.012254216335485154,-0.10371902617788696,-0.009131138611015966,0.05687277585148185,0.10536417861211944
FASLG,,,,,,,,,,,,,,,,,,,0.03511856900484754,
CEACAM1,,-0.03393249935255466,0.007083989130750422,,-0.0016669370755155255,-0.02208351614503251,,0.041567872635459156,-0.00873613767019101,,,,,-0.01501399229886504,-0.027323587889412197,0.10983487217893231,-0.016479387518168794,-0.02406307511092745,-0.00011752334937232733,
PDAP1,-0.07386529556576958,-0.04363445773154893,0.010327199882626,0.013908652355060926,0.03155576824003656,0.0020482725972337593,0.028614785209966808,0.04337433552568096,0.0003633993829351249,0.027406447924964588,-0.03585257630442173,0.05021083462858119,0.10629467661698597,-0.04735259579852176,-0.034762643207098314,-0.07260860372285463,-0.031697790826753655,-0.0377143900365966,0.007808787104271436,-0.06296625408313924
QDPR,-0.03153468544251024,-0.032058448613976914,-0.054523049066306374,0.025522340085919738,-0.03556820116199873,0.06521554983792519,-0.0534366032895572,-0.06969630414644215,0.03297111993458269,-0.048331587572670046,-0.16312494646447084,0.041064864398316615,0.011801618904802809,-0.03696412159061807,-0.1747727106758679,0.006691055964785435,-0.01015090136370668,-0.03621051026001966,-0.02106555028625615,-0.08740335577506354
POMC,-0.032882848728453505,0.005524509224194087,-0.02618072452587716,,0.05680816736114266,0.005545120859135705,-0.037279566095812317,-0.030829353343611133,-0.02128246082441869,-0.010297958700090891,-0.058041302275271614,-0.024878456331991428,0.08672272883009767,-0.04078139657177789,0.020715178382973834,-0.02475869129521196,0.060534993323692624,0.061851616420850124,0.02894382021400171,-0.023286107441026806
CCL18,-0.023355246944855083,-0.008124362488408022,,,,,,,,,-0.06264898988695329,0.06049435139315343,,-0.036420747378635605,-0.019372873056472305,-0.04344248189804358,0.0653373772057484,0.008829370630305474,,
CCL17,,,,,0.08398351702027995,,,,0.025006771231709874,-0.013718239203519342,,,,,,-0.020054211175987956,0.010430988374859888,,0.055159236771885715,
VEGFD,0.018354512924407925,0.008123253429793476,-0.021104109322213686,,-0.0023222268992907982,-0.021128257919548882,,-0.0013811074706982698,-0.024372324495649245,-0.010062494356285825,-0.02525345841547351,0.01476127463593073,,-0.04103204308292781,,,0.033095668682651486,,,
TNFSF13,,0.0941827952089156,,,-0.024389035558048063,,-0.013703805242845027,,,,,,,,,-0.02663590246499276,0.11709194405870864,-1.99080679151784e-07,0.18853650402690442,-0.03362221695445795
WNT5A,0.05940580184315331,0.0437156176269115,-0.00683491265884206,0.017742165337173977,-0.018204067702002082,0.048443315905071484,-0.021382986203870333,-0.0033869927164868955,0.050357189598792734,0.03484686481288697,0.05368308021987046,0.1008859572798457,0.11296870891803891,0.09037193799979264,-0.012977332710792246,0.03691791959331777,0.015466719794508825,0.025146609200783474,0.0755541799104468,0.07105557826249567
CXCL8,0.09810172700713184,-0.024569832547037773,-0.019760637088868518,0.05856578564524711,0.1207288175315867,-0.02060871259204642,-0.01949277414071058,0.025812108219605938,-0.02175412891403964,-0.009370632276373836,-0.05754418772317472,-0.025174773988666965,,0.0608898937812397,0.0064912680872764895,0.02801154950629814,-0.005562717101745518,-0.014638782477325564,0.030045774643058736,0.058432676916650245
GRN,-0.029885081014410116,0.01774585288046303,0.04910054037873844,0.05447002047610978,-0.04689627525887997,-0.002870292919213876,0.023925780998299874,0.009802445137105844,-0.010928576024772032,0.011438650801303987,-0.11872078572629996,0.028874451108539995,0.046666758686619354,0.1302064866175289,0.1773935344804147,-0.0008978940208795516,0.06250204937419328,0.09597835030056981,0.14444730044320217,0.1114376500457398
MIA,-0.01158077296914606,-0.013376876755550625,-0.01876851896122497,0.11974453379621455,0.014257673800638904,-0.007885098247299096,0.036167607646206794,0.010937380802244259,-0.04496286175715974,-0.011443968188695598,,0.005659319458840975,0.06524670929618899,-0.05494674556058291,-0.026047386538636575,0.03851207936923457,0.08839670845273977,0.055585184105824824,-0.03510355168557663,0.027487810319487577
COL4A4,-0.026490173852599018,-0.04347206688538459,-0.010358489683211554,0.02250546621344388,-0.012212772560184462,0.0046193370016476805,-0.013038565248752606,-0.01206040717084399,-0.02388313550839325,-0.004342552394116968,,,,,-0.024493364660945476,-0.010289171683683119,0.14444511337608842,-0.007307399603340795,0.07280416636482245,0.031077226730776238
TAC1,0.040732309720385024,0.06881556171883838,-0.018888218931262062,-0.007738053653903871,0.021427840498193754,0.11461505650677814,0.026065489696918902,-0.013661109898634954,0.014696044550844235,0.07233988189521356,0.20765408362721474,,,,,,,-0.04151565971516164,0.12199345597821323,-0.03441174801763766
