,UKF255,UKF275,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
BMP1,0.05738676564207899,-0.008534195243580546,-0.002650303592414728,0.18156032075964051,0.054314523957678995,0.09771312762280639,0.053899155871151024
NDP,0.02136823929455076,-0.008426042487936714,-0.03792444822565258,0.15871675729422174,0.13059276990589322,0.0005530205365217068,0.010860024425947518
TNFSF18,,-0.013506324584756898,,,,,0.0007423487353213493
RTN4,0.07562664703176937,-0.009088064982760723,0.015207277402426275,-0.04489332982789184,0.01578408131556934,-0.02585474036877892,0.05714309503761921
HEBP1,-0.06128781885960797,-0.01869075025154914,-0.012441559563398548,0.08181302166339087,0.09258618414997746,-0.011644884356163114,-0.02362182546685826
WNT7B,0.03843632433440501,0.009955639754096494,0.08311879107074734,-0.01596171115902953,0.00829341926938686,-0.012795669715080725,-0.004011782568034322
PTMA,0.114155672899382,-0.00938495567971534,-0.16688140040168395,-0.1544861384453363,-0.08078799617812747,-0.02055894971716513,0.035427771178397405
CEACAM1,,-0.021242230905586076,0.017411535440983675,-0.05693163452874611,0.004363440451801816,-0.03119806395297563,
PDAP1,-0.03932490380577867,0.024191726325184026,0.0121066778995124,0.029820071525948524,0.019309899680004756,0.01548568754087269,-0.0329398513787666
QDPR,0.023821021987956142,0.022111014819919932,-0.0839781523435416,-0.004096316088714017,0.02811276173006658,-0.04540022324368983,-0.03392571260550169
POMC,,-0.015671670993162513,0.055699825032590244,0.15211484667507966,0.05633987921185161,-0.011994944417196514,-0.01693063744665941
CCL18,,,-0.00689399531961454,0.04525458332465996,0.07171135585661105,-0.024943602149450433,
CCL17,,-0.01684501635781759,,0.018665407540929536,0.010155263417161832,,
VEGFD,,-0.002365147534636972,-0.0590282078929383,,-0.014498082812130452,,
TNFSF13,,,,-0.031961608191505814,0.0334962158093692,-0.02395713479508043,0.07339663804853187
WNT5A,-0.02084798746869172,0.006875162312127829,0.02825780702537284,0.02334035775392022,0.09776807585493012,0.02369857708478282,0.008340084516748614
CXCL8,-0.06638147134680451,0.011025216955742894,0.047202728916414895,0.09912290982081542,-0.06385585526965512,0.03426541590519979,-0.017211029983633414
GRN,0.005153240614617604,0.0004535845279314993,0.06228175716204137,0.10175436743985665,0.06964120590232646,0.013390424747043276,0.07933971134319799
MIA,-0.054145911643616366,0.0016681121336943243,0.05869541118080701,0.09060871618868468,0.05474047500359205,-0.053119242482849854,0.05716869353767034
COL4A4,0.013800762355291537,-0.01758671823998903,,0.08399556788585111,0.011993736100671238,-0.013317011234411338,-0.024978818368709126
TAC1,0.0072950148282122295,-0.04039866218759278,,,,-0.014238480256166306,0.05182178017216088
RARRES2,-0.043918113366305515,-0.010608327630910675,0.09451198418663409,0.1622070798057453,0.06581036662086305,0.03177752918103824,-0.02667871062846119
FGF7,0.033457217947508576,-0.01729950279267462,0.06646397502790925,-0.02214125652211132,0.010623015460858866,-0.007278045191296526,-0.012575982780417728
EFNA2,,,,,-0.04128895605496308,,
HBEGF,-0.042091859535238266,0.02382957050162979,-0.07999908432399362,0.11605222623403438,0.12393536809635856,0.020329950158796843,0.06704646773506383
CSF3,-0.010220411915484636,,,0.14029914999167575,0.06233866453170635,-0.02764028336628619,-0.0024262112400652135
