,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.05247936534168708,,,,,,,,,,-0.03195585268830959,,,-0.004783846163169455,,
BMP1,-0.020317257119457012,0.08819768954595006,-0.04390635815591013,0.010834784999980283,-0.053749322096206024,-0.02137810797780778,0.045595956291071736,0.17964661934161558,-0.07447085015680165,-0.02263528975904797,0.06519222697450328,-0.06348689174239583,0.01991851795844662,-0.017583524937036,0.05543723549634711,-0.02759931049235312,0.0009328560363357772,0.011822340562665899,-0.0036209764493658815,0.02343264064524001,-0.03423973453156384,0.015919781310245594,0.04332666489259906
NDP,0.031268883509989215,0.07218249969290752,-0.03796431424462708,-0.03411228423458495,0.0015791946849752492,0.017697336365541744,0.03828046578474401,0.05900900319696907,0.00526198419289345,0.009905569691087256,0.018094067425151482,0.06371876926887514,0.06244175645890393,-0.026130946570668327,-0.019355999531708398,0.051951998906177764,-0.00985946097657368,-0.04544945468598384,0.04132005982878085,-0.004897290207678755,0.06740247760875216,0.05223976240414059,0.007610763362407512
TNFSF18,-0.03160128999839635,-0.0006579872203426777,0.046966981738524476,,,,-0.018930538181127166,-0.015649922524339766,-0.030956930912442414,,,,-0.004188900472180623,0.04948215437807247,,,,0.06859264429489272,,0.09245665490541362,-0.03768386336375784,-0.037159123420401736,
IL36G,,,,,,,,,,,,-0.016645195178203336,,,,,,,,,,,
RTN4,0.04149987383777952,0.013854385093605138,-0.021289307576507602,-0.0621794842364979,-0.016742006577614335,-0.011373118120180969,0.01667125648962129,-0.20005870810100082,-0.05316024226809519,0.01688094739196341,0.022239373860895365,0.06266254124272089,-0.012018132012031122,0.050595757822545495,-0.06941358968648838,-0.05774853089235131,-0.00306316311043058,0.06711272162713044,-0.07229721331426252,-0.01593894551633897,0.004130550158139724,0.08956830082410286,-0.02149297883085127
HEBP1,0.014566763351889202,0.03202120160878889,0.054390132881074436,0.03515304243211153,-0.014636954043864446,0.013350336439194616,-0.06496636052553703,0.08499841389862181,-0.010605900420331799,-0.038005484790906305,-0.0013712835067342033,0.024826607957270357,0.03161970974706792,0.061723148298439535,0.010864001000317586,0.034876591049309014,0.02090562304229113,0.05080320257283238,-0.051058404743497245,-0.04567400601401097,0.0878426154467978,0.0280923399906485,0.034868914183990275
WNT7B,0.07818337883538405,0.037891836867849006,-0.019199452018561262,0.020703463835703,-0.03397478793748959,-0.03312306872253432,0.05010108569695059,-0.09513515818647253,-0.03117319266005774,0.05680234845718112,,0.01889058948807505,-0.0320044338701123,,-0.03962926974010353,-0.020420242291853272,0.01605106340020286,0.04319947105912848,-0.025860397236764938,-0.03862773603315615,0.0921220396230972,0.011560168163901258,-0.04854046008892017
PTMA,-0.0025891184242089974,0.015359540925412859,-0.01615765470965365,-0.01739302695175943,0.04075550434969417,0.04459888362900396,0.00724513431080229,-0.12426888926780115,6.149942070026431e-05,-0.009487112158223026,-0.021677205227425136,-0.03119541402353807,0.021177993862572003,-0.04167394283844739,0.015071729139643058,-0.022306340469537216,-0.051399186145108286,0.03674446992983922,-0.05703759563383724,0.02334617843849054,-0.06884318706318578,-0.029831613053118565,0.14501960808699868
FASLG,,,,,,,,,,,,,,,,,,,,,-0.02725234552482106,,
