,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.04527047427625446,,,,,,,-0.01921106174313712,
BMP1,0.03720672789823383,0.01357959476018751,0.020037431480524413,0.03368451504508861,0.04986002489181909,0.026970403867358946,-0.008460744060028905,0.024698972359099507,0.06337326181321988,0.0018006394980527034,0.033921765923383175,-0.01074690258876137,0.13632841243435598,0.05376693268503596,0.0016465332773322196,0.03716940211171601,-0.018648093312986006
NDP,0.03318340631927641,0.1028178655368136,0.058742951038290546,0.04560387561120515,0.03548444792808218,-0.035971785632430725,-0.007111407290158383,-0.037272915288627334,0.011261268374702475,0.031010805754531058,0.04654560469221477,0.07582242668159273,0.0018659404340662994,0.01254405835882532,0.046578159563922854,0.024111003211642116,0.004460634318804099
TNFSF18,0.08145224690061206,-0.02409658700206264,0.03420431011561067,0.02832120060256835,,,,0.0896984497034258,0.02090848424567055,-0.01001523024999926,,,0.09068732714035646,,,-0.005090733073156109,-0.02855811538921952
IL36G,,,,,,,,,,,0.024976415569786893,,,,,,
RTN4,-0.09199272618026762,-0.0843001208201761,-0.026052991780636567,0.009001827053151314,0.021755891410049674,0.00994428352204532,-0.03535639169802602,-0.008870829586035292,-0.03445353546599327,-0.015077388061169598,-0.06115461798728183,-0.05723646879394906,0.03604967564907495,-0.043531470762958026,-0.009274535058869065,0.0002620632437654744,-0.031694375515079386
HEBP1,0.03295732286977245,-0.0081404205818169,0.0566783439609248,0.04819462672110982,0.12891233441132335,-0.012543630054929696,-0.031420104779012845,0.04977875610476221,0.01703874777016074,0.007763792991015747,0.006945379631451085,0.08867420505356616,0.05183820292202847,-0.006616100537392182,-0.02173146134902654,0.06807366063114631,0.02685996204040209
WNT7B,-0.028986558808063386,-0.03526470609580924,-0.007591466957749746,-0.02082429739391497,-0.03615574447363323,-0.028867302110798618,0.0151345465056465,-0.0007631329311614684,0.03285690816269301,-0.009187737427075736,-0.017926776492259076,-0.04445228504979867,,0.028463534399957524,-0.023242005515437533,-0.020586420067581636,-0.02357412865051123
PTMA,0.06564419514449608,-0.07026824508900743,0.07622271982196455,0.031859578978582395,-0.016909182630687667,0.030469386807967264,-0.043296015647207614,0.0425969396723876,-0.03040854525921487,-0.009744550376284756,0.055927324278312374,0.0900232432041448,-0.025257957943022602,-0.03469858795976087,-0.015533240398806008,-0.07132560138929488,-0.018333356407078782
FASLG,0.01850274486613231,,,,,,,,,,,,,,,-0.016661747295874402,
CEACAM1,0.04034521831149947,,0.06918078103631994,-0.015981395752680552,,0.06411812751343968,-0.023793193346398563,,-0.025856699135212987,-0.01575157121451069,,0.000608777400074551,0.06235792716949327,4.3485187191954464e-05,-0.02043581436692437,-0.023182374196969602,
PDAP1,0.055756444650936265,-0.001651583483862928,-0.05372833247367312,0.06207833796762411,0.013994406686471656,0.03872511692843631,0.04208798723911499,0.06036943103194284,0.02204158437261892,-0.014468853709896133,0.032670222673738654,-0.010010513807399021,-0.03324115216406173,0.024687123458211956,-0.02712954831050753,0.017475974003896833,0.04932092969655825
QDPR,-7.527734065913208e-05,0.0634196409223305,-0.011320498360845295,0.0012471107109336941,0.0017779368674144392,0.029592824602936538,-0.019134800984229587,-0.012445397410729335,-0.08191297702233226,-0.040746916748870356,-0.02751258214881847,0.007660800529565659,0.00773134146015705,-0.1731608139785381,0.06061109138665754,0.019765048393047435,-0.052534428101717934
POMC,-0.018625701380534796,0.004172772967137158,0.054661016995691265,0.06397166495035089,,0.035009269903434594,-0.024727045131037982,0.0248715642295547,-0.03333071867408082,-0.01162088119634674,-0.01590484351178113,0.08998132318061566,-0.03690691576561419,0.001855187731165817,0.05824430732521474,0.06966354921467759,0.07409610923196418
CCL18,,-0.014643115902869656,-0.028461334764927473,,,,,,,,,-0.040893171762214256,,-0.02659197329132098,0.02891841796826981,,
CCL17,,,,,,-0.004357734161255754,,,,-0.012490942027185384,-0.014899820009627604,,,,-0.029500380987512422,-0.015102002482603303,
VEGFD,,-0.004426525010929511,0.044215414296687905,0.06408515696638652,,-0.021525153209252034,0.04275842835848125,,-0.02216678308637611,0.028425012534167488,0.09143004569132679,0.07052707887847132,-0.034722551491325096,,0.0986941959219784,,
TNFSF13,,,0.011467348473955384,,,-0.013326837753698462,,-0.013703809020652224,,,,,,,-0.03206590554748831,-0.007827115163752127,0.050154800298061894
