,UKF248,ZH1007inf,ZH881T1,ZH916T1
IGFL3,,,,-0.0159543115352888
BMP1,0.1073301884246142,0.10679805843380283,0.01867355623643142,0.10640988667044815
NDP,0.03080257370078539,0.0020004989365719358,-0.037325234601845385,-0.07505925905721568
TNFSF18,-0.013908187075777498,0.184991020056724,,0.1269229447519137
RTN4,-0.0013022283383719753,-0.028560257304312654,-0.00219917858770038,-0.05603412437511706
HEBP1,0.043511293626699435,0.0043265715508881575,0.0016808323432451779,0.026619117335035188
WNT7B,-0.001954620182280598,-0.027396288350585926,-0.020366673885378588,0.0278914378500948
PTMA,0.013381001140745932,0.06152343858974057,-0.006990056584636898,0.12561617983923062
FASLG,,,,-0.01383716895166395
CEACAM1,-0.016909163416565638,,-0.01351765766452986,0.04447902475493272
PDAP1,0.04969209800889591,-0.04341120651475771,0.03903226895302123,-0.0331067444217373
QDPR,-0.08064233324890945,-0.07744405591449874,0.028727146634542216,-0.058131865264730395
POMC,0.0885655886414479,-0.03167845871736273,0.04798764263391726,0.07334339306236866
CCL18,-0.021101038298018272,,-0.046551375588747355,
CCL17,,,,-0.012541839469139759
VEGFD,-0.021101044998586244,,,
TNFSF13,-0.015923525684495267,,-0.015179423569579693,-0.020435880590157367
WNT5A,0.05885113497243516,-0.02183637611879287,0.002409725418407655,0.07880741317149655
CXCL8,-0.0401070711965361,,0.0035182491708824763,-0.004403808699616372
GRN,0.11877768256479453,-0.08236203727714206,0.026747054539599576,0.11177614650080828
MIA,-0.03275555870991521,-0.03142957553179935,0.08166055627358512,0.03449083159689323
COL4A4,-0.011311850924494141,,-0.013936482101776691,-0.025859694003226918
TAC1,-0.0713476389825347,,-0.02332181041532054,0.009165402270081228
RARRES2,-0.11713689536383468,0.011355818961020031,0.09669268992039685,-0.01489439986779459
FGF7,,0.08820192491081352,0.02850478724479231,0.00953247586625634
HBEGF,0.14823479339650433,0.005431686080229876,-0.010728233590176509,0.0028397343012743397
CSF3,,,-0.019379408756106446,-0.013204622153903106
PI3,-0.007085924742967875,,0.017265629399235784,-0.028689257134777626
PCSK1N,-0.05766006081950801,0.01249072062040938,0.05320736751615347,-0.10654761381617309
NTS,,,0.009846252572385052,-0.01955424481157715
SFRP1,0.06564211506421541,-0.07085681312233166,-0.007132848520604375,-0.019099853701698796
CXCL13,,,0.1799055237867291,
MICA,0.10130793271426033,0.11410854713430248,0.0075083602021517905,0.05262138501136485
TG,-0.03322901620568354,-0.03189167626596435,-0.01594955120152648,-0.025751531881161045
ADA,0.12497804184851309,0.030075741830113866,-0.014200662826887598,0.08587105629400622
LAMC3,0.1583161691550546,0.008786502180044868,0.05560417888384784,0.14369065639831102
CCL7,-0.013422042926098944,,,-0.013837164031331834
NGF,-0.007451826573432099,,-0.022080772118980994,0.003447910511996073
TNFSF15,,-0.029396052371370822,-0.012034280134144542,0.03513634224543185
