,UKF296,ZH8812bulk,ZH916bulk
IGFL3,,-0.018219043330381456,
BMP1,0.06639509247545242,-0.06878664350013718,0.03977571824130052
NDP,0.0003235918648605554,-0.0012435096283495326,-0.006645441988075789
TNFSF18,,-0.018788977801622524,-0.026018900392581878
RTN4,-0.05335215472301165,0.056508059022044387,-0.07679771573468099
HEBP1,0.0005718691741647843,-0.020792780285831185,0.019563698089351378
WNT7B,-0.013333401711275476,-0.03928927257194622,0.029690370536070296
PTMA,-0.02553439301308415,0.03841600589345583,-0.07053847823654753
CEACAM1,,-0.02699779950509897,
PDAP1,-0.04639334433048096,-0.050960279061120724,-0.01683122009511861
QDPR,-0.011579368612796634,0.017180725827786347,0.035177751968376164
POMC,0.047213445246200254,0.07080831452785304,-0.04369393984054407
CCL17,-0.016503013593284016,-0.02402075620772199,
VEGFD,-0.012105160048639953,0.057973479364403516,
TNFSF13,,-0.025759154593876045,0.041261465488031945
WNT5A,0.01295068957139566,-0.07239054181505906,-0.002703336550774059
CXCL8,-0.011272851387151084,0.02643580904271897,-0.03619342695013499
GRN,-0.012458064960071102,-0.05569666028207171,-0.11342899945569478
MIA,0.006679982016117617,-0.01959118513952374,0.027685384275414292
COL4A4,-0.023127583131587425,0.01867659980055532,0.035955523905752886
TAC1,-0.04176524308164151,,0.006531397685007399
RARRES2,0.0019462696460122869,0.04839835402345912,0.06867101286040597
FGF7,-0.022407435055679346,-0.03111207268677463,-0.035736435519726176
HBEGF,0.049739468647279406,-0.02933778583552084,-0.04797139042713056
CSF3,,,-0.002364006535066755
PI3,,-0.02040955009528886,0.043642292253485676
PCSK1N,-0.011065909813487462,-0.01612269733778276,-0.0685255072975722
NTS,0.0608574535493971,,
SFRP1,-0.01650301375948292,0.06604651190804613,-0.041514934120442736
CXCL13,,,0.10650081069252486
MICA,-0.03893703314532504,-0.00473650195469543,0.035367329372818564
TG,-0.011943159271124128,,-0.029744932935677655
ADA,-0.019396651125813444,0.13014312806488404,0.019585617705846253
LAMC3,0.004517062022584744,-0.051673744827517146,-0.012913032446201357
CCL7,,,-0.034483115363255976
NGF,,,0.016898907271571867
TNFSF15,,,-0.02349774327550527
HMGB1,-0.006488503361151443,0.02743402871160186,-0.008685870159965794
ITGB3BP,-0.007997666758534094,-0.003346254272874073,0.0417163649289184
AANAT,-0.01376707099811874,-0.029712904793176988,-0.02031850235174405
RELN,-0.01558214388302126,0.11818608689559962,0.01748858406767368
IL15,0.008354039911159435,-0.03700202853041154,0.021355668533145425
BSG,0.03196818322358749,-0.021154346407213833,0.04415195157296759
ADAMTS3,-0.020149669091273074,-0.046038190537336925,0.06151249150811911
CD34,-0.02575781603269495,-0.0013914943654160488,0.011232268970531176
PLAT,0.0698445458925212,-0.02828030795091642,0.028091108760594313
NTF3,-0.022223336788014417,,
CKLF,0.042121092259177144,0.009557998155238926,0.0509740400254171
CD24,0.03640153393144537,-0.030812721096577372,-0.018296260657247706
HSP90AA1,0.03912693516691498,-0.0005617643260064569,-0.08735148692247638
BMP4,0.04172747494355003,-0.008643559176362656,0.0399292306667136
SCGB3A1,-0.011612659038359448,,0.022430758911267976
IGFBP4,-0.0004076291427356702,-0.048323713518445936,-0.04853479306691159
RSPO4,-0.011612657339745367,,-0.025620826631326647
LEFTY2,-0.012733420798950608,0.0031465815427181736,-0.03316257988933205
PF4,,,0.0048076959699619535
ANGPTL2,-0.021059951635337415,0.03757375758134488,0.02931204688501559
LRIG2,-0.0032822705505788563,0.005536510543107773,0.0647407405145019
ICOSLG,-0.022038655061117567,0.014400987663352566,-0.049272169590174025
WIF1,-0.021852616767711715,,-0.023527210926823174
