,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH916T1
IGFL3,,,-0.018697410399901936,,,,,,-0.014974387102758824
BMP1,-0.02650352611806491,0.03159199503139971,0.08482646626324673,0.0065008832308129485,0.057129332559541585,0.02679654989191011,-0.05005858356607731,0.02480623307036947,-0.016857936403068083
NDP,-0.028677274117612783,-0.019101809668650736,7.156744086607137e-05,0.04735559685329805,0.018369526570615344,0.04049524143928672,0.09270975575289243,0.036089151051775466,0.0533849398543344
TNFSF18,,,4.417270891987004e-05,-0.011390331627774931,,-0.019603806134574155,,,0.02375302357065981
IL36G,,,,,-0.01375291054121208,,,,
RTN4,0.028510477423843113,0.05388352282211594,-0.10827191967737765,0.02328489005005702,-0.05691218534092523,0.0072115726799633125,0.03250644981324998,-0.03975688704301848,-0.05433507768865577
HEBP1,-0.011287635022165721,0.014488073802832473,0.04713683668553499,0.007952467031399846,0.006395005210180683,0.018214362689657884,-0.03628574726111165,0.007231597158658046,0.10056408076783831
WNT7B,0.028285600677594523,0.008973849715131476,-0.056208784065645834,-0.0074103077913708045,-0.01511603358944984,,0.06733789097096664,-0.005878302185084205,0.03625741787347148
PTMA,-0.01748643600224464,-0.03337849279590364,-0.06143891454781635,-0.03617938665128335,0.003982183481772817,0.07381294578772335,-0.04246891089664304,-0.01922656214338808,-0.026951807178593634
FASLG,,,,,,,,,-0.01298728082563675
CEACAM1,-0.02589261369391418,0.003350171183045554,0.020828223664835555,-0.01791427808579873,,-0.029222894136514767,-0.019823702139457562,-0.015399748134025506,0.05022058150444051
PDAP1,-0.021664118633703797,-0.001473041980303078,0.043288930464966624,0.0015008956559751387,-0.006702017582977807,-0.03415760958057887,-0.017682318132025265,-0.0057758074338838655,0.04915810969667713
QDPR,-0.05028462129959458,-0.008666246913003326,-0.16161356737818855,0.020873568854012,-0.054808053273278375,0.034846557190489666,-0.01847543595299663,0.05282148512973374,0.012729548414466628
POMC,-0.024112252426344693,0.01976430310525956,-0.047098581059234514,-0.013216440094662128,-0.02946575824007698,-0.045596739467527216,-0.04759806590561079,0.008451996216768605,0.04525251363259563
CCL18,,,,,,,0.030354236264606576,0.01879863106555602,
CCL17,-0.015007679147750908,,,-0.014205961169286475,-0.01256367422439512,,0.016382516146749636,0.014977999037084222,-0.011771511342006546
VEGFD,0.00017067661730271605,-0.016943570781140022,0.10996061347554104,-0.015135250069147626,-0.013464878805196949,0.009088207695666577,,-0.015399748134025506,
TNFSF13,-0.010351961194341192,,,,,,0.007308226908109184,0.04655665795894166,-0.019180695203670065
WNT5A,-0.04051192434837453,0.001245458329184745,0.06732790942276046,-0.008821648804809323,0.012167852894726845,0.03855652487077406,-0.009733436430850532,-0.004511467742537024,-0.035356871071341694
CXCL8,0.057138995863376583,-0.034531130721529406,0.07361083898667274,0.0030571534630503654,-0.014714353211924967,0.008007764835118133,-0.012586123912125049,-0.02931418139440975,0.058488867932773275
GRN,-0.020472666488074318,0.01981338810750951,0.06961723539538309,0.02431366660009026,0.00316971233451305,-0.04633473864910934,0.043379196687801595,-0.0012549017943053907,-0.042685336564892824
MIA,-0.012864611566960666,-0.05141264825321941,0.09871645416232078,-0.0171420689534825,-0.018440768586261945,0.018258815918324206,-0.048079394475738835,0.06903988545819821,0.049274810765098015
COL4A4,-0.028317962059297718,0.047808930291713576,-0.018424910130691505,0.022494430348870015,0.019091678790705294,0.314118554653596,0.04910762889000081,-0.024657404650448522,0.001883823686036746
TAC1,-0.04389575064314225,0.018872554539918398,-0.057182487505001316,0.016766170441111995,-0.03170168665463845,,,,-0.015474848636721751
RARRES2,-0.03276654953017739,-0.010801993720072643,0.08792590094229856,-0.018886328882904514,0.06641913745216002,0.11809219410809553,-0.03773404904247908,-0.030503133089389043,0.02295972559758781
FGF7,-0.004864521836573634,0.01593056954735487,-0.013166232347008987,-0.033810216118244946,0.029455367049591653,-0.004543385503610009,-0.03190828845684633,0.09023600154890721,0.05692560250395643
EFNA2,,,,,,,,-0.014636430002858355,
HBEGF,0.02957503154997424,-0.018497536753166385,0.08844217192170074,-0.0011681004775750286,0.010559087446796383,0.008156420099532404,0.013998841772633799,0.023830696013347762,-0.02918315489928878
CSF3,0.07980283797859723,-0.04977131167079973,-0.019493200282789242,,,,0.013033511787506105,-0.04149210745065498,-0.012393585473171648
PI3,0.1567978225108422,-0.022487329362974994,-0.0043542663026002295,,,,0.04540974200971974,-0.09866771179167559,-0.011495189532737286
PCSK1N,-0.04986974453078724,-0.001518856267336731,-0.021131951521964128,0.00097482986810194,-0.014459523915875525,0.06937965620098242,-0.060119432978341734,0.034580041228355465,0.015750780485043702
NTS,,-0.03626982510734558,-0.023959488011214235,-0.0005692989059267894,,,-0.032809748082467005,-0.017831712499412948,-0.018353210081363074
SFRP1,-0.013094780157096635,-0.01932968002743916,-0.04281704805206488,-0.013648154426301393,-0.016106389942508365,0.027416189584847348,-0.03281716180336341,0.06377836305179971,-0.017926727975863206
CXCL13,,0.019579344868556805,,,,,-0.031590531327572564,-0.03760516108521325,
MICA,-0.020080701098909675,0.01983247629816302,0.06763003156203247,0.013544903081561043,0.04615480192744835,-0.03318199186578141,-0.024222750229251272,0.025057494193635815,0.031871932268001446
TG,-0.01413134245109597,0.006907781799827847,0.07720075988815607,-0.014311968274859237,0.016483113146988696,0.021506421128532207,0.07220303013419818,0.05124438200668869,0.04647404750454152
ADA,-0.0075410489143573145,0.011464427069708294,0.09937766858107142,-0.046343335593714556,0.07966750728580144,-0.010936415615461364,0.02796737960345366,-0.028429927417220925,0.02166021321388971
LAMC3,-0.03550600858250234,0.01999418472116988,0.10324855032132024,-0.04231304930306784,0.012314019311480693,-0.05009505516571625,-0.07322089676250575,0.037664606865501986,-0.018304904270074775
CCL7,0.01761141110063378,-0.02539726593031321,,,,,0.04261843998399852,,-0.012987276207514708
NGF,0.16439079177768656,-0.02710893799947971,,,,-0.03954784564321143,0.013329032252749515,-0.014439691759502592,0.006374643912823135
