,MGH258,UKF243,UKF269,ZH1019T1
IGFL3,,,0.14623103663287304,
BMP1,-0.01854049430376526,0.042173401895862404,0.07436283989650351,0.003340272567376486
NDP,0.101884562760433,0.006722544456614583,0.02813538741205645,-0.14424288184156928
TNFSF18,0.24384262485094702,0.01325785061608096,0.06867023801415084,0.006038183686375569
RTN4,0.017062785988406735,0.03904141534418432,-0.08800912206298832,0.03199949170685532
HEBP1,-0.024938637638075307,0.015468854191213854,0.05072810012767518,0.016817214404677927
WNT7B,0.14007769855671634,-0.04214949172698317,-0.04192908831963667,
PTMA,0.02459876574288222,-0.02661486447830005,0.04170931182277351,0.04207094305159818
FASLG,-0.018647598950136048,,,
CEACAM1,0.07416946184252646,,0.00973714672383554,-0.03014966006870658
PDAP1,0.055072481504474455,0.023229844865172242,0.07400671565578441,-0.030379202707623003
QDPR,-0.0005961636358210862,-0.027768020893748063,-0.11200885959091425,-0.09093753255961116
POMC,0.010058045583679008,0.04212634976106082,0.021308186520287237,0.04230089808862693
CCL18,,0.025957805537436957,,
VEGFD,,-0.02728701917397231,0.09370887424170546,-0.0409878021689472
WNT5A,0.030707061580959406,-0.01656524766781369,0.08101357742698274,-0.02330311491788481
CXCL8,,-0.092693048023024,0.041938570833739745,0.09355805973208742
GRN,-0.061551790203938424,0.016666748539720885,0.07894359997948473,0.034724566548572165
MIA,0.13275492613774398,-0.02768810868796352,0.11468983749272568,0.011715813478672957
COL4A4,0.13012191698199393,-0.027469146955487453,-0.0118554749020999,-0.032094256321547145
TAC1,0.023726095265834708,-0.03440296504053942,-0.0647161958622486,
RARRES2,-0.021177718324580683,-0.028492993528820405,0.08150356801327899,-0.04524979431173138
FGF7,-0.006489812370000107,-0.034168190549762445,0.04989707803474974,-0.03265935887115608
HBEGF,-0.005509389848584497,0.0018133817961446907,0.032744942163399945,-0.02922901806202372
CSF3,,-0.027469125208081754,-0.012542864256865769,
PI3,,0.1130561852580546,-0.014123430701120045,
PCSK1N,0.03364157445881189,0.1212790604329953,-0.04828447008624877,-0.018610190057474208
NTS,,,-0.01541668896994794,
SFRP1,0.11605573444436666,-0.04241270188768108,0.04072263900610282,0.0063380536533770866
MICA,0.09626339463793722,0.03989182128248066,0.018600213114671072,0.01381239580710327
TG,0.10656400643590035,-0.021897277186861228,-0.015138114973366581,-0.00019598587748469884
ADA,0.03372090331072292,0.041521553738074146,0.12920473688699463,-0.009561891809100944
LAMC3,0.08881188482478306,-0.006293338662122178,0.012154944948015367,0.036369334568013924
NGF,,-0.015825743883421634,,0.09418850452793609
TNFSF15,,-0.019578420290536733,,0.04166540605555155
HMGB1,0.054386174135831744,0.0821356005853886,0.1056271727592791,0.0727908017102016
ITGB3BP,-0.04303321716678953,-0.028770958232476555,0.07174355751891151,-0.03717450330403253
AANAT,,-0.028365143550184355,0.02236356866208284,
RELN,0.05923757769703466,0.08136477067583828,-0.0331988346655858,-0.010385314818995442
IL15,0.11949946584188693,0.05753907161419818,0.11247503843423769,0.038156561317700344
UTS2,,,-0.03732087131509481,
BSG,0.03322139165727206,-0.025250891608728558,0.012380332924569817,-0.017388885142950422
ADAMTS3,0.022413668391405985,0.02707817711557446,0.05962996833984689,
CD34,0.01390042169091241,0.0012567890991313667,0.03364644391626967,-0.014616622822383669
CCL23,,,-0.012873539427052801,
PLAT,0.020596145433715726,0.03743337552614208,0.08255752617026624,-0.026316724104095624
CKLF,-0.02097016611650353,-0.04732907403418224,0.07933480270081783,0.0566703105400827
CD24,0.05405669637860094,0.10017795852025088,-0.024213427585404665,-0.08939433847736485
HSP90AA1,-0.018243191226696997,0.011970409886504777,-0.057287307194952466,-0.0847946213020992
BMP4,-0.04019693447603385,-0.016706089558938438,0.041690975051462964,-0.01674839511274965
SCGB3A1,,,,0.001981218008544266
IGFBP4,0.06111551953155236,0.01964006028377351,0.05876991950259394,0.049860361688088856
RSPO4,,-0.0193327686686045,,0.22227648355297178
LEFTY2,-0.038672382815987644,0.04131343190450893,0.15184203684295008,
ANGPTL2,-0.04015406115696231,0.04060416201537427,0.05138421758049292,0.018958936769073086
LRIG2,0.02394960881925618,0.045808536751289805,0.0717786631233503,-0.024688067869709843
ICOSLG,-0.012274653475423001,-0.0538774737147948,-0.0026770602922835626,-0.03400565059671353
WIF1,,-0.01628686397280885,-0.059562882254564596,
NPPC,0.05358299711677848,0.02512233301061243,-0.004796013616763187,-0.07007760985744821
LYZ,-0.04905506476506909,0.004951173116794684,0.06870969017936149,-0.009686776479352902
SPTAN1,0.06589528310335643,0.06814847654329596,-0.0010986472749924083,-0.018638718673851945
LIPC,0.03259689248728109,-0.04054726242808264,0.05319050888120004,0.016900786110506383
COL8A1,0.06509715904672439,0.020640336839521902,-0.029254066078069543,-0.0393607438083091
GSTM2,-0.017050107852422815,-0.04978500179761683,-0.019698867923277127,-0.06249568239851641
SPX,0.02054511852246002,0.04682515185246193,0.036366836238796836,
MFGE8,-0.04671620883673382,-0.07445335060932869,0.04187736644639801,-0.013153345035047727
TGFA,0.03244391147939916,-0.00887296007399666,0.022880109980216546,-0.06007025862770777
SLIT2,0.046035741648723184,0.025647418228274592,-0.037594698801085444,0.08598852761450458
PLTP,0.03746830598697835,0.046976336552654444,0.011455747052531487,-0.13548284480009623
APOD,0.016805631790108515,0.08741436986758618,0.026391352277506327,-0.03416281664392185
B2M,0.04108486224707895,0.02846293603470957,0.08231966417201153,0.07492309147115642
OMG,0.07636198377076056,-0.0067265895988399505,-0.02509537737807914,-0.1158798146889473
CXCL3,-0.03145398686014461,-0.014959124421426663,-0.014854745092152467,
CXCL10,-0.035873057049341316,0.02229899909617941,0.07358002972386235,0.031393291450652006
RSPO3,,,-0.018578192833585954,
CORT,0.012250133521277419,-0.021675439887866854,-0.032153725033454546,
NCAN,0.032078346255355855,0.05518893280299343,0.05303369612141234,0.12088137075489672
PRG4,,-0.029581886265636067,-0.016093762445174523,
ZG16B,,,-0.01737580281504725,
TGM2,0.015440204592286332,-0.08825621569819361,0.08364851009311125,0.009775902285815081
VEGFC,0.08493443639196303,-0.021225594017651176,0.014284451618216905,0.08466869653789129
WNT6,,0.060482212437797736,-0.01582610797782666,
NRG4,,-0.020061521262889025,0.09586166779519124,0.15317146955953145
COL9A1,0.032222100376562327,0.145215367825899,-0.011189669270734582,-0.021612050382829456
GDF11,0.02587701090200961,0.006444299060265569,0.022300633646321497,-0.000641998395124126
SORBS1,-0.038255465469450314,0.06152155205371903,0.04428645869437753,-0.033232699097967985
DLL1,0.050096871191554204,0.007869819807652082,0.08403718967912283,0.09913708043118909
TLN1,0.0444630985896287,0.05522466045804841,0.013565077478933336,-0.06975490386320157
COL2A1,0.030231603099266022,-0.02053428810074587,-0.014854750147386858,
SHH,,,-0.011677638562378771,
PON2,0.056839870861375964,0.0033795603073239816,0.058869834181796615,0.009039304236692613
ICAM5,,-0.033784883709273565,-0.029027633436842847,
HPX,0.015196239463756173,-0.0326995253482824,-0.021631611032486127,0.052151108276612866
SFRP2,,0.06450565500541124,0.05289229952824205,
CD70,,,,0.019938085119188945
HP,-0.00351485531128369,0.050705734883124215,0.04802410591258977,0.049865503799684255
CXCL2,0.0072556533710300564,-0.05307844437668073,0.029239305221704294,-0.0007401835597023752
CCK,-0.021927674646080635,0.047098888685383165,-0.10068257944642872,
SEMA6A,0.04587815830423345,0.08459385804540615,0.09546570596959712,-0.007423188760647867
IRAK4,0.030349699969718903,-0.010766445169992958,0.11172711056982348,0.09981259349877748
GSTP1,0.009171639011606681,-0.04367228189945581,0.0697960580947597,0.07501646772196534
VCAM1,-0.023488429801597148,0.026587898863352152,0.06139038769927239,-0.034849722275894154
NXPH3,0.05319986241110981,-0.031073335646362128,-0.003509131972698884,0.011869163175527818
MTMR4,0.07765171473388569,0.004789666026871995,0.06592501176501143,-0.09378523940502519
LAMC2,,-0.01832011557995209,,-0.03209424015938344
IL10,-0.04056996787731135,0.013306447822506114,-0.019492748899796117,0.0535638398113276
SEMA4D,0.016187064144514093,-0.01506077397776852,-0.02968368891150747,-0.014465772158170404
TRH,0.019639143625839354,0.06296861048763396,0.034183674561809985,
