,ZH1019T1,ZH8812bulk,ZH916T1
IGFL3,,0.00839630613093841,0.025068102736697028
BMP1,-0.02633798902824563,-0.05860419187151991,0.013590537499443054
NDP,0.035842443579757056,-0.06601441656457784,0.037334576864321796
TNFSF18,-0.0015342895636358018,-0.01968268295158475,-0.03172458296030493
RTN4,0.03687728964731294,0.08411686035344311,-0.04294419676482065
HEBP1,-0.09084194466555073,0.029020508200380803,0.05794332263185326
WNT7B,,0.03655050525228209,0.014879763180495675
PTMA,0.05990108108295691,0.08800048435845949,-0.07392811895869483
FASLG,,,-0.01631158043255103
CEACAM1,0.0023753292810057797,0.04456922573609692,-0.022695168436805926
PDAP1,0.07586672312069401,-0.0020561596371054605,-0.0016684747250905866
QDPR,-0.07327420720196189,0.1028902785256043,0.0056614502935242415
POMC,0.06130434392337335,-0.026680326287184426,0.044323496734172324
CCL17,,-0.004594806763637397,-0.014784615551609311
VEGFD,-0.06024260840482279,-0.026539528537504076,
TNFSF13,,-0.026984398955878116,-0.006991473749251012
WNT5A,0.015546922142041295,0.007254139093095102,0.01388517267333166
CXCL8,0.058242790577790624,0.022465997818727962,0.033639781984382645
GRN,-0.011894938947021937,-0.04000050183325842,-0.0012303580665368069
MIA,0.01764082090493748,-0.03617202195671931,0.05135520035067059
COL4A4,-0.003787125044019871,-0.025742078626782693,0.03139352649820519
TAC1,,,0.1528522676284566
RARRES2,-0.062361570402063055,0.06872134177783443,-0.0017898098440256695
FGF7,-0.05151406061289814,-0.020760930242325087,0.036693183945153994
HBEGF,0.0023922872798347416,-0.0027639048466019172,-0.01643113350435055
CSF3,,,-0.015565919379696152
PI3,,-0.021380338406454813,0.014391711451770088
PCSK1N,-0.034423041993964405,-0.03048494883653945,0.03162271383878949
NTS,,,0.05120793407343915
SFRP1,0.08403801662162344,0.04163639813734203,-0.02251535707871465
MICA,0.04134046029350513,-0.03980837273136326,0.03001540979852236
TG,-0.08539556510274036,,0.08052304126110552
ADA,0.0013736450585469847,-0.03733417372493251,0.005554815188424764
LAMC3,-0.032666209211471675,-0.06388855551145796,0.010350432891025852
CCL7,,,-0.016311574632347725
NGF,0.019789689351645857,,0.039151797524644025
TNFSF15,0.12683122154344834,,-0.0034326167048925244
HMGB1,0.15196564150054423,0.017408065872184342,-0.018059415828549037
ITGB3BP,-0.05576667681436714,0.013134570255530787,0.02910614685651109
AANAT,,0.0031188510359329517,0.10427119182880949
RELN,-0.035709840315073474,0.03975053440393469,
IL15,0.10967182597628983,-0.024442757443897317,0.05108679107394112
BSG,-0.02352609956046971,-0.12462983029519265,0.015180211896396362
ADAMTS3,,-0.03622792313198819,-0.0046024289401133235
CD34,-0.0836663860387059,-0.04014316561804189,-0.019751875337651197
PLAT,-0.03465694892451314,-0.08119124835124142,-0.011260034900272388
LTA,,,0.13910171684290745
CKLF,0.0871954613497598,0.04718685248906722,0.06886633429548887
CD24,-0.04734962461418795,0.03539659756406975,0.02824711586120561
HSP90AA1,0.034866833751062073,-0.028700880975756734,-0.05796584677272542
BMP4,0.07698605654000769,0.0346247016153507,0.025192468846062997
SCGB3A1,-0.06463895919582617,,0.03895174114790145
IGFBP4,-0.025170127571151234,-0.044870980482707754,0.026510366654748853
RSPO4,-0.05910287838265256,,0.02412253933103408
LEFTY2,,-0.10429096527863557,0.02579069772421215
PF4,,,-0.005182010672397068
ANGPTL2,2.7498651009675177e-05,0.011850387311166876,0.053921954102890565
LRIG2,0.026513256753792094,0.028204161255259933,0.038697488097119634
ICOSLG,-0.010338028502613544,0.005369788128143758,0.07247282753857213
NPPC,0.04363300176510625,-0.029529696487881826,
LYZ,0.08040153082470623,0.031013220611499016,0.04420475586584872
EREG,,,-0.023255071562018843
SPTAN1,-0.05804412003258614,-0.011356541287841517,0.005596163370542738
LIPC,-0.0420277345126566,-0.036246212848888196,-0.0012410427261735735
COL8A1,0.0219915719467203,-0.04995182453457368,-0.03927658182610866
GSTM2,-0.0034239499077842964,0.1033234380026726,0.05159852203938262
SPX,,-0.03354397754230737,0.034619605779792464
MFGE8,0.020530450036978405,-0.07081086913885988,-0.03421647673050534
TGFA,0.019050466703948804,0.020085693074900417,0.014995573706013371
SLIT2,-0.04921829160060357,0.09361178798705662,0.04255366158795914
PLTP,0.004252289435101192,-0.09308950569149933,0.01974368173767332
APOD,0.1339960895442203,0.10866868212201593,0.02357377021956627
B2M,0.05099970709656637,-0.09702128891853214,-0.016085495327280198
OMG,0.020358643898165663,0.08921621610188105,0.08786199756647016
CXCL3,,0.0017833748731775091,0.05138769783730568
CXCL10,0.0458430881868678,0.04406970395011489,0.015242369739148151
RSPO3,,,-0.01655305867904793
NCAN,0.04683177108020856,-0.12365803003350331,0.0318650206815452
PRG4,,,0.11001769093603196
ZG16B,,,-0.020639882734564366
TGM2,0.01998600595057784,0.00526381135378903,0.0028726528861202777
VEGFC,-0.05099335445247708,-0.028911644413419802,-0.04018593864222629
WNT6,,,-0.024926900378314028
NRG4,-0.02605526284443388,-0.023215632864396464,-0.01655306053425088
PMCH,,,-0.03569468685665128
COL9A1,-0.021316843652483358,-0.05058176440116394,0.0625357263189318
GDF11,0.01601190138098337,-0.10451381627795261,0.06561855879324748
RAET1E,,,0.05113119164635673
SORBS1,0.03781050267254242,-0.06543608455700911,0.06300983197095726
DLL1,-0.08522240090181529,0.035800510066393704,0.01191828610439516
TLN1,0.040511572608134754,-0.07343793740470446,-0.03410142672193512
COL2A1,,,-0.006740237523014199
SHH,,-0.017857321661615525,-0.013363290322583068
PON2,0.03155682963077599,0.03881621416358965,0.047961028608058696
ICAM5,,,0.11260693490724501
HPX,0.10503468245754399,-0.031126198098287917,-0.026749525354251538
SFRP2,,-0.021795853249852712,0.009371319253914148
CD70,0.03066125054431292,,0.07550001438751427
HP,-0.009387082839307424,-0.029733248269663573,-0.02476156808002704
CXCL2,-0.04647110652565249,-0.0552874344566288,0.06588252454432453
NPPB,,,-0.016791236393997325
CCK,,0.045448620299898754,-0.02178276648807229
SEMA6A,0.04702706912392997,0.11045537567384091,0.014779016447545803
IRAK4,0.046877801800867404,-0.039082860346460566,0.028225414540682968
GSTP1,-0.009732921038995306,0.05742376970812979,0.05466093983276215
VCAM1,0.04586882982083773,-0.0021837192645400238,0.013371206667945038
NXPH3,-0.05271381373530147,-0.03070902467625308,0.048981097408548765
MTMR4,0.11322089271445795,0.047483666953401726,0.02674972290897946
LAMC2,-0.007042449656575991,0.00031768273379989515,0.007116105361514569
IL10,0.0032209124638141275,-0.021651253463161164,0.12412940936739406
SEMA4D,0.015937654151832705,0.05849378683944573,0.049879742776876
TRH,,-0.049612146190803556,-0.01880731080634107
SEMA6D,0.11121005411800051,-0.05015602471991303,0.024672002968262902
CEL,0.010630068226852592,-0.04375417826499977,-0.013734491068866737
PDCD1LG2,0.07159925745859227,-0.05632914177048046,0.07787452149386496
SPINT1,-0.04310817211182986,-0.04434895573971804,0.030558714923128574
CTHRC1,-0.0471228131445845,-0.08218066082472963,0.023341109857333255
PODXL,-0.07882456754745681,-0.08344570746463321,0.02755682561979867
JAM3,0.018177854701952597,0.03163903671815994,0.00038858726871512873
