,ZH1019T1,ZH1019inf,ZH881inf
BMP1,-0.08972327093909456,0.07563961410466366,-0.0717798247510739
NDP,0.08165584471657358,-0.036413497860026886,-0.03824462830695097
TNFSF18,-0.05453162821169818,,-0.032148164471419625
RTN4,0.012144308638804615,0.048574334968272515,-0.002984811513880794
HEBP1,0.030024155098747913,-0.007576619575139174,-0.030589614891778808
WNT7B,,0.019911824801140263,0.03190540195814634
PTMA,-0.05722133117860361,0.020837391049183366,-0.11859105681997904
CEACAM1,0.01059295344008266,-0.026464622898683062,
PDAP1,0.09440333799541573,0.05679531235544756,0.001975698346559464
QDPR,0.005280818261344203,0.007358866683363261,-0.015376767930376834
POMC,0.06276006694878282,0.023651327769523615,
CCL18,,-0.01876385275530616,
VEGFD,-0.015748356897272973,,
WNT5A,-0.0023356865666396224,0.035949612115775374,0.03601501297257371
CXCL8,-0.04188313398383191,-0.03303671701736203,0.025730024869283184
GRN,0.03828138074491886,-0.013518169717489365,-0.1132571088350493
MIA,-0.07441551318089987,0.1587438123579511,
COL4A4,-0.016543236742241493,-0.023723372709885965,
TAC1,,,-0.0022100916424903786
RARRES2,0.04745015055000136,0.045684980005760885,-0.04300954089357326
FGF7,-0.036654591496760563,0.023306384673913293,0.003353374855041939
HBEGF,-0.027525571573307275,-0.07889864632305804,-0.02004530612937884
CSF3,,,-0.028893862196667983
PCSK1N,-0.07268200008495491,0.041344118562687576,-0.011607524669134853
SFRP1,-0.02463434830168662,0.15203510139624812,0.0075758156886577225
MICA,-0.013516588000998695,-0.06281084334001838,-0.04806542713082717
TG,-0.03221528164875793,-0.030551939234187465,
ADA,0.07852068398108192,-0.06016785129284817,-0.03726590980486852
LAMC3,-0.009865434187266375,-0.02128507021042717,-0.03839587341673514
NGF,-0.06511136592225038,0.05275012611624113,
TNFSF15,0.010304714698130676,0.02138397986251471,
HMGB1,-0.008477339555677801,-0.012905247509680416,0.026599597649917654
ITGB3BP,-0.07365428457874676,0.04484637480245786,-0.05967230595143082
AANAT,,0.09155902296052107,
RELN,-0.02495410777036265,,0.03016236782472298
IL15,-0.059545161165502784,-0.033036803361754075,-0.030559650326431497
BSG,0.0013537438647058136,-0.045211180512524984,-0.05927646940911911
ADAMTS3,,0.005882404757895938,-0.0071047161333154165
CD34,-0.03488969331281026,-0.053781576118587714,-0.052039724054319995
PLAT,0.02328778687993208,-0.011930694363544674,0.04924731090157707
CKLF,-0.0695487343791646,0.011139558740632167,-0.0299671016298914
CD24,0.03804177971084945,-0.03342303045536921,0.03415914619719757
HSP90AA1,-0.010236068267393003,0.09211861527015125,0.09135195153482645
BMP4,-0.013933898373625304,0.05587130896274265,
SCGB3A1,0.0010409119879621971,,
IGFBP4,-0.06595342472474562,-0.04861780336536876,-0.02287829694085123
RSPO4,0.08307352209346903,,
LEFTY2,,-0.02497473119068215,-0.04731720330801094
ANGPTL2,-0.010055050177331583,0.0035472643749472096,0.052268853390493177
LRIG2,-0.02354925784228182,0.02881660493534399,-0.013826848681841813
ICOSLG,-0.01311687855796011,0.10370393790183752,-0.006722931513561491
WIF1,,,-0.031097092152032022
NPPC,-0.05176339364955458,-0.023401114142851707,-0.05308015801951899
LYZ,0.028240735682166358,-0.11246672503396994,-0.007293216188892421
SPTAN1,-0.09728566188927416,0.002099641949449502,0.02877439801698533
LIPC,0.0004540955326673666,-0.033072063400100805,
COL8A1,-0.010545908149448184,-0.0177160748454199,0.04237288371385294
GSTM2,0.043062714958003026,0.09342968844975459,0.04551987990649852
SPX,,0.024690155793411862,0.048991514593134014
MFGE8,-0.04309579658955882,0.006097477779016857,0.05850535157022567
TGFA,0.07617698897330476,0.023750716208977972,0.007548427360508259
SLIT2,-0.042589603905941645,-0.02646459056354834,0.26232266049711783
PLTP,0.07605502249603725,-0.023933174164113946,0.008873506511741073
APOD,0.021646129322076022,0.05735965107626555,0.010778703074797858
B2M,-0.05853610175241945,-0.05242852684263084,-0.09679833895015377
OMG,0.05276316825706394,0.017035866970529688,0.0627834153424169
CXCL3,,,-0.042620343117524245
CXCL10,-0.008486216237498985,0.05949438904947502,
RSPO3,,,-0.012578992644381616
CORT,,,-0.059076070685140925
NCAN,-0.015345863412908244,-0.0051469596270518805,-0.015908146897192284
ZG16B,,-0.021725650239108676,
TGM2,0.044372870289956796,-0.09927098187014277,-0.05853206572890027
VEGFC,-0.005844990322931504,-0.028160757490139087,
WNT6,,-0.0206610959280639,
NRG4,-0.01816658804490425,,
COL9A1,0.057054752900796764,-0.015662040293423874,
GDF11,-0.00917492788873327,0.04602544754511424,0.06425022531830918
SORBS1,-0.041022085645715474,0.07199638306188029,0.09160464222657107
DLL1,0.031928710372333205,0.050445008148105736,-0.013357076592002123
TLN1,-0.033982528182318415,0.004092676618662353,0.05347610257540722
PON2,0.054809151057373134,0.04939182600836486,-0.0765918270018564
ICAM5,,,-0.028915588396764717
HPX,-0.053100549386792616,0.08160136909233408,
SFRP2,,-0.05372092278494202,0.007312282665268999
CD70,-0.04429951545434469,,
HP,0.04059238628741838,-0.02113064132924429,
CXCL2,-0.04021240794091456,,0.017659667724828555
CCK,,-0.027040257031826633,0.12369380587318404
SEMA6A,0.07563469468732899,-8.028555255925274e-05,0.016499810149801918
IRAK4,0.014197157060243003,0.014233985457845728,0.03722099695591859
GSTP1,0.010810476067991742,-0.00940000193685365,-0.010456356207887502
VCAM1,0.02604569935804487,-0.006990111326369416,-0.0037528826059243566
NXPH3,0.0006581503388697666,-0.014703958367988948,-0.10398819418705399
MTMR4,0.137407206662917,0.06265917144377053,0.019565089361577755
LAMC2,-0.04081814843003695,,
IL10,-0.026629283502090945,0.040803603844689056,
