,ZH1019inf,ZH881T1,ZH881inf,ZH916T1,ZH916inf
DCN,0.011901280568283205,0.01921551216704988,-0.04803444522748115,-0.09626848224941453,0.0773039196991008
RARRES2,-0.009898553979640711,-0.047576504027737054,0.012480590775407951,-0.03533474403895127,0.09099789106788388
SEMA4A,0.052679840773438284,0.003507573303630235,-0.0807998670105182,0.08586924643645215,-0.011161167593151104
GDF11,-0.01387299339714037,0.005632420771624249,0.09183644738080793,0.04052487949639265,-0.02918137506288802
GPC3,-0.0244933527216338,-0.005240938999882244,,0.04218639364955118,
GRN,-0.01781098198371417,0.006913925520054369,-0.012817356714300487,-0.023667162493289436,0.036806352281457205
CALM1,0.05396713898872064,-0.019591467651543796,0.1312270158410576,0.07113758772386462,0.07115198124980313
ANGPTL4,0.0156413518739376,0.007569444936313136,0.10068318258934769,0.10262753038797204,-0.013402487241753332
BMP8B,-0.012689445418072362,0.021115625572403082,-0.0027888801836749564,0.08284003006147032,0.07951556323982244
TNFSF4,0.08567918944115906,-0.028384974300028166,,0.10034612466787021,-0.044860380785274635
RBP4,0.01785088149986189,-0.005545090368982295,-0.005915987287493328,0.007078151240086461,-0.018811939272250205
DKK3,0.029987783395802565,-0.025191225265003843,-0.033201867570614246,0.0034977984146510174,0.06548094654369326
COL11A1,0.033494627421856646,0.021293922725124197,,-0.0005056479181541844,0.04257505706573565
COL5A1,0.043646102688326194,0.007689497164106769,-0.0878455426832632,0.023888693496702407,0.05312327413741064
KISS1,,-0.03965608582525255,,,
MEGF10,-0.03936790988338613,-0.04792539833314595,-0.16572173123107378,-0.029816549943616013,0.041674376262526874
CEACAM1,0.07103110972953432,-0.03185008081229174,,0.07726833511580526,
EFEMP2,0.025930677738364886,0.022873234879338365,-0.0723379665139724,0.06800552365259448,0.0810436709180599
IGF1,0.016866394073052772,-0.0462386364760536,-0.06428257346671006,0.06051218340067141,-0.011507317732802207
COL6A3,-0.005838243830849128,-0.00014488428046979517,0.023381270752213648,-0.005903457767359187,0.028148841986361518
RLN2,,-0.03307038139684175,,0.00590121514721946,
WIF1,,-0.026641818816221827,-0.09631718965282039,,0.1291467004343591
PLAU,-0.04711595663761941,-0.006079002935018298,-0.07039264583329514,0.1023925199194962,0.04537408620473055
CXCL12,0.0027051389197112123,-0.04635438073678591,0.026506275217013275,0.002174327433055196,0.04981927347441338
MMP9,0.05219461756088574,0.03784743729950673,,0.10074715589899984,
TNFSF14,0.008807589961747315,-0.03518268067881421,-0.054778377344533946,0.11172526333793868,0.058556674226170634
HBEGF,0.050820933171486296,-0.024916401828314113,0.11429871150592517,0.0561751828441137,0.051537908851539554
NUCB2,0.024324504939022894,0.024385551326924007,0.05648120352937931,0.06490490351156399,-0.05656524497670919
VCAN,-0.031086458346722818,0.036377004948229326,-0.04845669663893811,-0.031293086676637855,-0.028954108258860068
VEGFC,0.01377917643194611,0.009481740251272602,,0.01965775978981842,
LMAN1,-0.05845723210481017,-0.02480448010414305,-0.10168737722768709,-0.012669594183609736,-0.09492078255186233
IRAK4,0.03923860543957256,0.051520578035204614,-0.050363645798944236,0.030869557833831822,0.014783823953465483
MICB,-0.011752859154770577,0.11221407635003114,,0.092642334119365,0.05541844362843529
COL1A2,-0.022757894374384434,0.016442411785835272,-0.08325063993830902,-0.03345503092035298,0.00672424545521724
ICOSLG,-0.03141798732076749,-0.01853978368612854,0.04405814562412697,0.015816622579207035,0.06813981376711957
GNAS,-0.03488989054653389,0.04931686470240268,-0.05809860653042228,0.08900450484192024,0.0053308450751663895
C4B,,0.0846080124950663,-0.028877885305019634,-0.023294663477204148,
COL2A1,,0.024631570102506013,,0.054218060167054084,
GSTM2,-0.06533943633438323,0.034645274053132086,-0.01561175831036588,0.014374202281506947,
NLGN1,-0.008799973455014787,0.05187033795027306,-0.05652757631428468,0.03804788435467368,0.09682629386934843
SCGB3A2,,-0.023823625478032212,,0.12746863470169734,
LEFTY2,0.07680007111547375,-0.00738004292071818,-0.02822197893296008,0.05846170414328281,
ACE,0.03072394737521095,-0.03359986015325533,,0.09591846295677132,0.03572306357422261
RPH3A,0.10857637686676203,-0.022089569766090143,0.06654305055226556,0.09680001106223307,0.07174468507003345
NCAM1,-0.03278795656033611,0.05375530786900702,0.03456754932678506,0.02523751163132314,0.07396894942188503
EFNB2,-0.025246921650175107,-0.018211386373186884,-0.11853880499014086,0.05811891801260598,0.08662477198478491
ICAM5,,-0.013688456948080052,-0.11885058156973301,-0.0447198916184126,0.10218552193059557
CCL5,0.030352771536692868,-0.005231524467357285,-0.08825574282292213,0.02089957298850933,
PSPN,0.11739681760913699,-0.058862449830280085,-0.07046755657065591,0.06905372554451995,0.06120426919427574
PENK,,-0.03318188850504996,-0.008338378406950888,-0.02561282633957023,0.02555715519524683
EGF,-0.033906611900504924,-0.02238545426248908,,0.030629554623474244,0.08637641912026738
SERPINC1,,-0.032261673019862894,,,
UTS2B,,,,0.0355505290245337,
F10,,0.007238297360778346,0.02148850083812395,-0.013707541392818915,
FN1,0.01913846374291541,0.008731977562957008,-0.03170839334855939,0.05303977596519583,0.06905817016848674
FGF2,0.0021456090025417547,-0.014591249858878025,0.042411094576624994,0.055052174289573194,0.007555940423190996
GDF9,0.011179389908828873,0.010518535791397703,,0.008244928667036258,-0.005947010432704816
CSF1,0.0210175575991552,0.014357535329109312,0.016001807551827837,0.023854024555317998,-0.10573241587943391
GZMB,,-0.026854881152071672,,-0.008504779315637898,
WNT11,,0.007411900916722739,,0.04954954289003082,
GDNF,-0.00313062697165339,0.019596371918060677,,,-0.04839476124139225
FASLG,,,,0.0003630532576035163,
