,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.021066340595896155,,,,,,,,,,,0.026706768358007747,0.06170136906983908,
BMP1,-0.06757252198124047,0.13390649613815497,0.035506077763562516,-0.00029626255562859624,0.0028342383375836943,0.056974254069321585,0.10430779273709828,0.1239724043182458,0.019004856826263603,0.0173659074639867,0.027577262012287572,0.0636865122651331,0.02780270315727578,-0.08592178565394012,0.042660038289426584,0.08908669277171659,0.016871603776221242,0.032402519672136,0.054835124177732376,0.030447865848009077,0.012769999070409793
NDP,-0.021876951906486947,-0.0009082706995884097,0.07419772703768238,-0.022258662847495243,0.03646322976296091,0.05246590322270451,0.009061638708046322,0.04699120543764202,0.0014460688865908504,0.021733022482057256,0.006079270086761438,0.020440992539103444,0.003163585386208839,-0.02916743001155722,0.06406603499337508,0.03374893844435881,0.026614782650604463,0.04005905178985578,-0.039422298455708105,0.008067873782694064,-0.026958575323852034
TNFSF18,-0.004755921845670168,-0.025976071949932036,-0.025108200775605164,-0.0277342187591086,,,0.009992417671669203,0.07996398770711172,-0.015129091812651211,,,,,-0.028742964851334988,,-0.05713111133740512,,,0.06961865793078892,0.051189707581742294,0.06563204685763677
IL36G,,,,,,,,,,,,,-0.018234104922445128,,,,,,,,
RTN4,-0.033587892255490755,0.035243842353143935,0.01416222666038358,-0.028027395853275985,0.01774393236965866,-0.003895975504499206,-0.07512380004377522,-0.1258487927023191,-0.054659879225517044,0.010509942252688248,-0.04843088713322091,-0.004678662325260587,-0.007390859204072368,-0.030350888003338853,-0.10839342322048524,-0.02357750317084481,0.039476171211774734,0.018235271058544514,0.008352954654023935,-0.01498677036304112,-0.034396902869050734
HEBP1,0.010479187320393489,0.04611932119387748,0.018330126383343078,0.0006956494169068675,0.060848679492548755,-0.03642201461784796,0.005697905443167663,0.0479134895764641,0.02546456740168058,0.04901007153580921,0.04789713354166712,-0.012817029651079195,0.03213692288944889,0.08542536048721093,-0.015391850250106602,-0.0930260287125348,-0.006123958087811773,-0.03443693291354817,0.023141661002395102,0.03833072810600345,-0.009815204361274865
WNT7B,0.022351090203034055,0.04482336172665767,-0.007041554209867368,-0.01722763696686439,0.08156519688204147,0.029126271215830158,0.006827011546395738,-0.025494623969376424,0.01240105250097392,-0.014137971398549552,,0.06801980567141254,-0.020041382633536817,-0.03164319883245481,-0.09088629145374848,,0.1333493555469056,0.060309176124495795,-0.03486184877830938,0.07328610537493163,0.02502915590259519
PTMA,0.0580189625784949,-0.0285262525099846,-0.01548549656602411,-0.016228040106784664,0.01253680360480639,0.022247403655879086,0.08659409848908954,-0.048706061868339666,-0.05011030141416752,-0.040842959648484035,0.03056847839697834,0.07202258189361166,0.041338145384283445,-0.10613252918475184,0.057419910089311535,-0.009187721978920614,-0.02460938513991345,0.005484833190651749,-0.02387975599283823,-0.0498413558861835,0.10884923139934082
FASLG,-0.020986976381144825,,,,,,,,,,,,,,,,,,,0.06771137841259962,
CEACAM1,-0.029140600376672307,,0.022454137926395043,-0.013221175199477332,0.024932177551371767,-0.014562085499519595,,0.03464317754810491,0.03425340897246927,,,,,,-0.0684396566059319,-0.04017286724088798,-0.028824025188245037,-0.015175142573412879,0.03290778417444787,-0.004699185873332562,
PDAP1,0.010702718059520566,0.03898409811540231,0.0017075697216019838,-0.0021617223794414614,0.011584946218039233,-0.04435414928744557,0.04637386718332406,0.11694404116857196,0.060644281251742115,0.02606406490239537,0.06252758770128201,0.05193449895927489,0.004110583946016851,-0.01682831783587971,0.06777469876573848,-0.030256390137284705,-0.009443988463927421,0.03638369693955138,0.07472565479938577,-0.006651749260590533,0.010532889896836994
QDPR,0.0322439824728175,0.025219002982231974,0.014529733120538225,0.0423083794068671,0.01306696592022491,-0.010420141602317396,-0.026771366652192263,-0.08539442656031242,-0.006669396178627849,0.028972948667006466,0.011885440205110502,0.024966133374670012,-0.021985872124351373,0.026112858367812807,-0.0020691639625728475,-0.015113197241366906,0.0396852536730043,0.02184398078541789,-0.09857272876422044,0.01169518015664501,-0.05179514254228961
