,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.03889937319295942,,,,,,,,-0.01821904111552393,,-0.0020066075176677642,,
BMP1,0.037786947978333825,-0.006396819382285384,0.007583921131369395,-0.056690161345119214,0.03776367492811964,0.08033700869976014,-0.1462877202431894,-0.020108629325122477,0.002164435325234777,-0.08301831002457737,0.018657226598538735,0.024402856575187763,0.01851607367526821,-0.023539774081368422,0.03513810426942489,0.012763094838454603,0.012445230983157168,0.07025221571869257,0.12136789108501983
NDP,-0.005135570453826622,-0.04080232399703054,0.03701735256285774,0.04029573987290721,0.021729626126046467,0.06289606472180759,-0.009207673503798626,-0.017835152197341927,-0.0028559659157112245,-0.08550728121971499,0.02896841711428988,0.10404538666553097,0.035038399689136975,0.07814814519687664,-0.008230024011894828,0.020235133721678965,0.0070864537402829395,0.002628842233266445,0.02809496776157724
TNFSF18,-0.012248962281874283,-0.007923521077792853,-0.007980400922483227,,,0.010328323699828845,-0.031134100383943264,0.022273294831597748,,,,,,,-0.01878897551747905,,-0.04234281766069649,0.03775735547352198,
IL36G,,,,,,,,,,,-0.020041763877577567,,,,,,,,
RTN4,0.0164355771462958,0.045092079393760295,-0.02810531745387211,-0.07927828311347022,0.02509752851923052,0.03716877268150258,0.2041226331472851,-0.02452953715634349,0.08267172280276208,0.08966687364729034,-0.052986767621989526,-0.041543433720853125,0.011408014822105031,-0.06906367117514879,-0.11645566927224342,0.0019004863492705709,0.00869268669529548,0.08039219686188698,0.04050233907958662
HEBP1,0.01327469365037966,0.05018626218845014,0.041587262808557485,0.07153509484399538,-0.006981856692925044,-0.019759266779517164,-0.05374098100373768,-0.014170112677517395,-0.021233252038333986,-0.1007085434757563,0.027383826380729583,-0.015501464775145761,0.07649182521625982,0.03401162055997346,0.015603645434410358,0.04224426943834506,-0.02074944885640065,0.04452960814687406,0.09292292672439777
WNT7B,0.05360577943170269,0.044671861389320895,0.15180759538055286,0.007024980793708652,-0.005693407394973503,0.013778717588399884,0.22247680843928588,-0.043382468055795306,0.0005961834729607974,,-0.025339841370677234,-0.0309360084411756,0.0005395647811605792,0.0969824457214377,0.013532399500323864,-0.009124183477276965,-0.0036697660775497887,0.04689003716434339,-0.0485404571624377
PTMA,-0.01505049678709907,-0.01821258614184944,-0.07685571172400563,0.05033520011306103,0.006823827364906867,0.028898991282255593,0.08321667839345756,-0.056807670432558396,-0.07292155038126716,-0.1824856374691022,0.03588652700630935,-0.0641920627537464,-0.03383273779708226,-0.04229129634765474,-0.0405768155082872,-0.08932473257894227,-0.02327400419970776,-0.009070617275945011,0.054733368483368086
FASLG,,,,,,,,,,,,,,,,,0.022822421508303235,,
CEACAM1,,0.016844406253191724,0.09968576920548666,-0.0028060151085357145,-0.0340909757565456,,-0.0706603221712454,0.01579966748729197,,,,-0.0023602692618476264,-0.007312410338020223,0.004835499405473419,0.051644602591584,-0.03249222625611837,-0.03664409553865221,,
PDAP1,-0.0500507538726318,-0.006188776903331025,-0.013199410852989434,0.008902948067479155,-0.031154611790633686,0.03461858304442314,-0.18400127456166132,-0.015487392213946778,-0.04417016557597012,0.01515063306890767,0.01823708772890472,-0.07007272119868092,0.03942641816997176,0.01127467818170617,-0.04360507277958715,0.042365346084455836,0.02413648628932472,0.025187440783184904,-0.021072688295913734
QDPR,0.029393496364555287,0.0256797749951572,0.0014615752561003852,0.05196354614629383,0.011825499093962029,0.007203007185524967,0.04757055799248752,-0.014150839733680528,0.006490551213675617,-0.190985603738825,-0.006666103309605772,-0.05999185366713801,-0.01607464334000276,0.11186650063292419,-0.09840158490648293,-0.036562589849261466,0.01961494371216568,-0.009254157036285784,0.09707901983331473
POMC,0.059894029217512544,0.0031072487216223044,-0.03524052994666701,-0.017187148870027282,0.01818460378801316,0.003816501322890103,0.04011631014755288,0.0017191016158795212,0.006148722567589822,-0.032035103188008146,0.04624377002468388,-0.06607047866291033,0.017274481145393202,0.034322819777926554,0.0010405391142893855,-0.007231281078310635,0.051263303823097205,-0.01845337857062435,0.06966014601452368
CCL18,-0.01802792708169187,-0.04291635238320998,,,,,,,,-0.0834335704706157,,-0.019670886842554903,0.03329513038539058,0.013910702063102274,,-0.04656846190771424,,,
CCL17,,,,-0.03168606339473727,,,,0.008821643532159204,0.06145538970250687,,0.05224822181571954,,0.014712968372254488,-0.0037847402789671428,-0.024020753287560283,,-0.023871550734860386,,
