,UKF243,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881inf,ZH916inf
IGFL3,,,,,,-0.02143859965653214,,,,,,,,-0.017316473276943634,,
BMP1,0.007527876637717317,0.03263057513910329,-0.010180426747536818,-0.058904478961004404,0.0209217506480353,0.012887200693913284,-0.018109535600952662,-0.009513739989536545,0.05673682265427084,0.014786212298116394,0.10048349815782628,0.029927594428588562,-0.00406777566342602,0.020915582177757432,0.10176586258675396,0.1104633662322571
NDP,0.09786253580466708,-0.028012813939080092,-0.02105975178522676,-2.6650982118649787e-05,0.06181698442040515,0.02898816331639405,-0.03326354763252512,-0.011335429592153256,0.060829443220156716,0.030695077096267516,-0.05716278659178258,-0.03135680287350645,0.09721291640045115,-0.038525945196936105,0.07582147223323803,-0.0008478799345873922
TNFSF18,0.09563282799188681,0.08348071732894666,,,0.0022421478740259015,-0.03183567688555183,-0.016091835037603374,,,,0.13148061386008691,,,-0.029524190303944632,-0.011609083643245087,
IL36G,,,,,,,,,,-0.020812446193159567,,,,,,
RTN4,-0.10869419033529482,0.012604222536061601,-0.0067574135798993675,0.013494408267847983,-0.024667843175140116,-0.06833424750858717,0.02039310531129072,-0.02667234844786808,0.006395055592979984,-0.011403653089214474,-0.08108351017623966,-0.02044712452961768,-0.064344675846037,0.10861226399350753,-0.026523774900417973,-0.01327162851774314
HEBP1,-0.02153882334854788,-0.012128950236197318,-0.022128324281726387,-0.03052284711533776,0.02396720370573226,0.00865285173300075,0.006061689911539915,-0.030253022972860484,-0.026967249826015404,0.04040324644116684,-0.095205450656323,-0.0007388995207637144,0.04919129280576173,0.04467322916837445,0.08527055777270892,0.07816176927912562
WNT7B,-0.04638286852274462,-0.020824297875721168,0.009907243415369284,0.008465569741496431,3.3201552182034807e-05,-9.761932016279924e-05,-0.03992144553143101,-0.018985627840337214,,-0.02287527682170837,,0.002441477018772446,-0.018045996661522873,-0.03612014421679472,0.10290933609105637,-0.07596450485257614
PTMA,-0.06154670897996848,0.024746897379448535,-0.01178844727833964,0.029476183647041847,0.061682062538937564,0.0489922068749253,-0.0023992259892237997,0.07396580354738405,0.02408455441137889,0.07612177544008236,0.012646633609225124,-0.09471710487964351,-0.058639952069266164,0.13408322673456924,0.05570184421130475,0.13430855940110797
CEACAM1,,-0.01598139612243783,0.01271278858149839,-0.005159630077291165,,-0.03206975345748668,-0.014203688734400052,,,,0.1614806988315346,-0.008913877063090967,-0.015399746947251835,0.0474560417312225,,
PDAP1,-0.061070539846162473,0.03980549431452396,-0.03360121947432664,0.01691622340976415,0.033887697133565264,0.00052970573092594,-0.010651174755129675,-0.020993312076791445,0.023460254547229817,-0.022819423511206974,0.12866117133148403,0.03567290730844665,-0.052544171653632,-0.04899938570138543,-0.09371425217238924,0.06999541408430694
QDPR,0.06661807834398019,-0.018826239633460674,-0.041750404885888014,0.030283911507881973,0.036586670889547944,0.03646716668234947,-0.016458292382766717,0.09988071272039073,0.07435347620833255,0.052129414096998804,0.0794346360959948,-0.052788101812454004,0.06283964690404896,0.14102223924442653,0.12677695948306394,0.07607380808806426
POMC,0.027054243041365545,-0.016504312313157535,-0.03132182449196957,0.006634537940940429,0.04685841921370207,-0.012467545455450308,-0.018671692865295082,-0.015095301323563445,-0.02605212577394324,-0.02929103398814534,0.060654730777581586,-0.038524484098634945,0.10043255357247799,-0.05534335280289953,,0.04797233393047878
CCL18,-0.02665079015845497,,,,,,,,0.05329769564431759,,,-0.029627874355217708,-0.026105790699636405,,,
CCL17,,,-0.0194949805595124,,,,-0.020069651275940372,-0.023498885064053492,,-0.019012760462598352,,,-0.02223050150575346,-0.05207912320982064,,
