,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
DCN,0.013596936712048731,0.014425847488322402,-0.0066622616392624885,0.031174844143799868,0.017527348831549997,-0.10349280515315924,0.08193120502694683,0.026995096691847704,-0.010871094126659962,0.029607349269743333,0.028007029088483962,-0.035448900406677225,0.09410455944639165,0.0482258525925236,0.030212642297993402,0.011075987995176239,0.001881224225345366,-0.013417897983326465,-0.008573676969043879,0.05611431348410614,0.14938113813373421
RARRES2,-0.0037672205210867015,0.0734385195939699,0.04892427516872846,0.05542876294710106,-0.10548464026674648,0.025092434697775768,0.05666159567998814,0.08660819643008259,0.04363564544048385,-0.022216664958395953,-0.0873671892900596,-0.10511556745013705,-0.028406584580097642,-0.05425986341052954,-0.07274752768808715,-0.00401940905013953,-0.04304144421627132,0.08426728022092296,0.012472571148780826,-0.02220173977336355,0.10648840066945658
SEMA4A,0.05756174401473617,0.08199681479201454,0.03599010910793984,0.01201099179421374,0.005084033780211302,-0.06405347917653323,-0.04139614327185697,-0.01473945207156186,0.025843094731089682,-0.012382298700852395,0.20402964172668178,-0.04995181502476422,0.11712993540956446,0.057826406440928145,0.14554311895751065,0.042271078536144265,0.057742395481049424,0.0012261188472720056,0.12434141587686508,-0.030836502541719144,0.12249652821448916
GDF11,-0.004009503994753603,-0.045819597585741355,0.03514591040683104,-0.03828102324635087,0.07991972384610918,0.07470633757628882,0.11219239932187583,0.01552978145851146,-0.04632050157080121,0.024993675814585295,-0.07087712370449925,0.02154720061513259,-0.008200794217337912,-0.031176942654454295,-0.021685482601967416,0.027901229116785987,0.03165350301851709,-0.03921262569711673,0.061558467419271956,0.0065840642242268425,0.016191995113689774
GPC3,0.030591270137805604,-0.016869367493228447,0.015949532937701457,0.008788000605695394,0.02053317003706479,0.13433196776997186,0.019289439292700796,0.07574924240220879,0.004334686361406961,-0.04661164707966535,,-0.05310222708235751,-0.028789317934869878,0.05261828312707367,0.14467590822051282,0.04863757385591972,0.003128317071581072,,0.01004910387882112,0.025884033831350933,
OSTN,,,,0.045070223124582864,-0.00709589200276028,,0.00837220592687548,0.06444887070182591,0.006750376478156152,,,,,,,0.08186949322361345,,,,0.06041376908290615,
GRN,-0.10439860809158169,0.056339989335860145,-0.021510448291675057,-0.0067976637270380676,-0.08330211560412261,0.02641075790831668,-0.0036803502550245876,-0.005360464791023422,0.01512837832354875,-0.04216435033474719,-0.033856136402652205,-0.009640297638746846,0.09188437600295433,-0.05565542918561962,-0.06578174186713806,0.01528498133008051,-0.0805482583172392,-0.024844685825396826,0.009795479057405998,0.04898935633649523,-0.05268578493999186
CALM1,0.19368432632295446,0.05875808807759559,0.00972394627028732,0.09845229339707307,0.08388914194904155,-0.12334734909822456,-0.03855576024016971,-0.007867439734477564,0.010639500869626435,0.1401712256910668,0.22562964101093477,-0.06659210937993507,0.06573750620294137,0.06893491494059402,0.024793932370076113,-0.01584527617682077,0.07054417892438723,0.006472094622448356,0.024588694425758815,0.07245068949939282,0.2277524568108231
ANGPTL4,-0.13649625608983848,-0.1053686323093672,0.015211656608728577,-0.055941448894640255,-0.12356985650393336,0.008921548540902428,-0.0013426138653276248,-0.02601039957370165,0.04330253909383785,0.0066384710243177925,-0.09533975777878145,-0.15555448051352666,0.01231840080877931,-0.07812528613617858,-0.18132682155545868,-0.009906134804130372,-0.056632492610149694,-0.051914177748689935,-0.019709387559264303,-0.054970226355055773,-0.10350854921936137
BMP8B,0.08954489398637755,0.0007333469394345632,-0.03331515447557543,-0.014542019842662835,0.040761273736840783,0.08999647145461832,0.012628161013704597,0.011908803424004476,0.023920422475404903,-0.047630055623825385,-0.012635454326463902,-0.03833909656081346,0.0665044427077703,0.06135876581397131,-0.01247937172839086,-0.03430588666977555,-0.06857302985041326,0.0448715741581149,0.029698290438511805,0.08927304243444503,0.09369907254313278
TNFSF4,-0.008517992534135049,0.008166324244408007,0.04688609846355378,0.015983318459492784,-0.030850201283723053,0.022787280357346795,0.07415665479538908,-0.017216577450428115,0.003672492900839259,-0.01091169974983636,-0.008677325339678757,0.07528955202327829,-0.022459361228622573,0.046094540242043944,0.06371055195269953,-0.013155431419032509,-0.005573638574039758,,0.03014394279449652,-0.013696009403388283,-0.05493965582812817
RBP4,-0.0063241726366295315,0.047742081022055495,0.0055788191049671075,0.06008894765605303,0.04150446964237564,0.06818472104799733,0.0052700134438695,0.031274811429288875,0.043797494015651826,0.06793325891989742,0.2182317117493118,,-0.03956038371491676,0.15789846180977046,0.15057245383610462,-0.03164785521251084,0.0026543263073018023,-0.06654457069124656,-0.04770054258497135,0.10478163260611859,0.20274036842534876
DKK3,0.15538104166790637,0.08508823952498822,-0.011459790123359615,0.015262953424536912,0.11441652985020977,-0.10488931245142112,0.006473604608327635,0.10227799364667123,-0.014072979378961384,0.10659386547421212,0.21424203165899425,0.00862488601365622,0.061627999920745025,0.153226669294019,0.1425321379969555,0.03995303660365033,0.031806720616746866,0.012802657886607945,0.061863433459167665,0.08820708966136252,0.17121709418508504
COL11A1,,-0.004499985565779132,-0.02158212718523143,-0.05518540707788329,0.10500892350492681,0.13230280553035198,-0.0021539465227664125,0.018649152491040447,0.06752700978571204,0.16896326336553086,0.008489210879700766,,0.01436016196406381,0.015546335267896007,0.006180984214154054,0.01089702984201849,-0.10822829194365095,,0.021236756427785584,0.00468137134728628,0.07948096031727732
COL5A1,-0.08531558971490463,0.04106802634642641,0.004994739753606882,-0.09997595966601974,-0.07744160034420261,0.07756905188829546,0.039010129007640316,-0.054363314058060296,-0.00795442690074588,-0.024072041878874878,-0.06818261500248478,-0.055057233975426834,0.14273327767462876,-0.09126066993014995,-0.17234684554412272,0.02594583602493432,-0.08004781899903375,0.14075350710605353,-0.019685615100539147,-0.029376856104871906,0.10472141124596122
KISS1,,,0.0022810079594319113,-0.006404660588010356,,,,,,,-0.025334083288748154,,,0.11250204449041024,0.03116795909993078,,-0.04997422716833761,,,,
MEGF10,0.1207358811408415,0.047572427703188674,0.023376707931782818,0.03416124268716562,0.09441876864985511,0.06203973058562923,-0.028176351164653515,0.11347354267900686,0.04750289656567058,-0.06679848032577088,0.05813429393432228,-0.0327864222867449,0.004488014964908246,0.0681196385007337,0.08825368025335195,0.025945737608504757,-0.0036975402949203915,0.052617280144829075,0.020143932681758986,0.0010087635535561785,-0.13264714089399207
CEACAM1,,-0.021288841825370625,-0.013221175199477332,0.021719083670256073,0.02407565984196948,,0.010652242987263999,0.05162879374679326,,,,-0.05084901234861477,0.008196105937458498,-0.027020528059514128,0.00883795862083918,-0.03430944118920214,0.0216673590914656,,0.13935590053803915,,
EFEMP2,-0.10356086251823508,0.012646826752738791,0.009362656688002017,0.035502114831876375,0.03672218601771942,0.04709322051257745,0.058688616486633094,-0.018539811853354064,-0.005381625332338878,0.01589450314847506,-0.15059587052694987,0.022825313579860493,0.005501414250296435,-0.034917617783939696,-0.035216051414469256,0.0538735807178025,-0.06518756849243437,0.06384235782481064,0.003486715365636346,-0.039032534009646264,0.07000970243504186
IGF1,0.05996641914052868,0.034768883190540355,0.0619494213155893,0.035775331771194824,0.035024886131245776,-0.023014718990210493,0.0028228987411957605,0.04315954143034956,0.05072650241504417,0.022627784967872436,0.06625889391935719,0.08483374079354912,0.029810983000653466,0.03604447759921999,0.07609580575303608,-0.012535673726123502,0.02266594533505175,0.04039714469359516,0.06244615188129276,-0.019271089627364846,0.09651194804290307
COL6A3,-0.027862869915021054,0.030525182555800664,0.017189916406267738,-0.08239778901399838,-0.018492745943370678,0.05970353435692707,0.0502422780946085,0.08509791235752424,-0.05620772834636146,-0.016873158294598376,0.011779530435059039,0.06179288638431903,0.011388746814325185,-0.004289720243799417,-0.08693415137487229,-0.020445371042219763,-0.03951255986217128,0.03830325890467702,-0.008226128907123197,0.07722343823183195,-0.07077737059504267
