,UKF334,ZH8812bulk,ZH916inf
IGFL3,,-0.020322179123608636,
BMP1,0.041789002303237094,0.00984812863914217,0.003063202999977381
NDP,-0.008088374881699485,-0.005791353473167251,0.1715149905395042
TNFSF18,,-0.02095790462265094,
IL36G,0.05621879164191056,,
RTN4,-0.03436118270739716,0.01238020899844827,0.02824225412873777
HEBP1,0.002570566171254766,0.02939238167268105,0.0009832767080898547
WNT7B,0.013264194666718944,-0.043824674016330896,-0.047394923452330484
PTMA,0.0019036578419913046,-0.09469725968177604,0.07351575866499213
CEACAM1,,0.03689085128782749,
PDAP1,0.01877924746376561,0.06176809803898154,0.08139512997485514
QDPR,0.038463739580484956,-0.003974406243914913,0.08023600699679641
POMC,-0.0007852169549702889,0.0639383287577332,-0.07096176408925177
CCL17,0.02256384861959456,-0.02679361926341276,
VEGFD,-0.018000925579752275,0.09441467508229962,
TNFSF13,,0.05711494625795654,
WNT5A,0.05507728498483141,0.02701774324297456,0.022029142455175513
CXCL8,0.003165887257326763,0.08874801138659143,-0.05930409655809213
GRN,0.04559877540894945,0.00015796544632886418,0.05376908858896237
MIA,-0.024653092519972324,-0.03254348935455871,
COL4A4,0.036038957464812,-0.01523932239228958,
TAC1,-0.04238134709407996,,-0.03455131201119981
RARRES2,-0.02793752318243698,0.01762232469925049,0.1619643396286082
FGF7,0.0006483459198696284,-0.036226783559327715,-0.023247876009996747
HBEGF,0.02163188522190271,0.017171436748127274,0.0898035842072337
PI3,,0.04470876756865688,
PCSK1N,-0.017535788756869047,-0.026190166541259694,0.016274537232613163
SFRP1,0.053828681994603195,0.004649780924662975,0.06370704156315415
MICA,-0.007260081837847945,-0.001880655283957401,-0.05408297851408802
TG,-0.025230147188992046,,
ADA,-0.005290578465541651,0.09003508954129404,0.0037862268583381715
LAMC3,0.06602457231314617,0.009004039677210994,0.01411340374578147
HMGB1,0.02067079761047929,-0.03918508728187069,-0.09419416878301405
ITGB3BP,0.004842032044952248,-0.0013394348272049825,0.06774959433664698
AANAT,0.03642294031224434,-0.017264450961334818,
RELN,-0.02494308956220948,0.057284504649093515,0.20992071987106414
IL15,-0.020895898029967042,-0.029375838079839216,
BSG,0.0002655342429644506,-0.01768755287953285,0.1231734693086108
ADAMTS3,0.042804200782340124,0.029887914480476816,
CD34,-0.041354564801583796,0.018900856950105488,-0.023117891038904607
PLAT,0.12643182313513873,-0.00720748381787938,0.13294226354804925
LTA,-0.020895900609366445,,
CKLF,0.05761868914867388,0.01624623161349074,0.04189887647495331
CD24,-0.03597584214432288,-0.047469695129010885,-0.06746869982074884
HSP90AA1,-0.068669549264083,-0.07776205414887305,0.056127792454882454
BMP4,0.02096722767661081,-0.04979781233295629,
SCGB3A1,0.008194230949156606,,
IGFBP4,0.022524685657202313,0.03581254708144262,-0.041164776825822744
RSPO4,0.04200810998039402,,
LEFTY2,0.042003132702077985,-0.0147805712632638,
ANGPTL2,-0.01833327984851592,-0.019188181959756256,0.07630641593436034
LRIG2,0.0009987327097250986,0.023325926329754634,0.0661304837297248
ICOSLG,0.016554599675032127,0.0487169106515448,0.04516094846225695
WIF1,-0.0491147586262245,,0.09220676956015143
NPPC,-0.013074096349404405,0.0003812644492482344,0.14110312029621916
LYZ,0.006424794998012373,0.014274657447562586,-0.09213561202941302
SPTAN1,-0.023157216738399183,-0.02513864998148552,0.03782404194694387
LIPC,0.09821394947123283,0.046574451156219075,
COL8A1,0.02767295147581237,0.021984912656335887,
GSTM2,0.04401858663130138,0.028835293524552833,
SPX,0.009821100828734448,-0.05265501781382189,0.08133275206572886
MFGE8,0.05389204772173123,-0.013553375061559693,0.1046068084344992
TGFA,0.043203031757183194,-0.028932616860275897,0.04345893893613507
SLIT2,0.016459530959259016,0.0009459767175450031,0.02937686070125458
PLTP,-0.0009593417640995548,0.024932852849170663,0.025726830556839525
APOD,0.02966524383304836,-0.012894096683354382,0.03992609138161736
B2M,0.059614137988258965,-0.02535834581760654,-0.034606480962280514
OMG,0.07071395962192704,0.07979143569962925,0.07886858660418138
CXCL3,-0.015048832401935303,-0.023339209123730706,
CXCL10,-0.023914415862680734,-0.03144289306280557,
RSPO3,0.005880183495530013,,-0.036232910610770705
CORT,-0.0090061425629763,,0.14184636471859952
NCAN,0.05440056033188759,-0.028775054742599598,-0.032032316797603475
PRG4,0.056809632201334996,,
TGM2,0.01778529832017437,0.027574199083655833,0.02165958369611995
VEGFC,0.1097560070133275,-0.030784801421173374,
WNT6,0.06569137134407727,,
NRG4,-0.021889968871587114,0.016178009224679275,
COL9A1,0.07174766838838709,0.0643221830584316,-0.058950904723270234
GDF11,0.045643080003898384,0.05387460674101322,0.02796179165982579
SORBS1,0.059666031646474396,-0.010859857070814624,0.039723671931161886
DLL1,-0.010725225847027377,0.0452555537323814,0.0005155504191816057
TLN1,0.02084756220746242,0.0032664391587842773,0.03453885933803872
COL2A1,0.028598365403227355,,
SHH,-0.014580881834027538,0.07585284184801402,
PON2,0.07565582307346531,0.01565441882043199,0.040860572553744874
ICAM5,-0.02847567460675036,,0.054899985138516155
HPX,-0.009019240732715076,-0.03314283386133262,
SFRP2,0.01803201406114557,0.06150838329976524,0.07082535057602897
HP,-0.036577793109333505,-0.03165963618323882,
CXCL2,0.12696144628714628,0.07019239686868294,-0.027642139828313376
NPPB,-0.018763636423548044,,
CCK,-0.020159856659827276,0.11174401844400146,-0.0023855625562856386
SEMA6A,0.010689493982309598,0.01959249221188481,0.09180993962525044
IRAK4,0.028746062601810663,0.029914190439508676,0.04313053657909307
GSTP1,-0.028555160138383797,-0.04727202317091056,0.06281804227986135
VCAM1,-0.009241246612634892,0.03244312455923846,0.03553928469837893
NXPH3,0.02443307047885174,0.03574967705342402,0.08306082198791438
MTMR4,-0.005120079188133206,0.02332566170634641,0.06009938695208139
LAMC2,,-0.023900177951044762,
IL10,0.002883862472890467,-0.02305401688163847,
SEMA4D,0.03883721856052067,0.04518286301259766,0.08145229616812386
TRH,0.09209673488954315,0.010733627889290253,
SEMA6D,0.020140986479526873,0.014796409900426494,-0.0075174848251381605
CEL,,0.05202661519541089,
PDCD1LG2,0.017482612843972487,-0.051147637739436105,
