,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF275,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
DCN,0.011690982491901864,0.043311716444589414,0.026596961982798477,0.042667426556288635,0.10625968308761825,-0.02406965584360441,-0.02347554723255428,0.01898271775332352,0.1403322703828008,-0.03159075529693502,0.018002969872196694,0.051862682372891135,0.07008137221547496,-0.001226072228673737,0.038309293112024016,0.008017042568647152,0.0629802763809875,-0.0817547657112478
RARRES2,0.0074505368501369,-0.06677924940262879,0.012627581329349626,-0.01228042837872061,-0.001025105688321704,-0.013062398187781623,0.07235563875159658,0.0002951700691893903,-0.1264043023464831,-0.08636041776851393,0.06730204855593702,0.09772221786334517,0.08541941150564496,-0.03304300262164133,0.043208127422029334,0.02892223142188054,0.030278409875203142,0.15913812490260634
SEMA4A,-0.024686660422593647,-0.02003165644969074,0.02733498047485145,-0.03578395611427884,0.00889960281336711,0.04563187039984198,0.053064765541431844,-0.01883362363634665,0.012437563440155388,0.007038998726378452,0.014708243865147541,0.06256227420656911,0.06062051281959964,-0.0032141966402733737,-0.005287573999460628,0.08224284940606494,0.07118141343894882,0.016515549771897144
GDF11,0.04819945122926792,-0.002740364708935195,-0.06588831734528523,-0.07356593679394782,-0.019696182732738588,0.03660774660364957,0.04672509644457917,0.05260820606438353,-0.0412230980308433,0.03669174596634969,0.10535394035321577,-0.06267301100881223,-0.00705401424962633,-0.024043930409839133,-0.04011982517779927,0.07463278104285632,0.0700752301185849,0.023314473093062445
GPC3,-0.0207403454679973,0.012749451505226883,0.029456073183010904,0.02193075194516985,-0.015420167511891073,0.009397312060932158,0.07968327588406897,-0.038855747474523535,,0.12461840600209267,0.1259820726514859,-0.011844575555342067,-0.002744249053534009,-0.03510810661118179,-0.013000840384794845,,0.09451824390658779,-0.0022095540496334166
OSTN,,,,-0.020968920023524764,0.039517041500712016,-0.01982315053664066,-0.0385024500343193,,,,,,,-0.03286418210967301,,,,0.028363476407927447
GRN,-0.006760897757934289,-0.030456530185796884,-0.013622375547104297,0.04580733339347125,-0.03833716897903045,0.0635131925042163,0.012060870166156121,-0.03746521919755617,-0.12459971301206234,-0.001634856978205436,0.0781677522228594,0.04533854441948234,0.02507475448245464,-0.012981531433613006,-0.04804552241628686,0.04550892277256002,0.10105568936454926,-0.057758195919141116
CALM1,0.028563682287685636,0.032901642160190744,0.013243372793924554,-0.06265656863449201,0.05499689082175262,-0.000618953303386266,0.028088015779531413,0.030530386275448605,0.09263760537691272,-0.026967483208708096,-0.053593989167334356,-0.13302173729712632,-0.12382699959941809,0.010657423290347617,-0.010110052803299303,-0.026081389325566574,-0.019902762580995305,-0.03761825325808753
ANGPTL4,-0.04188268022448289,-0.05376522003415818,0.012870911315510923,0.045964617780371586,-0.03220913053144321,0.044972457461085844,0.022021156506942828,-0.02021797831084585,-0.030769369095107347,-0.03280175991797766,-0.014261120370690389,0.08565465310021554,0.08717518601161531,0.019340281552133194,0.028167663527747612,0.04652627645599949,0.12429264608576143,0.07492245581541851
BMP8B,-0.006076006530008605,0.06421844287411096,-0.009523014524946567,0.04210186792030645,-0.01522893151980424,0.03718422141264146,-0.031864065828656765,0.041055054482064444,-0.01115033446646743,0.061670222609049856,-0.05773149971375072,0.05211297417558993,0.0035048605695928233,-0.04266568865591414,0.013371766193785379,-0.017537451816183762,0.17215641224725994,-0.003170143503985616
TNFSF4,-0.02606743075211441,0.0003034802969013571,0.10948355908798807,-0.0019601339799595443,-0.023689077428960544,0.008134276821439522,-0.03825151407894715,-0.041998528536359256,-0.004528253039107344,-0.050604180709650316,-0.05157941128596172,0.15586753784431312,0.09189128229090343,-0.03611534223492105,0.04979105577630288,,0.08364865391455412,0.11435479135854112
RBP4,,0.008097758047208758,-0.0001269574526550069,0.07193895947524072,0.04183083705218756,-0.030651061947370876,0.048350483580866556,0.0741550750443779,-0.026107847996912317,,-0.0080106588718382,-0.013511970800912517,-0.029336896112951285,0.10375582295733238,0.00010375361379867879,-0.012265070315027046,0.01864415465844556,-0.039159988182287615
DKK3,-0.06810690016372578,0.025875061243450622,-0.0022254566493038292,0.01995618101120469,0.027416638932236687,-0.005294036182050632,0.09413372631222765,0.0049567816105486875,0.06672286233654387,-0.006579464425789826,-0.0029374524537429114,0.06968001314444729,-0.0009091102632078851,-0.07010652138523867,0.06956248291148211,-0.060615824744765026,0.027513752495612442,-0.0794487701634759
COL11A1,0.0007170110898927348,,-0.030018846335364453,-0.04720803463035413,-0.035862585042438444,-0.06012741392249802,0.03562552908420452,-0.07624371416584332,0.0663188764946761,,0.03545379486988673,0.02823662836075774,0.0519250864215103,0.021425333766344434,-0.06881018320158999,,0.07421867645684352,0.055110178674004716
COL5A1,-0.013624579925353814,0.032628329130810325,0.024036439685910373,-0.03350022142293298,-0.0075839428694079525,-0.01769122203640176,-0.043501983989878104,0.007308567554958101,-0.03912843213361471,0.06404351243615511,0.10074237238045373,0.11391309974846835,0.10610366426572788,-0.03377868430422835,0.023584561571921722,0.04245719989043664,0.09026629351179075,0.10487309323254873
KISS1,,,,,-0.015514983623826667,,,,-0.05162382029129866,,,-0.031332018528509836,0.040489372774103013,,-0.023242539838435942,,,
MEGF10,-0.016115187966345795,-0.05325040047211533,0.05986899248782758,0.005256683280073823,-0.0019473091181931646,0.0012113566626390526,-0.0342950046069547,0.07442729235547742,0.08394015303889162,0.0008585847817833494,0.02613600149371337,0.03389036044464764,-0.016792181831428388,-0.0743700733270787,-0.04872004429780134,-0.0059451168342806865,0.033008386734185116,0.019142818458533405
CEACAM1,-0.02217522008617711,,-0.0073550342481975275,,-0.026274338918336988,-0.020719398890821743,0.004860381802961047,,-0.05691393235591095,-0.03797080123251237,0.07126233770294757,0.0062592329599941935,-0.024091349707443973,0.04353138117038733,0.06381892700233997,,0.037385337762503246,
EFEMP2,0.006669018094075084,0.021000194217802914,0.03956939106181539,0.04847631837577917,-0.004775739061735982,0.026629005217602045,0.0035315282293002415,-0.03750979008562733,-0.026612967137491398,0.028338122132474806,-0.045464085978454624,0.03241557560359588,0.08728263361790946,-0.007471644489454792,0.012369726615012707,-0.0807616415097795,0.12172472241563002,0.09355982048741615
IGF1,-0.007334455343747905,-0.07288655872239547,0.011035657648501328,-0.03235841523390034,0.029398583399814316,0.003909851453873633,-0.0007503084787931403,0.12592408384568132,-0.03996711870155019,-0.04314251233821544,-0.019573731024474125,0.0032978761091094376,0.043840335383069445,-0.0027306563169270264,-0.007936782896302827,-0.04191669031160134,0.11909969742052456,-0.00664323318451474
COL6A3,-0.03155156299661106,0.028351337454548826,0.009262270403088968,-0.00887221406895886,0.009082514643577651,0.004285554667718065,-0.004358115672123275,0.10116773032985155,-0.05621652689862904,-0.0280200897251576,0.006829421329782253,0.0810630457836051,0.11063515396803014,-0.014093512140522879,0.06297786003313798,-0.07759703556082388,0.08991787182707732,-0.00843147116512764
RLN2,,,,-0.02096892185816974,0.010216378355239149,0.07158181058762417,-0.022242825148124895,,-0.04478803911271512,,,-0.020459273827232973,,-0.004289545765852662,0.05954956116828005,,0.056227738025740534,-0.03245374613901419
WIF1,,0.04267209826073492,0.03944733258693033,-0.043415792845384896,,-0.05236780435445814,-0.004648854929628414,,,,,,,,0.014515480214376953,-0.04018766303840449,,0.057661987214483894
IL13,,,,,,,,,-0.0253858500809227,,,,,,,,,
PLAU,-0.001781981796151802,-0.04909181791294654,0.02666850934685097,-0.07277316312263436,-0.040654264045763146,-0.01068134331758689,-0.00924357857277939,-0.006673688816139418,-0.01017463112202753,-0.0029303709946155794,0.02798809529538761,0.04323789048753865,0.027615155013474963,-1.1931428013339143e-05,0.04026281940726371,0.09156452653563293,0.06363504249949282,0.026805691873291095
CXCL12,-0.04320911782151679,-0.08425501407273242,0.004221685047744785,-0.040448825533060714,0.031144184772110887,-0.05720025264566832,-0.016511838486129214,0.011379455321815226,-0.018492898030487783,-0.044411818647799944,0.03623091372743168,0.10502539418428335,0.010249850985387722,-0.024829489086227,0.0387639806614339,0.00174643101790374,0.08945177214318571,-0.0911209546694503
MMP9,-0.005378444239251509,-0.03991888421886707,0.010711618312304919,0.09582623106648491,-0.002483166406128373,0.05816004035026433,-0.02928054554173738,0.0063792707514159904,-0.015928438610241506,-0.12817081865784583,-0.014341863596401303,0.08158266928594193,0.13566857648730477,-0.051066687202532296,0.018231621096809602,,0.045692107318227225,0.018036374642792192
TNFSF14,-0.027129924449881077,0.009322075296678603,0.05180374700623459,-0.05097884798447605,0.025372969114605105,-0.027082690987818618,-0.021182903540351166,-0.038855723518518424,-0.05817432561977825,,-0.039053013484029696,0.036056426764488905,0.012929172996161016,-0.04004015790217751,0.004833976481260382,-0.05015147400136742,-0.06660306240800325,0.06015470699642042
HBEGF,-0.02168613871294443,0.03146081931302184,0.032201016606648196,-0.048447623656928646,-0.006941691359759791,0.0950200992490541,-0.031756786853977946,0.017474433903667038,-0.12640781166101958,0.006476288181653515,-0.004596119048953636,0.041722370486914837,0.039551421503049786,-0.05209161625819855,0.028158788001194486,0.07004241793851274,0.09444218922935893,0.08059761183304534
NUCB2,0.08862920320195335,-0.0613335146269926,-0.017155948764656412,0.004634356126334266,-0.014139303403735402,0.036632755216562285,0.05628541541480962,-0.003620630232806335,-0.037331274019481435,-0.01657531850163157,-0.01947361322154491,-0.07441727862326948,0.008636360988616127,0.06981501941413279,-0.008550679905077768,0.1406609259947308,0.10606119857355617,0.043609500473572815
VCAN,0.046310956132871416,0.0031621132650777356,0.04932616840139693,0.015186188102118213,-0.005380738735017424,0.0057531107452838065,-0.011651667880469492,-0.09378259964828067,0.11680451738137598,0.10570637774825692,0.019338798279864726,-0.10736615137387348,-0.041342798943069706,0.016704706246979537,-0.08456602986817113,0.0727166843952145,0.07413775864072114,0.07294914157661418
VEGFC,-0.01849582014152214,0.0028847096317499016,-0.03407391092911641,0.035276081783933086,0.013529806992647544,-0.0022910062222831528,-0.02717100141765268,-0.018012088388937135,0.14468063236435247,0.07486938119223463,-0.035996477359096585,0.06424299975519059,0.05536257359586165,-0.04901177784405193,0.008741906885085643,,0.12351113919423791,0.05606622943071015
LMAN1,0.01680361330169408,-0.04818798773364953,0.006056726592829561,-0.012133051193261357,-0.04993428172880727,0.06797833898673787,-0.05595883252552112,-0.004744279885758642,0.04285690088347223,0.008411266051975638,-0.04758178931392863,0.049231431190549936,0.05847097617233264,-0.04474105594228912,-0.004374453626621453,0.0037506993555648984,0.06468753138689516,0.09014210924817151
