,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.03228080465736035,,,,,,,,,,-0.005285977349972502,,0.016764895171435937,
BMP1,0.01382732774999177,0.1375261365926759,0.11880344739683389,0.050192723317517035,-0.054098362277474527,-0.06770912604225679,0.034356694778907106,0.006539942272406933,-0.0953419509410789,0.013538149654812164,0.03922964552557341,-0.014195814075686394,-0.023767179548728253,-0.017996224012765905,-0.034241247510055285,0.08401909247294734,0.060350054952809554,0.06651788316612617,-0.017765100177772504,0.14453683739414563,0.04642001356338846,0.1056098764764071
NDP,0.011727743617696955,0.028673970905693756,-0.025093104280341925,0.03147214978405662,-0.04717795701624139,-0.1318524203768152,0.0333223359428913,-0.006085699018585386,-0.05864903952559007,0.02069888354241294,0.02177121206578637,0.0006217960208060013,-0.039290836869414765,0.027166232878114583,-0.060855472420201874,0.0019164402806900352,0.07931718139811149,0.10181010898579491,0.027736949936348367,-0.06373992402063967,0.1403263371802088,0.20532613518864415
TNFSF18,0.07881874598265196,0.08440915495758768,0.03566520130515687,-0.03166197927636882,,,,-0.021408854774312605,-0.013149023466726438,-0.03773951431236433,,,,,-0.03066562945008648,,,,-0.052120320916067144,,0.05783710712316441,0.04512986223246552
IL36G,,,,,,,,,,,,,,-0.021998689189096712,,,,,,,,
RTN4,0.021677558952594815,-0.0366572600954542,-0.01953838386639646,-0.04545903001802061,-0.049680858842506566,-0.02359898005327874,0.0456602581855034,-0.061650998188631255,0.12706657358699955,0.03692362811561992,-0.07917931210313715,0.013950973677335245,0.027482064793734856,0.0650994948733506,0.004545494326016115,-0.0533996761075573,-0.08470280668351417,-0.06141489829702262,-0.04901534306447058,0.01752291163024672,-0.07527235483803399,-0.01967176672543643
HEBP1,0.02745245526522947,0.04096310750891502,0.048725262489219975,-0.01576040549100269,0.03719934700786576,-0.046555356714125556,-0.07040569415356816,0.061622061930906684,-0.0423561747355868,-0.010706866952715353,0.020506200056056297,-0.00462004419278442,-0.0667581694468797,0.03177437280750136,0.06557553943845291,-0.06959994012260735,0.05256716951897373,0.1312133287148761,0.022388804042928135,0.09317406661721203,0.1454085972077525,0.09730505714096059
WNT7B,-0.01698505127061176,-0.04599564253229064,0.04239751403617396,0.047885557896829085,0.03691423706634011,0.0498444837884177,0.006531314358664,-0.050088347793010045,0.06763962111765111,0.06227267862799865,-0.034548120914279966,,0.0875044598961326,-0.024179094578546275,-0.033759864893214,-0.038077393713140284,-0.040330631924704215,-0.032611222116142306,0.05869847100464655,-0.0211127096766151,-0.035420632576335126,-0.002154550322865754
PTMA,-0.0347815224149654,-0.09225334472550042,-0.04719659237805687,-0.06108069043682662,-0.024143347736819823,0.0823998486626722,-0.02340199707303066,0.07681867626745793,0.00578190345273987,0.04113920665488092,0.04210291685276248,0.01903366794257952,-0.0839813392316144,-0.06203034930245747,0.10150626448389578,0.0007963597400199908,-0.11228330394613427,0.0032431149733449798,-0.00484439113409078,0.07352252439313288,-0.04970027626690118,-0.09779757320671091
FASLG,-0.016985056072242242,,,,,,,,,,,,,,,,,,,,-0.008996616153216142,
