,UKF259,UKF275,UKF296,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1
DCN,0.0001350324101286432,-0.06414135488257121,0.00767158987855839,-0.011747987038728118,-0.004387704083906745,0.02252278532946086,0.041059853683757135,-0.027350918049869586
RARRES2,0.015943955697077905,0.09490896933326749,-0.049458453859465075,0.028229990566857408,0.1074554068174721,-0.05316996695528902,-0.02964488981569761,0.0030264720398486124
SEMA4A,-0.00577966466291507,0.021212089197235058,0.00010269288071557832,-0.030312970754621322,-0.0634904736007765,0.03232251449466673,0.011582076647537234,-0.002794862195663657
GDF11,0.04740665874563043,-0.057019211894899176,0.016886938575870983,0.0054221355883803226,0.011027910850343079,0.01245657478862017,-0.01110673254158582,-0.05760403968697646
GPC3,-0.01169861633436692,0.07961696030742975,0.036130482564137055,,-0.01838542244878183,0.05154848708216772,0.1252964671898926,0.05079100247845387
OSTN,0.05464174154323973,-0.008553806483100623,0.013262285367340884,,,,,
GRN,0.03261378670553853,0.014884174518118378,0.002942430818723308,-0.006764019813585305,0.010522262603461514,0.008910659332830638,0.05509957980373657,-0.05408203231999488
CALM1,0.012727324543887843,-0.02364821652356635,-0.03451207741714523,-0.13194896513840626,-0.0024449708380830113,0.03617469157965026,0.08106416056409414,0.14818348858472158
ANGPTL4,-0.0052419999582677046,0.01010875022017276,0.0053467516598468484,0.12633786809296285,0.10401797739230899,-0.0009772871275534683,-0.060442179724817954,-0.13955122308696738
BMP8B,-0.023611492377454846,0.02536608056032101,-0.02764739762111379,0.0001626828164827818,-0.006279276325691409,0.004525307556207444,-0.044461005959648754,-0.04199978410129838
TNFSF4,0.004416333841630032,-0.024891199382702747,0.014568072611609926,-0.02233695033206057,-0.03607127453540881,-0.023889851421601223,-0.014226830546495067,-0.03152024542180517
RBP4,-0.030480056275591912,0.0355317299824369,-0.02760382168372969,-0.05331071296368825,,0.14341330901940216,0.07410892667845143,0.1022493876878273
DKK3,-0.037916527057422184,-0.0006324068787784262,-0.03635301007508785,-0.07359392678806838,-0.04182497547626137,0.04349881984444486,-0.0040676612135790114,0.011066729505277815
COL11A1,0.053777067478499606,-0.023636616926396074,0.005417932289492408,0.026908969218538695,,0.06449954068193134,-0.018400408342230647,-0.08499611779826914
COL5A1,-0.013832522272311925,-0.044671376818200326,0.027162065995612134,0.019649629448762262,0.027438010530537762,-0.018475224207535196,-0.026560155772610335,-0.08568853203110437
KISS1,-0.024054998020966153,,,0.031495683953090325,,0.08759835381420737,0.003008560322110979,0.006186937009738404
MEGF10,-0.01400528946772268,-0.009386518241581722,-0.009707303166546683,-0.06299208564005303,0.06271053063660348,0.049496682149895194,-0.014301734928349292,0.0282506803374197
CEACAM1,0.07807579975796289,0.04315571454084394,,,-0.015421299983144867,-0.03629586490193062,-0.026506977908284275,-0.020390567122352515
EFEMP2,-0.011815927895644346,-0.02435229650666922,-0.03805922565036715,0.08652819291799699,0.008866739628267567,-0.05238653920150323,-0.07132616145203234,-0.08936236064962273
IGF1,-0.037072516948341606,-0.024299271371511857,-0.01765678449410906,-0.027248042687864224,0.05686196183556989,0.021352384620501964,-0.028986481061809545,-0.04022306270039545
COL6A3,-0.05529188022153768,-0.02793611037576857,0.038353875216893346,0.029651885683654403,0.007830519358497476,-0.04146740240976983,0.03238707358790691,-0.07638051758567362
RLN2,-0.019563099461148575,0.0028578304732144438,0.048885735465786055,-0.020419162528352318,,0.018973289663208406,,-0.03430091956341396
WIF1,,-0.019141592248518725,0.02619708744659131,0.009005304717939948,,,,-0.017173987046291604
IL13,,,,0.06833803208099497,,,,
PLAU,0.029241456813771646,-0.034549674145292045,-0.004692719573037011,0.04654394261011033,0.01017826062186426,0.017512894293295812,0.07111997775285459,-0.06849822564156219
CXCL12,0.0004620794435642171,0.08622003077262193,0.047289376017489955,-0.005341420181715317,-0.0032130406054608294,-0.02819601264021072,-0.0019579695198497604,-0.0709637369355446
MMP9,-0.048682631186638764,0.03860413752877778,,-0.0282703819000036,0.035045853283283177,-0.016851940616039642,-0.0633174722648495,-0.06561008162494988
TNFSF14,0.016722451745115764,0.012085349190915048,0.016476217214639245,,,-0.0027815997760691578,0.0017822036206545458,-0.045155979944149514
HBEGF,0.07427023922509547,0.04468638127672657,-0.006614939928008882,0.03304449583725407,0.04618710102259806,-0.048242455544925934,-0.024650340212346033,-0.029980236776752055
NUCB2,-0.01321632472712854,-0.03212710300452322,0.037879223773441675,0.039530395203929376,-0.02753764937787349,-0.060529140489639865,0.04074074566083026,-0.02382459818975255
