,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.06130267845359798,,,,,,,,-0.02554568961270495,,,0.06681660699182997,,
BMP1,0.007652388230902106,0.044326855787635074,0.07760040348016009,-0.019908064699884032,0.060437005589316944,0.010925908022311076,-0.053619714477224203,0.046238909459602025,0.134001179780517,0.01649900129594759,0.051578397908435415,0.0692366704740153,0.04796069645539253,0.08341762676779785,-0.05238040733794409,-0.04442284699857024,0.01630342952523224,-0.03592715951674652,-0.015768347228313186,0.04039821885091335,-0.010659951266444779,-0.053360808546626705
NDP,0.056625107605675656,0.09824403276844561,-0.0059638839850842335,-0.026382325119158216,0.025869558882154444,-0.03455418873108118,-0.004413941119702398,-0.009280671047887244,0.005439961910413805,-0.009228575576626397,0.011427659921700726,0.010271444039143771,0.06034104348065755,-0.030089113705803243,0.030150339928958672,0.049865317756459845,-0.004057663168508618,0.024984930623915706,0.13983438095668757,0.038965023693603835,0.05045149343421043,0.019744820229521457
TNFSF18,0.042985518956126526,0.029522931189455506,0.03529895132851004,-0.0302987783763966,,,,-0.013800794640879611,0.11766047399113425,-0.016298663296446362,,,,-0.0010826746813907752,,,-0.02634481878968137,,0.12073062494374402,0.06180749385306813,-0.04555492463447562,
IL36G,,,,,,,,,,,,-0.02445147888378131,,,,,,,,,,
RTN4,0.010209824200254517,-0.029269507069682874,-0.02370064565824373,0.005174904754223349,-0.008254253646379309,-0.016118264884948517,0.05431767315962629,-0.06863929913451106,-0.14676125923710207,-0.06378726566725122,-0.0036935298837643057,-0.026126931551383594,-0.06822976024236262,-0.0541565050430338,0.01877998943585499,-0.028136539699121475,-0.06280699739413581,0.13773496037289765,-0.10553478266807599,-0.0200704487845675,0.03926085996427719,0.12240220501773037
HEBP1,-0.03197680998150123,0.034859975654542186,0.03754095677230218,0.04886349050105059,0.06737249618946718,0.013254149077937823,0.012871281799079605,0.046361599144472763,-0.015881336971935483,0.03251088707245584,-0.014618399179869642,0.015622246407447934,0.015057356804494972,-0.023081021797063034,0.037704734240384924,0.03035967394585906,0.003434167640907088,-0.006853073265752194,-0.07109763596656993,0.06376332650307395,0.027195330725630275,0.022979463597135662
WNT7B,-0.023853495560053912,0.004123336291798845,0.041446948601931745,-0.018820661902964605,-0.030988656734570005,0.026397170596961714,0.03116266882111676,-0.030330692208804855,-0.06483396915200719,-0.03383619552301029,-0.020148255419177318,-0.026874993115921706,0.15720527699247344,,-0.01440077648786086,-0.008950671858653097,-0.019299737184515768,0.01682263852753937,-0.03314011712304463,0.07292057533748553,-0.04649189990121194,0.023765633022207275
PTMA,-0.010210261474412416,0.0056035418285759215,0.042329826946574875,0.008964795104986756,0.018557892364682384,0.014482656585412874,-0.011859191165108288,0.08644473261413561,-0.06176744829864008,-0.031284177686276705,-0.009758740365862693,0.04046220747783626,-0.13519184436131362,-0.02261947930276853,-0.014694207906178787,-0.006069696442409661,-0.034251556168832804,0.005204294827884777,0.0275460666641454,-0.08214531600217401,-0.010482549360844197,-0.11340669001966339
FASLG,-0.004068131446812254,,,,,,,,,,,,,,,,,,,0.08425687628960594,,
CEACAM1,-0.00451290101329438,,-0.008384599586550271,-0.014443726023936138,,-0.01876714311755166,-0.014777318839390426,,0.07927836168399846,0.04881191118634208,,,0.060657721591122704,-0.003790830703097155,0.04856580816178821,0.09021387838991117,0.08463211969414909,-0.01221412429736571,,0.09546778177695157,,
PDAP1,0.0695938554691976,-0.06346717074200302,0.030069757020061573,0.02258247525360683,-0.00182384906440877,-0.05047919613504828,-0.026913081754223845,0.016066441379120656,0.0667268713341578,0.05942495070707373,-0.007155379697231201,0.023665841586197056,-0.049854948846905715,-0.03359656187973409,0.018986949024710674,-0.011840071360980748,-0.002478195023752781,0.0318160098015064,0.03226930957042074,-0.011559935957875772,0.05355460936545839,-0.017596763733860706
QDPR,-0.007988938494591478,0.019346136228156105,0.00025043127615036225,-0.002396541817240506,0.13599056724919886,0.008231662525139205,0.017225260580470088,-0.050777992493228896,-0.12263453541065644,0.039349815797117584,0.00026833928103985467,-0.009915031124667172,-0.042102986144775284,-0.0015566424801956942,0.010710436642306996,0.015626166734521732,0.013646973084420826,0.012847358598788274,0.016050245099303848,0.0785101102861719,0.0013705475271369428,0.0052849452415827105
POMC,-0.06398902386374454,-0.013146531721340624,0.023227271397531283,0.02628335030554987,,-0.013052223031602906,0.03408985675516038,-0.003125159405825537,-0.028068805104181926,0.010648745796336385,-0.036170908523377475,0.0033347449185045564,0.05367176521827848,0.0026341356291227276,0.11727238700892528,0.010591919973253022,0.03907175110091869,0.032271133971370665,,0.11253421074422618,-0.0038443668971423475,0.07577342766129946
CCL18,,-0.034423480908364265,-0.03923286961398148,,,,,,,,,,-0.005820202067576095,,-0.02653208780726544,-0.0017202282559916312,,-0.052797856453296606,,,,
CCL17,,,,,,0.008315975065240358,,,,0.03529806472118824,0.020335678860008085,0.05335202021963215,,,0.02223389406768851,0.03985291929507406,0.05411878527271489,,,-0.03419451228751243,,
VEGFD,,-0.009331659074321371,0.004181355560133315,-0.020687739693691986,,0.007388499673457137,-0.014138102000947915,,0.027797679574534415,-0.021657345268422428,-0.018292245432293915,0.0638065769566234,0.07512914258307674,-0.043998469393269,,0.033407540292895506,0.04043472712784928,,,,,
TNFSF13,,,-0.029606391787524507,,,-0.021482289788405634,,-0.01338389179348625,,,,,,,-0.01224266103850141,0.028353706284571987,0.08295627430356754,-0.03676135747328621,,-0.016577058490895826,-0.03892457496630868,
