,MGH258,UKF248,UKF251,UKF259,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,0.002080721641104445,,,,,,,,,0.06555365432924916,,-0.024701540725517643,,
BMP1,-0.025167419257925098,0.08263606585301127,-0.0010670049844098406,-0.060498254993183544,0.15301723797628872,0.0036422828043329134,0.02082633627741587,0.08689280854937151,-0.06671934407309248,0.12976279199372512,0.04519734644073424,-0.024950413043284582,-0.044005491738979274,-0.03014873139432111,0.02620307655835737,0.04917466770566516,0.010770858742297886,-0.06372565753043084
NDP,-0.011084776180204604,0.03496545965638646,-0.04598018039589246,0.003400582136183487,0.011314271806395227,0.01761322832861822,0.017432787220086673,0.04295024276292463,0.05251124167603053,0.08663975632837319,0.017756243257323202,-0.02843739122756282,0.02681451947292508,0.005103397399940909,0.021471111873485854,0.00507245804919767,-0.03216793680837692,0.10833285768010009
TNFSF18,-0.01871251606350933,0.043835460347039244,0.008656082954492264,,0.053668627929759016,-0.01660448030139348,,,-0.011040045438291231,,,,,-0.03237754727920918,,0.09228624070774669,0.08224817777977614,
RTN4,-0.00673927584898749,0.034759546146484695,0.0022447260467560507,0.007604920412426355,-0.15804978854751092,-0.002171104293418432,0.040941576458052485,-0.11006156890389633,0.06868485202554772,0.053680694173169195,-0.031027605267470053,0.02128214494182635,0.0012447926569328553,0.023300047377372,0.056599425129355056,-0.03332978219937123,-0.11061884617697813,-0.004654794591429263
HEBP1,0.01854316488713434,-0.017997458046272393,-0.033067701387793934,0.014564189345826968,0.11586934503460575,-0.01052133896596204,0.024503044165421196,0.0088911644049114,0.059894553744431714,-0.022180758087534273,0.05970384094581496,0.015237091301434105,-0.003742015580169011,-0.03628393962960592,-0.06020230157123314,0.022824635360812612,-0.03176043704710075,0.01584246004229838
WNT7B,-0.016485140559650596,-0.006592940169424859,-0.03194632398247743,-0.04019239474321674,-0.00286748149325514,-0.01962240640842656,-0.012332312690747553,,-0.00011041930445333119,-0.07700070978707849,-0.04756692420029404,-0.008851009579817734,0.006116053671553693,0.06496651366101272,-0.004460330859670795,0.018801718000515742,-0.015927550134747847,0.026545443645090285
PTMA,-0.04447059383449991,-0.002629316939113588,0.028907587286231273,-0.060634824832829094,-0.07107713408902766,-0.00046280703459449527,0.046945627527313565,0.12374106799175988,-0.04091567236603389,-0.02373457892926985,-0.03612359700425117,0.049078218101959954,0.01370698605123852,0.06290352575843611,0.04616590156837909,0.010341022476792252,-0.00043285968003015134,0.08448477989515947
FASLG,-0.0164851452199576,,,,,,,,,,,,,,,-0.02142363784418906,,
CEACAM1,-0.022889768410745668,-0.02658641215516787,-0.024516882214547498,0.012580479875771244,0.08777756397410012,0.006972481020451202,,,,0.0023582583241757425,-0.008343899522667833,0.02432000530565128,-0.02525285786651532,-0.025448226649494816,-0.02429374314918243,0.02547065808441111,,
PDAP1,0.04299765422795091,0.008989630449184912,0.026200318725371863,0.02844985561014115,0.1140821445549577,0.015119158973740304,-0.04406077778031574,-0.009819524382907415,0.009069646417893,-0.01134326054525749,-0.010548089284170531,0.005381606306942255,-0.038949417839152144,0.0325377962361077,0.001860523542921141,-0.018672926148104133,-0.03241003916945882,0.025426448311112626
QDPR,0.02177618826818006,-0.05455857902358171,0.059995118560167815,0.006805013448360284,-0.1680139105599145,0.09401287963744018,0.01593572990352973,0.08833967558254269,0.08256009079230993,-0.003603226196059657,-0.04139216600209252,-0.017699816995232584,0.032137578576637675,0.02073447388957301,-0.022006881668715512,0.036249939989437104,-0.023829629750681012,-0.03235997520779963
POMC,0.07745221451597371,0.045016192982449556,-0.027360921476606088,0.024025964770067538,0.07150154087252211,-0.019266525890364584,0.057419991861414034,0.045715348267560144,-0.003644622198226485,0.19573889871528055,-0.025093951033561202,0.050304060623533445,-0.0024124516721617806,-0.04334060581223938,-0.010853515682414147,-0.005937284072336668,-0.012209515924898063,-0.038915457028113824
CCL18,,-0.036776136613551884,,,,,,0.06477691004144252,,-0.04971779021614582,-0.030245776056454083,-0.022564863300958905,0.03496147885171123,,-0.036723205762523886,,,
CCL17,,,,-0.005687838037159435,,-0.020709019728853754,-0.015263946019111355,,,,,-0.02328489579100993,0.030303288361449472,-0.0413930538430204,,-0.019418121410918802,,
VEGFD,,0.02645950104129399,-0.01650747937729463,0.019128572252742056,0.04666039482466198,0.07636810719421933,-0.011196288998412855,-0.036750088648126476,,-0.056012648200995975,,,0.1542766191672786,-0.03147871099874947,,,,
TNFSF13,,0.03840797093045303,,0.058104467858661295,,,,,,,,0.022029623174875005,-0.00805033803102723,-0.019978782224000183,0.0662534824529516,0.007328861574000577,0.003083679279854406,
