,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
DCN,-0.01056233990986677,0.021452138253370823,-0.03176510475413841,0.027478534793427187,0.07253307017628392,0.021254126960763713,-0.01991160937595067,-0.04676947433792939,-0.016918003239197513,-0.0062330934140179305,0.001248840659926624,-0.02434300578769854,-0.10403933793909784,-0.05622416824679124,0.018692054741969225,0.09417001086019122,0.034238989747340784,0.004198500512669614,0.03581538616578823,0.08862021496069174,0.016572601861828604,-0.005431738536152506
RARRES2,0.024076468166330904,-0.09824003377901429,-0.03202810299011753,0.01564250931977309,-0.022729607190567044,-0.07846737958148957,-0.16550836655155207,0.07910407459622207,0.008107819452697628,-0.05690779232175246,-0.030603645576372386,-0.017776128937061448,0.02962446235211728,-0.00531444014008661,0.04717193002350635,-0.019760208335084656,0.00634506958358284,-0.06609564613614491,0.01643520306292569,0.014366614365868769,-0.04147934146129824,-0.043009203140355286
SEMA4A,0.024566908898747197,0.1141480669232086,-0.027723737319043883,-0.0023172682692863653,0.05206629652769012,0.08287586369902342,0.08830000799830973,0.017386712729548563,-0.005312330156650974,0.047584269359778254,-0.012561064954097697,0.03377046562626779,0.11393750704107952,0.0994733203886879,0.025474836369082796,0.0950976222291073,0.023540616053711202,0.04970123933828043,0.027946671018316015,0.019519618434253167,-0.035470984558483826,-0.07698957177095403
GDF11,0.048859685626481374,0.028232447136439916,-0.003516148958090649,0.02204989431861382,-0.036040718535999286,-0.03939226069228006,-0.056733912362434254,0.01741850724146879,-0.014855707804308243,-0.02649605083717008,-0.03364045078985252,0.0433680954969104,0.044271474196605834,-0.005148707332891386,-0.05330853468387827,0.032450281067051306,-0.014226533822836408,0.0446602463912626,-0.023614750681755788,0.030904679115258245,0.03397169508948714,-0.033970406501215515
GPC3,-0.02751721225966354,0.05816751572134759,-0.016240735638856932,-0.002376299964564517,0.07541717930254926,-0.04603398153062952,0.03771447511100492,0.020286971330029453,0.025207329972055294,-0.03215951141275086,-0.017349982962344097,,-0.030705693881787205,,-0.035261446807052434,-0.0003527533642171439,0.06046603536073133,-0.028478130627582178,0.0063924585245314774,0.1006314735104253,0.06763704393183749,
OSTN,,,,0.004089612246494727,0.04590103822676853,,0.1520569248648353,-0.014239162972161533,0.09174661555085303,,,,,,,,,-0.023517946501568538,,,-0.02329514899726889,
GRN,0.01761383919406773,0.02900118867442031,0.0062438132629400594,-0.016530157574357718,0.03106293936861161,-0.0062285617389134015,-0.16319348646618675,-0.0029203995347658984,0.00352458479866415,-0.1066660132723431,0.0052520385091089925,-0.007001854683323527,0.020862255153453833,-0.013489630464202318,-0.13466647416499164,0.03037901339978937,-0.026642859176252184,-0.009093104433147167,-0.028267538370471083,0.07057367278068244,0.01284494354514613,0.06362523813017687
CALM1,0.034564372520400226,0.050904758015279154,-0.0335044773040498,-0.020121817431116712,0.1126648332784655,0.0038631282462701934,0.13962882204248597,0.06476931326068568,-0.00114583227040882,0.1593377245447593,0.0302905057011621,0.1132521261681287,-0.009676496680283286,-0.06301037484466171,-0.13478691866756748,-0.026738455014346813,0.03882074068381351,0.012709789648093715,-0.030011634450129304,-0.0005735243379061367,0.023304213645881044,0.015828049371974434
ANGPTL4,-0.022583732601544688,-0.01579217844665488,-0.02369854421255864,-0.035148293277510644,-0.07344288700587463,-0.005712353014601111,0.026107548626659826,0.022535358582790554,0.029682301188069336,-0.07128764722515123,-0.03454563702753323,-0.051136555463920146,0.025578787459825687,0.013165956496291742,0.016605531759022144,-0.05341222936547763,-0.03735075392372029,0.006764867187538989,0.021616864193743472,-0.011636220332324199,-0.04790940333551643,-0.03286623977641392
BMP8B,0.013684663950405709,-0.005624923755839323,-0.016163988688186585,-0.014295396969879672,8.853121390867419e-05,-0.045036687460745475,-0.001214897880532622,0.037238813405081395,-0.01638505390476621,-0.0777823562203903,-0.00855623805718256,-0.0065782330740616225,-0.009821433437133395,-0.009019426441378268,0.19151848097689678,0.01565838542622004,-0.01596458081427495,0.007649074328111581,-0.02037703829672286,0.0950008288231498,-0.04125101259859067,-0.058484191490540335
TNFSF4,0.04741140797942797,0.009193845510121729,0.043074303323105724,0.0067717080700877685,0.05533992852246038,0.11193033152404516,-0.04608135940933871,-0.015322770020295433,0.0038310676324077187,-0.003739596381309211,-0.03034593833442425,0.031830876463108226,-0.033189271717613905,-0.03700499662697057,-0.007207098674707041,0.03766081620984415,0.009151370171352393,0.02550470240415564,0.0717919332374885,0.1335164130096143,0.03927044939017357,-0.052183324209606904
RBP4,,0.0689462845075166,0.05695967778347427,-0.02397261684445647,0.09573306491655668,0.07375372474565653,0.19285578210642548,0.038235707782913166,-0.024093232679882896,0.10682783570750952,-0.020756449604029885,0.08530699186132264,-0.027416033564081004,0.03286108138765298,,0.10010811187052303,0.09120054152982354,-0.0005923959087934159,-0.06782464552384844,0.003037132131194094,0.03939195411252712,0.03059808318057895
