,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.05118177379004654,,,,,,,,,,
BMP1,-0.0543967963631811,0.0615686707397297,-0.015496612299525125,0.12179452271139317,-0.02958438583611866,0.07931103082385138,0.08426639405325255,-0.336203934477848,-0.10285723715137214,-0.00019604692193083125,-0.09004978250410788,0.03485832041092769,-0.11945515033003484,-0.06165667443904625,-0.04449593791935493,-0.0692468517304386,0.045409926306787446,-0.04417133984068397
NDP,-0.042593175666909844,-0.02810625551527714,0.0029940282721103383,0.04662810937829468,0.011641066498070134,0.057262324888242025,0.06174703586017924,-0.04001171130538451,0.07597827839228402,0.037933979889353125,-0.09371276513364801,-0.07486741405583686,-0.02757774327750177,0.0129364583366734,0.013758647760890351,0.013033954418081202,-0.10743876253064619,-0.011448298186288983
TNFSF18,-0.014096756853496798,0.05532081984524992,-0.007408352314340196,,,,-0.0019754330627319476,-0.06092219649270152,-0.03324261458372953,,,,,,,,-0.019345409388812528,
IL36G,,,,,,,,,,,,,-0.020676876786902096,,,,,
RTN4,0.23247023597109212,0.020906303716991714,0.033363758964917674,0.056424736231451465,-0.04591718946442118,0.04283546354366156,0.10626905481766823,0.42459405039574255,0.0945225745505677,0.12412862144753614,0.22030976340582967,0.11651915818747095,0.1697002764255236,0.006328905800765748,-0.0166161317409393,0.03450426185933762,0.038101791880688504,0.12396415806508053
HEBP1,-0.029181943422476927,0.057532583789217016,-0.005287663950138371,0.0180636488233705,0.011567876660415847,-0.02383635270451751,-0.0025286065482631624,-0.1546806638145412,0.030103145993223307,-0.018728641882155176,-0.12125788185371286,0.04805009815126725,-0.034391066588371724,0.032391210395701635,-0.0025279371805951266,-0.01231222430473202,-0.032020358100139486,0.0016334796695714334
WNT7B,0.2103799903315758,0.0318804125822945,-0.01843457840910342,0.09635702418569135,-0.034214510156334935,0.03203471875437824,0.12335544288049448,0.1909636838851603,-0.07270544532649251,-0.012942190354694485,,0.025409149630375733,0.007797712148512453,0.03807212168692338,-0.016693667297376005,-0.022872899623676116,0.04508720741377186,0.3068092778126632
PTMA,0.017016810658136528,-0.02791043931130989,-0.08325345899182185,0.10341760598095318,0.06192467485173866,-0.06954255058565371,-0.07149909180972261,0.029913458402885486,0.10877515410269889,-0.07305844540836136,-0.3322466302048259,0.15507869246863962,-0.19884227631023774,-0.04500065548038669,-0.018796918099121915,-0.0173065190944959,0.032899540896309795,-0.1964367293302313
CEACAM1,,-0.010771525516007652,0.07785406612794808,,-0.02246077207264014,0.04855331784073811,,-0.10001614235814561,-0.040585457946395266,,,,,0.003374744368562385,-0.02274835516023234,-0.015181076136834323,,
PDAP1,-0.027636760044038085,-0.02007890526153596,-0.020517834977416285,-0.002823404881675223,0.040418792864271406,-0.022111881580446933,0.0805385838401698,-0.21119224723850355,-0.014684147966230113,-0.013551039087545536,0.018520667305907394,0.005972346752805824,-0.09927275029935295,-0.010797160074372578,-0.08180388408868487,-0.013150399428328392,-0.07642194404943141,0.050736046122695604
