,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,0.022291197204433053,,-0.028724593880841545,,
BMP1,-0.0062374720030759405,-0.03137584862294638,0.016812888421941483,0.02933103661551471,0.05042313819077151,-0.034930860983644764,0.07903158148436815,0.09481243778418588
NDP,0.0027332366968197256,-0.047668345310848174,-0.018563100935062225,0.07586398990736128,-0.01193856902575688,-0.04534740163422738,-0.041309622266785875,-0.023461752979111895
TNFSF18,,,,-0.024060953374037092,,0.005949071237191613,-0.04261937889167413,
RTN4,0.02573938389981561,-0.049723780445198686,0.005596962642087631,-0.07255830534377172,-0.00762348190921299,0.02645634825924229,-0.04778298471970461,-0.013987769539017807
HEBP1,-0.06667094719701246,-0.01684845903859362,-0.011416871141342232,-0.05426076848161794,-0.027866616864463088,0.021499443267059708,0.028804708388807738,0.032309431003226544
WNT7B,0.010004819470730045,-0.019864969352396546,0.00745504887565998,-0.008654284689607647,0.0141807138106142,-0.0012890206475627197,0.018191271359715145,-0.04442596872375859
PTMA,-0.18773683293329285,-0.012899152882365107,0.0326953111851608,-0.04248159238710471,-0.07039346866071533,-0.02782172833855469,0.027898723458638114,0.019550001217858885
FASLG,,,,,,-0.024912830473317063,,
CEACAM1,-0.02254664369649215,-0.023400511395930645,0.0258575430356615,0.053896506470775166,-0.021894380761423023,0.06330317477549634,,
PDAP1,-0.05255554103397961,-0.09451723178404929,0.027926125827338923,-0.04673474750790244,0.0146585880685545,0.041340807658972197,-0.012064427738825278,-0.009272462075263409
QDPR,-0.055471115450427606,0.023815742771511588,0.08058887076661228,-0.0617120200848492,-0.00803942121067305,-0.043006745086622236,0.015634183340148027,0.01415073672420918
POMC,-0.029647293056417407,-0.03180088355998509,-0.02131699061539258,0.04200019522329178,-0.024895750008807425,0.016817025293764977,0.007762682439424919,-0.06651651447823616
CCL18,0.04250020507400159,0.029325360877451932,-0.04461908198108602,,-0.03608334676471451,,,
CCL17,,-0.01660153021882418,0.07179642388869781,-0.030760709881364645,,0.013445559191496433,,
VEGFD,-0.045467016712256225,,-0.018272027824716926,0.16939861448973978,,,,
TNFSF13,,-0.03185584290182834,0.03026633718183847,0.027259256323496506,0.05061370241413762,0.007833431878303165,0.03397633599796406,
WNT5A,0.0009809276984614368,-0.014846455247235763,0.06383247758185287,0.043387166711036804,0.07130794346788474,0.10744073365203882,0.0011094724101829748,0.09486731865577083
CXCL8,0.05209721227030354,-0.06933250650975689,-0.03958947196843359,0.08077103867121575,-0.027011278932662093,0.11653154597732542,0.0021409565137437657,-0.04019152409467782
GRN,0.06504529245262286,-0.04179966325558165,0.06471113667579732,0.056737966611334845,0.041652500258894776,-0.03671674677354351,-0.009653344761876993,0.031016369446558136
MIA,-0.06481663053442066,0.10970027943558931,0.0049765575074712885,0.05809222345882519,0.03316860896105943,-0.0706738334188855,-0.019277621988513943,
COL4A4,,0.06029402137989594,-0.02925637354177482,-0.02485999393383188,-0.007703978313017995,0.07448268029707485,-0.0011867236941621527,
TAC1,,,,,-0.037774044139215014,0.04294463050996159,0.04313247666123465,0.06178174875324645
RARRES2,0.21028322445134284,-0.010158800023155386,-0.03895751746499081,0.012188162249868281,-0.012565912605611029,0.07230607204513906,0.01708139539668619,0.048319619144701495
FGF7,0.013593070519165102,0.0585301609661052,-0.05940654046327746,-0.043113481839437744,-0.0068938897994833,0.026157708900186497,-0.027986155551604226,-0.047074538069143496
EFNA2,,,0.14773655819382983,,,,,
HBEGF,-0.0931040896768116,-0.0058428964693320404,-0.018546592865296477,-0.01094589830465529,-0.005455060590749787,0.10902896174039667,0.030733747078243646,0.0993514693309373
CSF3,,-0.07420934952339717,-0.029289469667217027,,-0.03138858556470233,-0.02377397532208612,0.03342718975518369,
PI3,0.02015780497140894,-0.08878415055170925,-0.056054953960570614,0.12953679691128744,-0.02963928609219515,0.14204169164053312,0.056880234158978644,
PCSK1N,-0.1217450702698074,0.06552657211632212,0.01780887303606345,-0.0027376355440572853,0.0004418337120323093,-0.08008668474668762,-0.007493445242353185,-0.009788885637567434
NTS,,-0.0030797874859930644,-0.021157589339511878,,-0.008355521078002947,-0.03520601560379014,,
SFRP1,-0.06911029888673084,-0.005372513770366985,0.030321838159112775,0.03340345975073894,0.017464646074065327,-0.03438791699355234,-0.009525337360921895,0.062425383691917975
CXCL13,,-0.025634168189561532,0.02738406726930589,,0.01830175236051879,,0.14458475439981572,
