,UKF243,UKF248,UKF251,UKF255,UKF260,UKF266,UKF269,UKF275,ZH1007nec,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,-0.021191062180244885,,,,0.012544050878206172,,
BMP1,-0.06790166708984971,0.07284710610108215,0.025389821598072227,0.06591257549580828,-0.03283097617176801,-0.009025884835550647,0.08239126563698321,-0.040947283198617554,0.03603531352454846,0.013181939662377665,-0.05941943468319865,-0.029775687164279006,0.05402218587438014
NDP,0.06368029699102805,-0.022491686768627478,0.028673751284657982,0.026006938586359215,0.07659603016170537,-0.05076552728464479,0.032046563523612244,0.01435433649873516,-0.06382448804331023,0.04212264015102698,-0.02769900723637284,-0.042548619700999935,-0.037579700762434866
TNFSF18,-0.026427542092930332,-0.009737717327805345,-0.029361835749340457,,,-0.01668936003351365,0.05263162301898986,-0.02086832064236708,,,-0.026681276007700646,,0.008122373104235659
RTN4,0.010870556270000614,-0.04881122531402021,-0.008252644989250832,-0.021927760806968868,0.09135117005374974,0.013231636894918289,-0.07971357051413147,-0.07321945136361016,-0.04327412538881966,-0.06504204132183372,0.01344728002619291,0.023219226462105017,0.022234347620029148
HEBP1,0.06749993815399985,-0.0134001215619911,-0.030838554954619436,-0.06425583155527859,-0.03583748537800394,0.020305036308079432,0.013439999031463897,0.007512045051020512,0.14558051477126469,0.023240641660223205,0.014490183954151468,0.049106099317345844,0.05473362607667334
WNT7B,-0.05153262880357615,0.029361424298375672,-0.018238662187093673,0.012279974073938216,0.05913565848577246,-0.04493171838363725,-0.006279523838878303,-0.010148018397007161,-0.0015615283115808234,0.021499454479317996,-0.04626270398707057,0.12632786627050965,-0.017175647503015763
PTMA,-0.08996923716106119,0.06520796082743054,-0.009043935471396413,0.0684418002052163,-0.023941056134589297,-0.02014027683799968,-0.04128655482234419,0.007971046429614609,0.025560909693287327,-0.01650031946455664,0.12269523628105548,0.012677599259072119,-0.04500406508482871
CEACAM1,,-0.020060548091604093,-0.013997076246930995,,0.03138927429992685,,0.10222256680419307,0.05632773394920716,0.034169135320720134,-0.01956087671045425,-0.012086130216527,-0.014826659356958415,
PDAP1,0.03698510139575638,0.045171612628760696,0.034386256793053384,0.010510437107023842,-0.011970435229129571,-0.0005661723758903941,0.053278734454045414,0.03842038127706569,-0.12416283234181691,-0.02158650226236885,-0.08489779594353877,0.028643056283380246,-0.006956378948468909
QDPR,0.03918169299281535,-0.019927377025786844,0.007661358717092512,0.018549441789578746,0.0724184637506079,0.022739301843205047,-0.06785492013560063,-0.002134249083100602,0.044810999501598385,0.03405172054762538,0.08762506767133017,-0.013860326541330058,0.04044272356766483
POMC,0.011505127596739452,-0.02361298066408174,0.1093256933931067,,0.009789782539812403,-0.009238847814800905,0.01836934750678064,-0.024213949045478616,0.10186768404558535,-0.015373051272072759,0.027012971175943583,-0.024254466994514078,0.037141943899072216
CCL18,0.028851483096998348,-0.025033668616951006,,,,,,,-0.04348957553247173,-0.03081407969714717,,0.12246424995710792,
CCL17,,,,,,,,0.04029196466592607,,-0.02823735355230704,-0.03411065961430716,,
VEGFD,0.016595639025637002,0.003011175598995133,-0.02004800349919375,,0.10849573039856124,,0.00788155655062076,0.043906399390906646,-0.003937323935590205,-0.01956087671045425,-0.007197198036415377,,
TNFSF13,,-0.018891215662908863,,,,0.028547741981967925,,,,0.048324899324746526,-0.02290604136092822,0.0727448320108369,0.02107213493916074
WNT5A,0.07342915175330529,0.030191657905018786,0.05744462804817383,0.13206949166163715,0.023416030873034854,-0.05493391514394683,0.1000287079918325,-0.011811770323153567,0.018564448561205225,0.00970018302192242,0.030526663089984685,-0.03191425785572669,-0.0016232826814203993
