,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.10502732709061179,,,,,,,,,,,-0.018395385303106516,
BMP1,0.04164633918083753,0.021205972560451456,0.018793805891425226,-0.06461781577082393,-0.032987627449088806,0.033811782641628464,0.07463880051433866,0.004967577229293671,0.002491773756434302,0.019910678125465524,0.050957460819154025,0.13991600256272774,0.11098448301650427,-0.0020475171807107033,-0.07049319046092296,0.006107912309152456,0.047702328586916386,0.028391705527558514,-0.040576062726673745
NDP,0.019210622523782618,-0.029389269845026277,-0.0007980694231124123,-0.0002906447635684644,0.014640752708760443,0.01112653226141039,0.010498506800481965,-0.008105421404997043,-0.05033081365159992,0.01634257162952653,-0.01840583267175601,0.07426618653967744,0.04175076466254042,0.04380117148835448,0.02345424029759795,-0.011131181426288857,0.02386031060789624,0.04480853387167392,-0.06734991983558934
TNFSF18,-0.01987259589439861,0.00014791829212616967,-0.038998448033421194,,,-0.012399103332895775,0.020462932813484908,-0.011245537872955721,,,0.13853700788478354,,0.00794521990516087,,,,-0.03551431092268903,-0.017321933505817913,0.030457679264352736
IL36G,,,,,,,,,,-0.01838598941282696,,,,,,,,,
RTN4,-0.1373350529045387,0.03076918478804471,-0.0738235282688456,-0.047489896044776894,-0.015384011032267116,-0.06944724170537336,-0.068191365807069,-0.0024369028978182663,0.04114200998600484,-0.046048290003101434,0.002335984171898041,0.0518638221275147,-0.018076659154215725,0.02854253053695076,0.02242065189460518,-0.02323861271651543,-0.12204282796560502,-0.026928546826758954,-0.08116189700180004
HEBP1,-0.07888090897385613,0.026478024715019737,-0.022639366645418886,-0.015110813601879672,-0.005399531411339049,0.048107879845655434,0.06054734820621685,-0.008099079121366568,-0.01637968782642117,0.050171861681895816,0.05865825600998859,0.0652798273088475,-0.08549227385621104,-0.03838170682358633,0.008266407788601006,-0.0013943346912070158,0.09379189535842555,0.0156962834442028,0.0032271184104417593
WNT7B,0.009073018900883972,-0.0017387218904191943,0.018285904051055842,0.025045881422663265,-0.02434573092996538,-0.015054418063924001,-0.053158250268350735,-0.032234287491977855,-0.011246854524369656,0.013245180390672854,-0.029394550276375983,-0.06797712799435224,,0.07116553067180116,0.026500745875628298,-0.023652672440408116,-0.03551427409701643,-0.03926339930563558,-0.009903340857030849
PTMA,-0.11109320108853503,0.024605902602173962,0.026101620718659957,0.01458859737270531,-0.003967428246457359,0.09294748189874492,-0.059378525892611105,0.0027425997271450374,-0.04895967931677091,0.048239712921977304,0.11767768146707948,-0.09062169168828936,-0.14218054498196836,0.0002610281960927195,0.02419637532030257,-0.04440616183298704,0.022368246233181822,-0.00993746544560537,0.09880881873634557
FASLG,,,,,,,,,,,,,,,,,,0.010155120578515073,
CEACAM1,,0.03487696097378088,-0.01859094422078272,0.029366512541769342,0.02639278151984346,,0.021706103979175807,0.0931830680150279,,,,-0.04290263352697146,-0.03486010889669001,-0.02008049349368081,0.07299516735736886,-0.01569862269608161,,-0.022198081048091636,
PDAP1,0.008734626880822783,-0.010583575205134043,-0.007322115063358429,0.03342618300873546,-0.00978229969859279,0.058896179555051616,0.07271913345279737,0.020103726670121808,-0.02394575726337979,0.04667179655175008,0.06306105373339736,0.060469403436983114,0.1340985147693959,-0.008256487540175661,-0.04307324401568323,0.007910414116564513,-0.08482260273233437,-0.03158998768696642,-0.005972822710573888
QDPR,0.03181847952374691,-0.069714782303555,-0.056147684704606036,-0.0540868442236115,0.005889577540327699,-0.0230152671473132,-0.08895503655689886,-0.007665485865638051,-0.003495840661166032,0.02296432566131958,-0.04118797090825563,0.02368495627047421,-0.013527408930662064,-0.06999095792310603,0.06711353582414104,0.03131076909082077,0.029548687998013936,0.005376853749559074,-0.02945779381288315
POMC,0.05497577439563184,0.02175947175235966,0.0173503049130209,-0.044452652402844656,0.03067646466337697,0.0018310375217383188,0.040428594774987725,-0.013048432871590337,0.0002897625805913524,-0.03939217938046936,0.019434203628030517,0.09233844679203386,0.054529258739978395,0.05101656499633237,-0.006934955098802252,0.005226915098860417,,0.031239520924493634,-0.013846090326651612
CCL18,-0.02665078510321584,-0.048337442092307954,,,,,,,,,,-0.05369488433258944,,-0.011116847120846476,0.007106908650773345,0.004844440279384307,,,
CCL17,,,,-0.027667723974202155,,,,-0.014025375166548757,-0.013920453093406804,0.022877776888403503,,,,-0.014246138210561369,-0.03686295336367928,,,-0.014460791299845859,
VEGFD,0.04850516720871393,0.01205994565695239,-0.014401996483683982,0.03355138550208369,-0.01605973415409766,,0.031942130999677944,-0.014942850957404849,-0.010210820689976901,-0.018000925579752275,,-0.06049328928818299,-0.04739155412662612,,-0.025536092983871092,,,,
TNFSF13,,0.00336507372685296,,-0.019084576775457454,,-0.012024543634043589,,,,,,,,-0.027336199423279382,-0.0400687700020406,-0.0176285011262066,,-0.0052050580460989496,0.007958985959697506
WNT5A,-0.04673852073589395,-0.000626112126230683,-0.009359984906402276,-0.02239657967379106,0.04767946328105306,0.047661510721995946,0.09142317113377325,-0.021787302404360796,0.06053744526825643,0.017280586232307923,0.025270271477344123,0.09234792925158052,0.07160858937767299,0.08398690636464382,0.06549885563238661,0.035999086309196064,0.015944554327476802,0.04989236979573259,0.10382479614056983
CXCL8,-0.135809646269912,-0.006605236436412415,0.028970202969789,0.08759167406137083,0.01860610131610393,0.06882574785187347,0.005806648769899966,0.00856977325737649,-0.009508760207750369,-0.004427104812357591,,-0.021188524330053915,-0.01462894220830241,0.02368884907817361,-0.07604827892382104,0.04022708528255784,0.022057803820576226,-0.03552127731356389,0.054214464571414385
GRN,0.028102798100663597,0.004011586946480232,0.034834743369908105,-0.07626097222239413,0.024153368070338445,-0.019912990943972295,0.06551588196759131,-0.0021148283237634085,0.016379861073749013,0.027324539735994614,0.04352974892017447,0.008835648971430058,0.0874647475704986,-0.031610381775823586,-0.021117614795289678,-0.026710500781140963,0.10177572259885778,0.07772842356766474,-8.965845005017882e-07
MIA,-0.04669406945852063,0.08369465683438303,-0.023680901123455108,0.08082918010424539,-0.0400600366854231,0.011597479757616597,0.17021825165476237,-0.027567060416234565,-0.011612658156034177,-0.024653092519972324,-0.07215013375087764,0.045889793274539875,0.02116722870980372,-0.04614560036587755,-0.003538552859095719,0.020058349438280082,,-0.006863361399278063,0.013271297852859852
COL4A4,-0.011373121341465996,0.04449087524148787,-0.039824222415317745,0.049142840093219536,0.008104896422336078,0.116937883032445,-0.012656173192155456,0.004008636666270418,-0.019508342178070247,0.03152885583739656,,,-0.037108520221382786,0.014145826953154028,-0.0013102715982810805,-0.031638150678808735,,0.05077026559260557,-0.016173045372397474
TAC1,-0.037858295229819566,-0.014898577033883632,-0.001998424943081723,-0.005111162039857637,-0.01216272413347474,-0.04382270908155415,-0.06908701590899549,-0.006438879929883607,-0.0448487570419421,-0.04238134709407996,,,,,,-0.02708459641350128,0.006597650568246612,-0.01901018059879749,-0.08147758227974432
RARRES2,0.0533951820538962,0.022014734499493472,0.06186517505475159,-0.040185082316004206,-0.06960459805290965,-0.014399440653519667,0.09781676176685247,0.044870566847789506,0.03071183287166283,0.10597521169565277,-0.05586608132294629,0.020374805327214623,-0.10297030599662274,0.0316818467586352,-0.027758803686079237,-0.04012000195185418,0.027947224049664505,-0.002964699692666683,0.07520366364777982
FGF7,0.08413559352165623,,-0.03005439340326677,-0.02556075152810985,-0.00724261281655333,0.01532698200066402,-0.012988631723575774,-0.033380421068988246,-0.031872747227600785,0.05013044845504445,0.0667699382532499,0.04640636083584644,-0.016563269986639484,0.061257703855886934,0.01670074920112263,0.010897068732999627,0.03332526371637753,-0.021567459553690434,0.0044161095016818945
EFNA2,,,,,,,,,,,,,,,-0.024270347427247905,,,,
HBEGF,0.08065356153446512,0.008711369570051627,-0.011728474105205373,-0.0033310458733092573,0.04031749219113966,0.06533640091119591,0.04639366867016468,-0.006791521104674339,0.031034733287256287,-0.037367658270002845,0.03757020369067274,0.0027991306660030166,-0.05704539495289706,0.013055379732126648,-0.009168686042368172,0.07157108341972113,-0.06394484608780508,-0.005471469401889754,0.09244507565943089
CSF3,-0.030228041408844,,,0.11050451615691766,0.009763852747811975,,0.09988365330211374,,,,,,,0.028550399821889914,-0.0478680964080873,0.010965229238051257,0.09945071621361422,-0.015224982398376297,0.028034726722727676
