,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.02370056423217925,,,,,,,,,,0.04559338059166036,,,0.052854720985594864,,
BMP1,-0.018270697647548108,0.07418638874807655,-0.018600336735131937,0.03910248744813482,-0.026690179020808658,0.003732713892506349,0.07692593254580729,0.15226904186686582,0.034324109875898,-0.013194925761102594,-0.08121067325169984,0.004819826670783766,0.07786242169638555,0.13090321038576241,0.00891847563538818,-0.0048561574587706905,-0.019180342241219856,0.009770374380933575,0.004109552859501612,0.03292315966779425,-0.041343988205692045,0.011099948024070766,-0.017863596101134086
NDP,0.014134581493705665,-0.01933843996687239,0.055224297053225124,0.09849989103814034,0.009332268345661657,0.043385895816750134,0.02393028869643551,0.049502738144330566,0.006047662797188416,-0.026783879195680163,-0.014138732637838434,0.013307895492631887,0.14382815804103555,0.07360579057899301,-0.03445095620171847,0.02029760124907499,0.12769680966858643,-0.014024218228093155,-0.003680062257612068,-0.008965832237052506,0.1444057065937089,0.019732639782451336,0.0028924191780730257
TNFSF18,0.012236684873595723,0.03302791984496357,-0.030351081010445678,,,,0.010939153897857646,-0.0015530431572640265,-0.031136965764557125,,,,,,-0.0011750632340053878,,,-0.01661787443098995,,0.03225772083690722,-0.026939154296774723,-0.033956023559527086,
IL36G,,,,,,,,,,,,,-0.006580745853184239,,,,,,,,,,
RTN4,0.06790936444240332,0.033509812942862115,0.02021527047191385,0.02165084131478464,0.005133535473411588,-0.007401630645924667,-0.010408881597653519,-0.2324024710588075,0.018518999608199766,0.0656646246719833,0.1496836470916137,0.00036765357619445777,-0.08746551691233177,-0.03950905447621924,-0.03448004165587717,-0.028267222876885757,-0.011618013274096879,0.0020926684938828316,0.09905173135707875,0.04619616242736739,-0.026855548506753642,0.014073547065117558,0.05084462952020684
HEBP1,0.005131436249950108,0.014251314092094833,0.00105076899539388,-0.013777093738802329,0.016169144271708798,-0.025401711940284677,0.0028550394464163177,0.0885497777569577,-0.009982658517782525,0.010913698047672563,-0.0980991855158014,0.08018850601459704,0.05660390446683347,0.0775965596919565,-0.05095721572984941,0.05034580845699203,0.09953709960134051,0.051202680478174875,-0.011385216960132855,0.034041702608003654,0.11783205532795352,-0.061285304823867494,0.014677400103546396
WNT7B,0.10268103725482357,-0.009381177774589517,-0.029974285878515125,0.15858373348777488,0.031587747971034565,0.021225521878939085,-0.056819998719124944,-0.09228291169601434,0.045985681468769066,0.06004990273417046,,0.0008309896827189042,-0.04436134549328352,-0.051331528135286,,-0.02493523376875236,-0.027967079243453034,-0.03474931978626099,0.04204042200531369,0.14006795565197264,-0.009582944854421257,0.00017627106972024144,-0.03502357051538795
PTMA,0.038708738289863306,-0.010186244372653084,0.001506973923224139,0.03831897885478833,-0.02511995207070576,-0.03116264652675327,0.057725352983213386,-0.1284063981241091,-0.0068546535086770125,-0.02328454276573142,-0.1608979301719674,0.01943275150624664,0.09791133529076254,0.0746398176552313,0.007947119704430409,-0.014635965467617848,-0.013270656546732526,0.024543152063151857,0.009279660484951255,-0.0022434189543386386,-0.15146871374175708,-0.002024544372574525,0.008375071214085804
FASLG,,,,,,,,,,,,,,,,,,,,,-0.03601352619911393,,
