,MGH258,UKF260,UKF266,UKF269,ZH8811Abulk
IGFL3,,,,0.06545219194291195,
BMP1,0.04543958346723707,0.024979562337325248,0.03901741389621129,0.09555557488463633,-0.05898365959485362
NDP,0.05309576999708948,-0.036030546280948886,0.032510202410223975,0.0034609571142966786,-0.04708616111769996
TNFSF18,-0.02115380653898456,,-0.02014406204860641,-0.0022692065276375623,
RTN4,-0.01814358007009869,-0.023107789396260726,-0.1471857361188614,-0.128984886155519,-0.003299006424995937
HEBP1,0.05230898936106937,-0.017248871976927427,0.06242188814056589,0.0688327091267508,0.06311978164365407
WNT7B,-0.018635841005200295,0.04782731933839308,0.013764107973097276,-0.04477675515278295,0.008338206156330621
PTMA,0.004550717558943322,0.050477505512700756,0.14520713628282864,-0.04087501406220914,-0.0639261521862671
FASLG,-0.018635846273504803,,,,
CEACAM1,-0.025876035645858858,-0.02309445560973038,,0.14214651692650696,0.057955164639340424
PDAP1,0.029199742964419295,0.017619244837192877,0.0455833700997507,0.06169402248258775,-0.07662845086949062
QDPR,-0.04475038139733643,0.050389746004042946,-0.015892166620260523,-0.08715738085129983,0.09392655976803152
POMC,0.035557583821822766,0.09089419085206805,0.05505729857014415,0.010003412703733408,-0.008063090711978783
CCL18,,,,,0.014263312828014693
CCL17,,,,,-0.015465278944710005
VEGFD,,0.045505011718637856,,0.1382980491498466,
TNFSF13,,,-0.01953553789875374,,0.05902120099309099
WNT5A,-0.011765142333501892,0.11863298518271051,0.12304652865643777,0.04708370258323024,0.03659840049298314
CXCL8,,-0.03221961568507973,0.013430490840688388,0.07833114161633474,-0.0926148534868781
GRN,-0.08802186461190446,0.047447453019274735,0.10529875908321173,0.04594256667560285,-0.035956797768552415
MIA,-0.024392715390146757,-0.020320451116321647,0.005788983245680873,0.012779928378580425,0.16132827472699623
COL4A4,0.021583894198687104,0.10369891633437953,-0.018587201222475848,0.041733981247250126,0.13236374810665155
TAC1,-0.01863583613450764,-0.015012101213810585,-0.08113670996420885,-0.05580413053200015,
RARRES2,-0.008757760747258756,-0.06847794879509979,0.0394265144598416,0.06999792782457126,-0.07874285606206609
FGF7,0.034124899868777564,0.01878874494185177,0.010136181852924713,0.023527426083094525,-0.00941118629609913
HBEGF,0.018774419171558466,0.018008038875465267,0.13138743052684418,0.06605938516687195,0.03438333374812016
CSF3,,-0.055845731223331495,,-0.014761242614044698,-0.056269855614393544
PI3,,-0.044534863706266206,,-0.016621354010728614,-0.143489972471861
PCSK1N,-0.0169613116048826,0.07214953352215989,-0.07087054147363861,-0.046737147112406126,0.0036294744886490437
NTS,,0.011856749637610546,-0.005828849071923047,-0.018143342822681062,-0.036078885901800965
SFRP1,-0.027115612312958923,-0.02520710206507661,-0.008088458904060378,-0.03464529942830099,0.09178918787144207
CXCL13,,-0.024980560055889327,,,-0.034738187336275955
MICA,-0.03247565665828905,0.007071496667432962,0.014447740934001176,0.04197610981348261,0.0343572961156984
