,UKF260,UKF266,UKF275,UKF296,UKF304,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.02242927985749718,,0.0448841363672104,
BMP1,-0.05235317534556929,-0.012206745647665485,-0.02821735028841775,0.054055887394665124,-0.003242380864490206,0.09258416602579164,-0.04458000712587085,-0.05226429159327645,-0.006513723672578064
NDP,-0.009674101126660678,-0.03299133295645295,0.014776778816995491,0.0006475938863675172,0.09831946860217383,-0.06469292862199395,0.056787823871972204,0.19675537710744465,0.08621942114503017
TNFSF18,,-0.011833029536566732,-0.01422297966868968,,,-0.023130920416998112,,-0.002801454667230475,0.08450959356296099
RTN4,-0.03490004562389836,0.04406696488683448,-0.003041593094057508,-0.08665585346293396,0.05826688923331682,0.020181217514662113,0.076674669432283,-0.06040188739403677,0.0041452174238476025
HEBP1,-0.010749268845856544,0.00679644256007804,-0.00036905285497870565,-0.012246732974453098,0.03430907071236994,0.10038187475391541,0.009671470382276365,0.15016678877833378,0.0006645948859870439
WNT7B,-0.02683606181272699,0.02010191298009911,0.010674036749419833,-0.05789373792464386,,0.043070121372976104,0.07928932969671659,-0.008057201168621473,0.09584552054361113
PTMA,-0.0017210637662859512,-0.09591491701254341,-0.07996574469244189,0.03449303008546944,-0.002190767074270108,-0.1115649138379038,-0.04086758050072464,-0.16051786295810966,0.04726873488337961
FASLG,,,,,,,,0.04861348755655903,
CEACAM1,0.0021799500414461845,,0.0802842736448365,,,-0.03323671773844918,-0.014464087635307816,0.008785506529502511,
PDAP1,-0.02381984163945659,-0.003750620354642848,-0.00580478267839784,-0.021956670461019047,0.05745266566683899,0.035459265213017885,0.05614094553643796,0.01366890429979134,-0.053889251019445715
QDPR,-0.021760888986439873,0.008408686180084323,0.0271452961347745,0.016588363688583175,-0.0358361720992593,-0.007389486983485807,-0.020306629798994353,0.10705200372726603,0.02966945577563215
POMC,-0.020403365964400975,0.03337888688521067,-0.01650322088080902,0.035931701344244366,-0.0675595709605626,0.013149644542719314,-0.023661347287356884,0.007215535941816389,0.013362990391317798
CCL18,,,,,0.08532261478889235,,0.05949793298352331,,
CCL17,,,-0.017738824775940853,0.051974998200151765,,-0.011930963508765305,,0.025718949408989486,
VEGFD,-0.00508752443897819,,0.08127135890922191,-0.008446532546208427,-0.029366391810137178,-0.03118902661876339,,,
TNFSF13,,-0.011475570141259769,,,,-0.015517938310501175,0.006600965466922787,0.06106719495837168,-0.029715438980931298
WNT5A,0.09526964357773354,-0.018068403105611246,-0.004320462983777135,0.03509687178165511,0.027829470312311533,0.058509777035963745,-0.006702175054215026,-0.007303308961592963,-0.0631623387450892
CXCL8,-0.020792638761086047,0.051661139514462856,-0.0068459828927121364,0.006694496992066504,-0.02358347380353354,0.005886242961900057,0.023666074315498,-0.026623651545248556,-0.016505895186245987
GRN,0.012183368252884434,-0.10031049404632303,-0.037872523603948945,0.01719543696951019,0.03680184487296985,0.05421526773838781,-0.07567677185888956,-0.13321212319536807,-0.05652578190867337
MIA,0.07318977070802747,-0.02075004400777055,-0.009937949394828985,0.016487169458894974,,0.11161545158086669,-0.035470473215527515,0.0006576953720429469,0.061770699114910545
COL4A4,0.038858301397409395,-0.010918497993947644,0.01090875799605656,-0.006379105632564013,,0.010807413533749203,-0.01603573695704325,-0.037819252123062766,-0.01816215560691064
TAC1,-0.01945710660110126,0.0810159142439432,-0.056610725205726166,0.0008789336638910164,-0.04482185035703455,,0.03398612468458908,0.03802246466633556,0.02420371538319107
RARRES2,0.0626118645366167,0.046934352306964564,0.05101917780107566,0.0028049776847937353,-0.0553804871577107,-0.07228555028204724,-0.03853001963724655,0.1014617523982135,0.008924976233291535
FGF7,0.005241490048005486,-0.0312942514164624,0.013199713840005548,0.04882514888962135,0.030257621507647034,0.05983873633556211,0.03118327266551115,0.06342111759317447,0.004562697890478482
HBEGF,0.013255744843905907,-0.03330145609546365,0.0423975662545396,-0.014480032916581575,-0.06428199452446928,0.019282989070306098,0.014762123320085483,-0.11281924316135786,0.051676342566258436
CSF3,-0.03033792996501167,,,,,,-0.020736245400288008,0.003030035278192564,0.051410686976337265
PI3,0.0337035194935354,,,,,0.015036042709834264,-0.016335754106656577,-0.0280084053846081,-0.011951138386967755
PCSK1N,-0.0006080449413094197,0.03608804244691727,0.040138500219613904,-0.06230376050022545,0.08738055262918407,-0.04500434835977359,0.05038905809248779,0.12854969602594885,-0.026281439851341248
NTS,0.022986325686290703,-0.013329005278577005,-0.021156812251552318,-0.0027063020460352315,-0.02643918590991545,,0.11474697183082717,0.1082028521251078,
