,MGH258,UKF243,UKF248,UKF251,UKF255,UKF260,UKF266,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916inf
IGFL3,,,,,,,,,,,,,,,,,0.0076429599484821266,
BMP1,0.028762595528365565,0.024263419948294573,0.002198880300698139,-0.005099360908599907,0.1119338610902167,0.033364102021097235,0.009341724361418146,0.027065587375641194,0.05807191503022226,0.045402227389912765,0.1436808417751196,-0.04381080973178875,0.035301730241698775,-0.011125104570154646,-0.017867444951757412,-0.03449175719484201,0.026892138586396604,-0.027006948698681466
NDP,0.035694842366613855,0.08979054004437838,0.03491458147955213,-0.021523961146613528,0.07589304169326093,-0.011148458269796345,0.0310109685698595,-0.02590486163824362,0.03333496215854995,0.01856996159034302,0.1581717798454991,-0.096075667430107,0.048865286098112595,0.04599196862176747,0.047722857702593144,-0.0287505345727071,0.08570246301984459,-0.03732896719493055
TNFSF18,0.09180017968786869,0.011598827760624425,0.06577206088039543,0.0035159157991182717,,,0.01394622602340084,,,-0.001991692498603201,,-0.007233052214827521,,,,,0.014919040951214633,
IL36G,,,,,,,,,0.020564062800281984,,,,,,,,,
RTN4,-0.02987643284954674,-0.0876729174516363,-0.0382004840236955,-0.03595026909695796,-0.010300871937780847,-0.02879244765783863,-0.027318701072938684,0.03990320630531701,-0.028796749752317573,-0.028371942679661727,-0.1256007466498668,-0.05700790203469276,0.007751473577341125,-0.07361437525367848,-0.04897187216328541,-0.01726319498259164,0.03235974129117816,0.07780049998517295
HEBP1,0.036578855929733145,0.07837361371177196,-0.022525106935702394,0.04329288185123416,-0.04358599377704369,0.0401672675216252,-0.0016453405834846416,0.043876982519323204,-0.007787488846056948,0.020731988523902907,-0.009486632606759558,-0.00013715083606911718,-0.02303441569624202,-0.02975254642696264,-0.015547294596619358,0.02492894551436424,0.013620398777219213,0.0319679797877469
WNT7B,-0.0154397400519357,-0.0041015273720690784,0.01481583401588349,-0.022011068669828403,0.0003621375252279537,0.05738297663042666,0.017210748724176692,-0.012332310842275047,0.012937159007359086,-0.030909704363908726,-0.0659134185855821,,0.0287510742785915,0.006610770538494606,-0.011137369136803516,0.026744293023983217,0.03680571784785191,0.028143876634205867
PTMA,0.06195593280654131,-0.05786877627769096,-0.0005475694760329842,0.054151075930587496,0.11959934843043767,-0.01629849910215694,0.027274027332341327,0.009100735306956528,0.02882507992668742,0.036160821518457696,-0.04310497413428974,0.05144128443033165,-0.10718536228231189,0.007945626928768487,0.01634476273435358,0.09740720396464851,-0.011551924848117595,0.002635906250810989
FASLG,-0.01543974441671066,,,,,,,,,,,,,,,,-0.014834672879781068,
CEACAM1,0.06436577517578651,,-0.025576104665526723,-0.016892171327458325,,0.017982474064306034,,,,,-0.042203444967528064,0.06092590239274016,0.14998861972932376,-0.023987202810022548,0.005644058915846344,-0.02164184263878089,-8.121198619341535e-05,
PDAP1,0.01716474164128145,0.012025657730065828,0.041197874821930464,0.0698905877948007,-0.021005385733439106,-0.018636437476968384,0.001702679497803432,0.045065180815751345,0.004390480057809258,0.10379317095037983,-0.13058307681016748,-0.08822535024720937,0.06413856866894768,-0.04788630875813564,0.014002783901350858,-0.006559775612546305,0.06650139405918028,-0.016878390480179195
QDPR,0.014791372508690035,0.030946144810617162,0.03275989631364506,-0.002202920335335008,0.05941467482945577,-0.029789176376352203,0.027277795236561903,-0.026555478033010848,-0.01576670762872814,-0.09814419058909457,-0.013993322074627232,0.02339192307042079,-0.03146846554453764,0.04310725598854077,-0.013363253845091424,0.02166888340456684,0.08467946407243104,0.010159206913098632
POMC,0.04648055286715537,0.00975533427175525,0.008374448334836852,0.014938037904722097,,-0.06522010715687256,0.008593172881588413,0.0040930024618781565,-0.025928329417630073,0.055656832861990586,0.010161533341303763,-0.009054759214659872,0.02961996812025664,0.0005844347432706716,-0.024709379795359556,-0.035403211562719854,0.0019346095479482548,0.007660759733665905
CCL18,,-0.039454097007725945,-0.031916562089209274,,,,,,,,-0.051513865242099714,,-0.029835002077569308,0.024363719057996266,0.021282553194369776,0.001141228911410675,,
CCL17,,,,,,,,0.06032163925388718,0.0411285693440077,,,,,-0.025425479665470298,-0.05507997812830613,,-0.013445964740716848,
VEGFD,,0.03651711486079914,-0.03191657222421262,0.03171446305165409,,0.04674648360688664,,-0.011196287320217296,0.07130398127600733,,-0.05803612748545298,0.02213065724361883,,,0.01746348131946227,,,
TNFSF13,,,-0.024085269597185762,,,,-0.012890039652290257,,,,,,,0.02296527042584118,-0.02243828819219595,-0.009299274809179697,-0.02190907725592208,
WNT5A,0.01111556460972331,0.04155110997251081,-0.03381694205970657,0.03973099496893244,0.034798692611827914,0.021542180324302933,0.027686446777628434,-0.015508906106475878,0.06268419164877394,-0.0167726025817473,0.03695726138927441,0.06084289994987038,0.06930844884566623,-0.05227299857860838,0.016782798498950514,0.030006030441944286,0.03882945832559889,0.0692270611297448
CXCL8,,-0.059279633976836756,-0.04266899779678627,0.034788324214869173,-0.11976355411719808,-0.041525193211428,-0.018335245368295474,-0.010426469583343851,0.008462534270409622,,-0.20406782480033295,0.019706490925220133,0.11007161286857942,-0.09475886803264556,-0.07590547023084179,-0.019917708135459372,-0.03857058042963028,-0.0706993697492935
GRN,-0.04342245853633232,0.012891087911862971,-0.024221559941892082,-0.055861616506874365,0.08802763308698651,-0.026897186283533814,-0.003906292623531513,0.024172298093940555,0.006229707446258333,-0.08020642000886653,0.011794749756242513,-0.04329274523451935,-0.0032181713408238532,0.013993696594939566,0.0025358316145331276,-0.01716336931081464,-0.04185437099202458,-0.08960279772053276
MIA,0.09746111293793416,-0.004211585874817648,-0.015900414974837455,-0.02151702647350325,-0.04338308717655431,0.017779400444960528,-0.023307677680018773,-0.012733418910592736,0.01692709733237698,0.007799216989662894,-0.026021206107412816,0.009752023473505714,0.007440369063741251,0.13767226741800384,0.0772381938487564,-0.0035167674817511265,-0.007706863607273532,
COL4A4,0.05916700128809335,0.036351940312046686,0.006477891312684956,0.01830106259630086,0.033069141742326946,0.015612212752622189,-0.01226430324184194,-0.021391131114582553,0.01765031405795855,,,0.01037634922874943,-0.037720764670051386,0.12400739968640871,0.03508831369657074,-0.034733268501419515,-0.003761827514910387,
TAC1,-0.015439736016581006,-0.034936793372162496,0.009990880428703051,0.03679283789973612,0.07919925630192858,-0.007093040344595476,0.012434968129947918,0.01379840890965097,-0.06523378093425888,,,,,,,-0.037338343933967545,-0.017676087894914518,-0.015211011403895032
RARRES2,-0.011291286700296053,0.00010623103652843336,-0.006042263287889876,0.08105506727176354,-0.08458801920275268,0.00963554521181534,0.059031655614944493,-0.03550890652201669,0.07545961201260828,0.07574346993073,-0.03061675318853216,0.09064333436584689,0.06027116230496554,-0.05760314089530253,0.02577912011971676,-0.03263203978484076,-0.0011836035105050706,0.006804461112301541
