,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,-0.01660307221009506,
BMP1,0.05073086541246504,0.05316808046520562,0.054810236912860834,-0.014311085755972326
NDP,0.0368763870147335,0.07321862415264502,0.05071067801377726,-0.009079564701963095
TNFSF18,,,0.15922660861142995,
RTN4,0.04569861193841273,0.035678971533557126,0.010107949151660054,0.04526081444788659
HEBP1,0.029999320925262585,0.07582302644143366,-0.0446825385568401,0.04953346235283903
WNT7B,-0.03595263106804175,0.07146748809383723,0.009238139226200159,0.021495294227579967
PTMA,-0.05989158545396221,0.00595839041465492,0.01613837676577595,0.08156950801330655
CEACAM1,0.0413539098405515,-0.015399749879281405,-0.02460318067026859,-0.01993216421848951
PDAP1,0.010655421954637008,-0.02550356134335542,0.004275408109964271,0.019852995344321972
QDPR,-0.031585641489696045,0.06074395692934764,0.037901729484772766,0.062023681914939
POMC,0.028986825888908545,0.026341291704316993,-0.0429326828067291,-0.03260640226010854
CCL18,0.010262306939385343,-0.026228710591565903,,-0.04478133844389967
CCL17,-0.018543141377260187,-0.022230505738322217,-0.021890191632227007,
VEGFD,,-0.015399749879281405,0.06708465640112038,
TNFSF13,0.04061700971584584,0.04352585918165352,0.021957671312520816,-0.022382484513184742
WNT5A,0.046973735136481086,0.05337497017245904,0.005596817832825334,0.003800557313557105
CXCL8,-0.005280916214404175,-0.0784286715757013,0.032824988551713216,-0.09598432761708366
GRN,0.03329517398929846,0.005038491572736645,-0.026434448256539338,-0.058397650753047224
MIA,-0.04613962066947461,0.024639139753991086,0.046875389033238075,-0.03961609131589252
COL4A4,-0.0097336275951508,0.05919775773544194,-0.018653514017758208,-0.04017020009384221
TAC1,,,,0.007851634978739882
RARRES2,-0.014830507391810108,-0.030453228612232645,-0.014747333300676742,-0.028437915540267453
FGF7,-0.002412471077975471,-0.017140659349677987,0.08865388194980342,-0.025268676910114588
EFNA2,,-0.014636431661607292,,
HBEGF,0.010638558776364833,0.06843205165759876,-0.016441243508987423,0.011168115705445262
CSF3,-0.0150231527205371,-0.04440436564726919,,-0.028575480114245193
PI3,0.0047441194022662505,-0.06779807608186328,-0.018599288001174025,-0.006666873371421811
PCSK1N,0.052229798712150124,-0.00209636385624117,0.0447505721453082,0.03294283196500489
NTS,0.010115302915297296,-0.017831714520283756,,0.028772969289266166
SFRP1,0.018770297315222135,-0.012347288826683614,-0.05109337211724701,0.04071904872386328
CXCL13,-0.041651697410000584,-0.03760516534701213,,0.004199421371548413
MICA,-0.0435021685791586,0.018532767597172924,-0.06570467433301537,0.021038176472901345
TG,-0.024639198839333944,0.05492433395662206,,0.10576582229597992
ADA,-0.004089457904000672,-0.0043002409614315,-0.023733466901580774,0.04652418265528453
LAMC3,0.020867640308964742,0.07871204690845279,0.09031029646962609,-0.013327783264805285
CCL7,0.08284916169691968,,,
NGF,-0.03209741349092661,0.21043596591706262,,0.059130092096716116
TNFSF15,-0.027093976590301837,,,0.0033047458722663386
HMGB1,0.028876856280871978,0.021279738115017873,0.003830767241408391,0.0055467930083301495
ITGB3BP,0.017904243318658336,0.005556374884641071,0.011663310673839961,-0.00897790470387574
AANAT,-0.02438133356642134,-0.019696672802906698,0.010745059060522474,
RELN,,,-0.033862039305342324,-0.004373195530952883
IL15,0.026911834405447303,-0.035709884590988054,-0.0013093077328629446,0.044390976856205
UTS2,0.06397993599447054,,,
BSG,-0.006789295940222512,0.0076305115892326735,0.047733704595581725,-0.0672819693848847
