,UKF248,UKF313,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,0.054964511351958775,0.04852387070899326,-0.039287545131458525,0.00016499021950404713,-0.011244902589577069,0.011102412868296715
NDP,0.009765279897529351,0.06404948491427095,0.031155650475576998,0.10125030446076781,0.027352762450547,0.012040195119626172
TNFSF18,-0.031803781316574624,,0.12247394645596896,,,
RTN4,-0.021284242331788005,-0.01527345113734154,-0.0763269620158526,-0.039476184751997656,-0.04424362038172176,0.08745102099507178
HEBP1,-0.011503151186556978,0.0765401637135895,-0.06539259359973747,0.017821984942886938,-0.041699669151361855,-0.0727460984201841
WNT7B,-0.03095432246121157,-0.012283655388231266,,-0.019496350234431904,0.06005153603711189,-0.03003122908160238
PTMA,0.020322898874292634,0.08811948038384693,-0.02760594775175881,0.00762726553617512,-0.035875065193168264,0.043309012879806576
CEACAM1,-0.020242235203203906,,0.17958141604743277,-0.022953375381052885,-0.01494733968587468,-0.01993216350665932
PDAP1,-0.04090627541314283,0.06247611634475021,0.01775531239169081,-0.05515112245484062,0.00424267454890779,0.07407523273160188
QDPR,0.019862652624183946,0.05529466085119571,-0.10284364980780543,0.019160511793919886,0.04749759818629316,-0.03561537807458415
POMC,-0.016715485776196633,0.006966023894375009,0.026675475283814414,-0.02401480291090658,0.04142985412930959,0.0016573770358288937
CCL18,-0.02526039696569759,-0.015978698196787596,,0.0114354391687337,-0.025451665291932667,-0.023078453766947084
CCL17,,,,-0.01628430885825987,-0.021577423222083784,
VEGFD,0.016150055708048987,-0.01699307612641988,-0.04399845513825948,,0.09294311213597661,
TNFSF13,0.016829042211783628,,,-0.031247142758284777,-0.023453921333775392,0.09379456233509498
WNT5A,-0.02511564572176676,0.03561514201898858,0.0012336644399029803,-0.008029656388522441,-0.026931614463233843,0.006993799849610493
CXCL8,-0.02604767458983262,-0.016206290787011298,0.0024419316104340475,-0.0664574898476988,-0.08602850662229641,-0.047819845235629536
GRN,0.011290059234357486,-0.06321128458024393,0.07238166271177016,-0.0006976395015967237,-0.001560748755814144,-0.051213082472791875
MIA,0.04181469327993108,0.04511348276320275,-0.017537577444061057,0.0981574815227367,0.07516109870873011,-0.02724832213611129
COL4A4,-0.030337531520988253,,-0.03445165688901498,0.0630539809804541,-0.007268334304987111,0.07772337973152711
TAC1,0.00696944210270747,,,,,-0.01276441388789548
RARRES2,-0.047055538428581435,-0.02407170541724085,-0.08356894317424544,-0.05040466961410157,-0.06695050840890511,-0.037428058049203704
FGF7,,0.062278314573451544,-0.0039027096052658724,-0.02909123049189783,0.05594332939853923,0.05289115662361318
EFNA2,,,,,-0.014206446049456489,
HBEGF,0.023543228618480037,0.053651457740744195,0.0770716327596869,-0.008902633006892448,-0.01373981070456447,-0.00021710722204021176
CSF3,,-0.02552914415023176,,-0.03603970506233943,-0.06713490620013142,-0.00201720100020107
PI3,-0.02657500263056178,,,-0.04903732532192734,-0.12376698138544662,-0.046124593199434794
PCSK1N,0.052914220829049285,0.07571428787306762,-0.05212174484639148,-0.035809907509443975,-0.014395916144723905,0.0889201964069214
NTS,,,,-0.01579434181432839,-0.017307858647419957,-0.03208029041764335
SFRP1,0.0233156476612149,-0.0010224456236734055,-0.05053000078991899,0.03252888113471744,0.011163549415725163,-0.03990478500152515
CXCL13,,0.04959826606012474,,-0.02446269407817389,-0.036500409733375656,-0.03092013613660084
MICA,0.05198855647857542,-0.021954318494809177,0.024615615237112056,0.014564075668830983,0.057609131326102056,-0.005013765908395465
TG,-0.004609196191641568,-0.015251802419369426,-0.01163783149927789,-0.02163777516207857,-0.021316519957548248,0.04210596365441405
ADA,-0.012225537630666016,0.03156270243846773,0.06064543432029066,-0.03186768264767687,0.1074521981172447,0.03477536465223796
LAMC3,0.06285877208194442,-0.0015932634858464322,0.04004781946853552,0.008586497379686439,0.07688784771116856,0.022613351060192848
CCL7,-0.016067746412068002,,,-0.024406425435213132,,
NGF,0.036159043640986745,0.041751547459236954,-0.0026965874120905174,-0.028187467495583225,-0.014015487513833207,-0.017785175051194185
TNFSF15,,-0.01625746078667379,0.07601364450336137,0.031196074286229274,,-0.01774488193676664
HMGB1,-0.008233800240885188,0.06596153613052282,-0.05271146875363782,0.012187233464854666,-0.038244868009845175,-0.03826528167797367
ITGB3BP,0.008631452482940023,0.09142575029181943,-0.009987914453704026,0.07302544783026348,-0.03234690192271606,-0.012459002823019713
AANAT,-0.007969185710520382,,,-0.021411321743938873,0.0020539767277296624,
RELN,-0.020826476500358383,,-0.06572662013107064,,,-0.021433894325449156
IL15,-0.02715989296965463,-0.038227548329465164,-0.00989038094237334,-0.039226418692803765,-0.01134912467680944,-0.025474067545453574
UTS2,,,,-0.018233307507964713,,
BSG,0.028953362784495784,-0.055148537180417484,-0.004488127338346846,0.05253950589198102,-0.06648703258781807,-0.01608248921176513
ADAMTS3,-0.008658386981366473,-0.03189640027804893,,0.010747324598325851,0.040456531983809975,0.025513953944275924
CD34,0.04596026542538927,0.026178272919724296,-0.0073028493079722815,0.10069634190177765,0.08561446796907188,-0.025036431355455677
PLAT,0.04700009535081511,0.012739928930084026,-0.002107155054770248,0.09272592780712795,0.08727394924333977,0.10099185359162101
NTF3,,0.05925701061050399,,0.06440210595266105,0.054355324087377234,0.01671034114646823
CKLF,0.029972051048112933,0.017117808795155183,0.11589993106311329,0.060612554727811956,0.04823705892910598,0.05873431095197063
APELA,,-0.016476364718911736,,,,
CD24,0.001614612491112182,0.07781854195697968,-0.0736118277373668,0.07482195494906453,0.017250176965002466,0.015944249781277432
HSP90AA1,0.02107819514249277,0.0013837624010501572,0.012174722258142914,-0.08543558363121806,-0.12642020430924578,-0.024872196322332275
BMP4,-0.027995369954379044,-0.02679033281262015,0.006285001416520817,-0.01729486017475784,0.061287653939526884,0.03157036914079041
SCGB3A1,-0.01606774480531483,-0.03403635899507837,-0.04720934935701858,-0.01393097859737195,0.0042318599592899705,0.02563416793834612
IGFBP4,0.02150595211539611,-0.004188390362982223,0.00920739840655002,0.015265080052197176,-0.013849210087767634,-0.012244461436414654
RSPO4,,,0.06652770167238096,,,0.09344868644468791
LEFTY2,0.05021842882712592,-0.018382146068231017,,-0.020718291385072963,-0.0163348605251364,0.04962400018079617
PF4,-0.016667705985199482,,,,-0.013021191362406398,
ANGPTL2,0.007380860200166275,-0.057292668099681705,0.06295304326715828,0.08182036493278641,0.014803074128331994,0.0050791225263362005
LRIG2,-0.03608302043194516,0.007978696855201006,-0.026558251305701604,-0.02669611715655767,0.0488783541211851,-0.025078317056533992
ICOSLG,0.043718619281835604,0.009587009886854727,0.06013957173887369,0.05524059926055431,0.027736351622231818,-0.018943986767822846
WIF1,-0.018384614994018205,,,,,-0.023070044487544718
NPPC,0.07146061187309968,,-0.06241436014186738,0.04895662354306776,-0.024636966998414393,0.05474727436878209
LYZ,-0.02883578252966602,0.05579788371844096,0.011809244609518045,0.0695444268515507,0.029771020916744773,-0.09152926452589062
EREG,,-0.02149505074763763,,0.01977574653344294,-0.0413753942265165,0.056782313349456374
SPTAN1,0.02923647880225085,0.017604015548133973,-0.03787863071412107,0.007870660202962452,0.045488357096101474,0.018819788720116592
PTH2,,,,,,0.036561276864385664
LIPC,0.09639900404636804,-0.026876799718957244,0.06749434554788418,,,
COL8A1,-0.013950343777590007,-0.057292731861813564,-0.04127540914519522,0.05646311592274316,0.013367801739876211,-0.05255231229092615
GSTM2,0.011459136498169938,0.022815758355388207,0.034024824994044564,0.05802946194563754,0.01454442554367067,0.061858133571719875
SPX,-0.01216023923747802,,,0.04972010749423647,0.15803394247265215,-0.0551377658766989
MFGE8,0.0218761463335283,0.022775988306460163,-0.01688110243815375,0.027009198035511932,0.02769229166921915,-0.01726645796009473
TGFA,0.04177025490081989,0.027591759803150432,0.03248935859370704,0.06335644477632822,0.02045129117286668,0.05972058184750975
