,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.003344672032272885,,,,,,,,,-0.022612170958270752,,0.06986335766992748,,
BMP1,0.07772111234557427,0.010540993038652876,0.03641644386461032,-0.017767532213822892,0.017104163325117102,0.02863533940575608,0.1272790388135281,0.08009967279715499,-0.010120481547900746,0.011167022707387245,0.09513380195127216,-0.005552784936452831,-0.05410161963418054,0.0861066859913388,0.03735074966663642,0.046067726881214216,0.03971536347647245,0.0009132426143254039,0.11111566434697565,0.014413116032172806
NDP,0.03135326322583763,0.05770432010780312,0.05306736893394397,-0.06314510494572835,0.05474186672033202,-0.05157861919905099,0.018221712691204157,0.015348491075954608,-0.018214179612910424,0.08752413794524104,0.09101770274268857,0.0424340858108631,-0.08778243904787278,-0.015317031298911274,0.03916715797664675,0.04196155503457836,0.05311944538475417,0.06909002166604454,0.007068702027274408,0.06392520068299715
TNFSF18,0.07992425149697137,0.014376526616239645,-0.03608789217992707,,,0.09828885287963436,-0.03165235463883743,0.039111789494029235,,,0.38872950746429485,,-0.03995678315923767,,,-0.023319532781008387,,0.08938092064560656,-0.04175048626900067,
IL36G,,,,,,,,,,-0.02225463266794527,,,,,,,,,,
RTN4,-0.014685453434519529,-0.05309935104188632,0.020469887135821735,-0.036254444625956846,0.03774906969332002,-0.0035605895980155185,-0.09866264810161846,0.016473439239829645,-0.018909834175880127,-0.07073347388200577,-0.07239790375258862,-0.084586040998931,-0.07126300558384539,-0.020133513365683416,-0.08367692194417006,-0.02147038268266118,-0.08047407530286464,0.033183845444117906,0.011051031050559426,-0.025120895729702962
HEBP1,0.09155258332644285,-0.06288024748237338,0.024279201865979837,0.021742265570061464,-0.0018773229760936077,0.07339271810500411,0.07497946668524509,-0.040057092972894004,0.019303703434678725,0.0054049200222469574,0.05387501570652506,-0.08090763772716983,-0.05154480426668454,0.012396761653716325,-0.02667380957601222,-0.03225283082461325,-0.016417728549303807,0.0402615122124778,0.04338712433073908,0.012053416415209647
WNT7B,-0.01698506134734137,-0.054938838238404175,-0.053406121964740816,0.017435141480475994,-0.05046289112957257,0.028612526422383558,-0.053187662814825155,-0.016818019381749514,0.06460523585454485,-0.024460405957085533,-0.025697293691626,-0.016871287787467933,,-0.047566925079920365,-0.018872262626355003,-0.003888668223197363,-0.030031230958467804,0.04095722798119584,0.06987521614617483,0.09479849118751685
PTMA,-0.008917656304258973,-0.03227861418436657,0.0031880517549111565,-0.04516796507928357,0.01040411551359162,0.04380359841052734,-0.012777390044225794,-0.0321383189012627,0.01936845318417059,0.013874692535058419,0.10144914879776089,0.02522709093605335,0.020261874399062445,-0.0779983972265527,-0.03263694093860503,-0.01984767189843314,0.059685394105120304,-0.0411638349153956,-0.028399176951781516,0.02302426717464649
FASLG,-0.0169850661489747,,,,,,,,,,,,,,,,,-0.013181458338189135,,
CEACAM1,-0.023583912995837508,,-0.022968954358683284,-0.007632618652858499,-0.023654893763153065,,0.07668500077299359,-0.04657341482572498,,,,-0.0616136410682427,-0.00027138323786632753,0.2106930210469594,-0.026137284282867927,0.040185673827824786,-0.019932164752362203,0.01925982861051518,,
PDAP1,-0.006020266776157209,0.021448453010298237,0.00543145739504642,-0.007961713345365906,-0.016489784766882436,-0.0010588345346439051,0.09614724197547866,-0.018683418110087214,0.005996801047349468,0.00384244213953971,0.10158403200115454,-0.01147746248618016,0.0778036782382738,0.06206047101691143,-0.03141321109861791,0.0009202233300433324,0.013772813382604422,0.0692121442372759,0.03951855816512738,-0.05427140894754566
QDPR,-0.004301475217134363,0.043797377747942214,0.009032344857342325,-0.03055227128290871,-0.014534652445204457,0.04074900337667379,-0.04551839540459808,-0.018028887784462214,-0.010833553359649691,-0.018432190206028883,-0.15372677892682102,0.06444490145297044,0.016311948665966997,-0.0710352052413092,0.06626123876669394,-0.008324468566818868,0.04039491317549004,0.08940671795305462,-0.017726386025272108,-0.098319801589362
POMC,0.07822463396634448,0.11839557985815531,0.07859691049522777,0.09783950037416678,0.06996489497321104,-0.012676261022859016,0.02104740795395994,0.051676384121040635,-0.002899644561643125,-0.0186759099495258,0.060711220584017,-0.08672228146708715,-0.012781084785425008,0.1214283130470222,0.04846179654816324,0.026983798483829965,-0.03260640313345413,0.01709367773698179,-0.029415051756778283,0.03391515440927842
CCL18,,-0.0369173834184813,-0.028663084840329082,,,,,,,,,0.03985166389235703,,-0.03024577661577091,0.03520782437319714,,0.03821490896627338,,,
CCL17,,,,-0.03148451795239798,,,,-0.021095520135670252,-0.017977261782861912,-0.020330238750975227,,,,,-0.018543138118574994,0.04119798866423179,,0.006477636931224896,,
VEGFD,,-0.012412198015376024,0.04309906301650753,0.006436256801504819,0.026808523461760315,,-0.024265369347008008,-0.008242239568064972,-0.013186538924406051,-0.021788546564751404,,-0.05951943674752008,-0.0563633989430463,,,0.034395475414665505,,,,
TNFSF13,,,-0.005678326245848389,-0.008454506978361675,,-0.01305660965820213,,,,,,,,,-0.03558149682746939,-0.000919164650071948,-0.022382485112687995,-0.015431639471679484,0.012870022132663741,
WNT5A,-0.046552629863831664,0.03809737084599717,0.05384871398522808,0.021443217037085127,-0.003117121999424842,0.02303897092717715,0.0609493181655338,0.00615594531734763,0.01123400448983557,0.02796073687939314,-0.004660907053860061,-0.09239214331186908,-0.11007911010041004,0.08986071773016202,-0.026918554406419486,-0.006444632309107837,-0.031145066426885033,-0.008306695422321186,0.003970975808188354,-0.06958777755479724
CXCL8,,-0.057453962705733316,-0.05044040541561614,-0.010525905010795358,-0.02260463829082194,-0.01857218039811518,0.014057791476675305,-0.006783228592756254,0.0556265415930983,-0.009335054644220606,,-0.16153592512379972,0.018455242194782243,-0.05325245172492644,-0.05662243491064109,0.042799917265654026,0.002475256945463257,-0.01213573900754563,-0.0397644906219744,-0.05811464876197414
GRN,-0.06273002900757595,-0.032306742562860466,0.04135823040442939,0.05077565112172595,-0.040985267891310906,0.04138966266181805,0.06568003479777983,-0.016072867307928503,0.002603505829479154,0.015065883222772858,0.06259617398644789,-0.11718190530964011,0.06754964972068246,0.02825483707808629,0.026498204005993963,0.032331201747956444,0.04789549974932339,-0.028253133833465546,-0.04049492152458872,-0.08904353931187767
MIA,-0.02223198659047734,0.017204797225244785,0.007634588260494982,0.007692694771271797,0.04193813407707106,-0.023608868375600764,0.09928444559747765,0.018597619923597698,-0.014996910967272355,-0.006405356875355702,-0.006010540204648312,-0.04859598235470596,0.016974463272554547,0.07795825531649368,0.1426729891298769,0.050908202373517536,0.0189745777079748,0.06387346511617788,0.027226499388829435,
COL4A4,-0.019670776219798874,0.028699409645870665,0.03939132588041359,-0.002281974727967586,-0.0357854551475007,-0.012422787243334956,-0.0210044960723992,-0.003039797913960583,-0.025193617760252487,0.029578422987842617,,,-0.053384659595587025,-0.0382401120341865,0.017737856559739414,0.036703483373898976,0.009514661591430716,0.03591534300541989,-0.050762133386750855,
TAC1,-0.016985056908099077,-0.0078035354345675325,0.02057159162228748,-0.0327117743330463,0.07705886037263049,-0.06903937865272375,-0.06022178423956345,-0.01609321611642416,0.0010954687123987644,0.02088400755336356,,,,,,,-0.01247500543237266,-0.03380281991848381,0.04344470495036219,0.0619292066527646
