,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.03914573439462343,,,,,,,,,,,0.013343408095738519,
BMP1,0.08009484847118072,0.0446974626115937,0.026804683900409604,0.025969250874442514,0.10806300452850871,-0.044813778361046566,-0.007018750710112146,0.007095501783496212,0.19277079470224834,0.0009123153088563562,-0.025719431042585825,0.018111123538943754,0.08119714583016426,0.08713147183572863,0.1258416159650792,0.08656198088674175,0.03174039839339082,0.01797443759391842,-0.08951435116840441,-0.003241706158955651,-0.03612562789648241
NDP,0.08038545639860468,-0.013263294875762126,-0.0024923742642883988,0.04305496015550793,0.01825006051562035,-0.03650152723214262,-0.05267028781535949,-0.05926228654005804,-0.013417225571451037,-0.032290481031642816,0.012297683083161313,0.025319001652624625,0.006324672438822157,0.005726649471055245,0.13231851428624106,0.04825032409506136,0.0890537947602428,0.05899960904474439,-0.008306810504460357,0.04180013693215655,0.01039576755733018
TNFSF18,-0.022885147542409265,0.07011682339902672,0.04859600706028235,0.041306156006617,,,,-0.00018935836953069444,0.09573675576615165,-0.022388189875993305,,,,,0.04305487014985879,,,,,-0.00948760008723897,0.04530071967515413
IL36G,,,,,,,,,,,,,-0.030898747371145313,,,,,,,,
RTN4,0.032763600204179316,-0.020452730501826367,0.05315981807441541,-0.017489865257952333,-0.006999079697776535,-0.034391868283847354,-0.07389404590471829,-0.1625102309478198,-0.20172945969493902,-0.007107329176381542,0.014292122293504439,-0.0426368112270335,-0.03440110260155859,-0.07989931502180626,0.002100857282257369,0.03534730935998048,0.04070058720958531,-0.0736599437330991,0.0933291868432284,-0.025872727318631765,0.0529920177615754
HEBP1,-0.023068650481956415,0.018289568002521822,0.032407431797426535,0.04587232099137266,-0.009395624917513284,0.024123112737795455,-0.04861906353301878,0.006950164452813142,0.05817752544239878,-0.04377809448498606,-0.04927026889066473,-0.04547827093474289,0.044707272229006924,-0.04311643662940428,-0.05011859122334342,0.010948839761690251,0.08073276883260601,0.06490445587011028,-0.02704337705516566,0.05309756654116207,0.0307867487885603
WNT7B,-0.02016109820210929,0.023188542667328574,0.01860249815455326,0.081094672718304,0.01318252773074886,0.013546929286127272,0.0614661331486991,-0.04619587084706548,-0.07008544392072809,-0.023838380517314114,-0.01108347965141775,-0.01562264185208727,-0.014040724110104347,0.025206486826515006,,0.0024109642042911142,0.05697459304235841,0.008083347394516948,-0.006348960305884419,-0.019769142286609625,0.06644434978670533
PTMA,-0.006533894844971715,-0.019279745368274967,0.015312844841213848,0.05731324878665456,0.015547454294674098,-0.00824173061529094,0.03798743709228809,0.18336890642070994,-0.08273898461174052,-0.009947347059360736,0.0018336737180226134,0.06722625818645721,0.10502775643685962,-0.08851747617847634,-0.0918087719241665,-0.07338005626429224,0.008750277906812081,-0.03922032368260934,0.051377925434045096,-0.06033499035698141,-0.015991849712051448
FASLG,-0.020161103901600107,,,,,,,,,,,,,,,,,,,0.049693262918776356,
CEACAM1,-0.01076959781232027,,0.03207201730720146,-0.032029466135998434,,0.032909378307113775,-0.027782366688425025,,0.11910081558618531,0.03804828606692852,,,,0.024505906564822804,-0.0541688802291948,0.009856707122125474,-0.019300578561602808,0.10155895302626956,-0.02857777683694658,0.05022731629610787,
PDAP1,-0.02982425917693629,-0.006667544818197604,0.034434303864721176,0.02935043975377408,-0.03165837043773059,-0.015237096893102252,-0.03881618948294465,0.1270349731131748,0.16353183605918695,0.010447594568799888,-0.002109630726373301,0.012444825770252176,0.05250697317155337,0.011603245165596857,-0.021698561701039138,-0.004318217434371723,-0.004345552129701892,-0.027831707486922506,0.011824349050827576,0.048802516695102875,0.048928347227516926
QDPR,-0.06257345128644488,0.05566311582782157,-0.07436095943925304,-0.046880912624426285,0.034163001889639846,0.02374169358797373,0.02141072920100506,-0.08999029014066166,-0.13382464199518138,0.008662796556511037,0.02156541150541752,0.04065307112226888,-0.027659693921297093,0.027834615802250762,-0.02833514743031819,-0.0765327235766648,0.033762916940107045,0.07918431378482128,0.028465836056828443,0.05153170662175615,0.02609977132177063
POMC,-0.03456662252660179,-0.005279059783587714,-0.008847078353670091,0.019800808127417094,,-0.014570449375810271,0.06599863054990562,-0.021859250537777375,-0.021969040629157926,-0.004501424482598706,0.013207183845641709,-0.002795273871204587,0.028031296456694856,-0.011753729759468355,0.10763189021086993,0.021065311377855625,0.10112791592279469,0.009818444357970744,-0.003955441803139412,0.01644452892091402,0.013472069907176403
CCL18,,0.05435114973273199,0.028698465273330788,,,,,,,,,0.06647291575463941,,-0.03505742315795637,,-0.023484272070384987,-0.035319822015369026,0.06637330723994446,-0.03785265271869592,,
CCL17,,,,,,-0.008261125465973804,,,,0.02432800665245533,-0.013718240799236869,,0.06843065679831813,,,,-0.013692826315195835,-0.03302703657667337,,0.1032581441949887,
VEGFD,,0.07254744425626716,0.048069903728151335,0.0363422417036674,,0.010492236576617187,-0.02658059546104328,,0.02294847501518586,0.025200445746480376,-0.01006249552676393,0.07097996913985699,-0.018190459914212326,-0.062406937523222863,0.013644132282880058,,,-0.022878836339646585,,,
TNFSF13,,,-0.018531831607646446,,,0.000435265915403727,,0.02150700785898062,,,,,,,,,-0.026274477004794655,0.011148070344891375,0.016284534691947735,0.013008653740562655,0.010338558109009788
WNT5A,-0.008598172704757786,0.00038212824169374924,0.028448991580155143,0.008234928393111626,0.0442755350765005,0.016345234600259016,-0.034869597241529666,0.046152734888153864,0.12985533220114165,-0.028919580989487034,-0.017651719252887877,0.03278118996897601,-0.014005028285088381,0.10485162904831279,-0.02086971174482158,0.13420989259558996,0.08832781239777955,0.02508424087622111,-0.054206850290874305,-0.0387201565799588,0.02818584337744913
CXCL8,,0.01709318050948136,0.07665106118319519,0.035645573473218714,-0.04769581527299089,-0.01072151064843349,-0.030602105625436152,0.03063124665452727,0.10670347680541042,-0.009530008151798821,-0.009370633366373941,0.07245442503295552,0.07993837199010434,-0.005370528218692918,0.09292910227057519,-0.041347758419637434,-0.08954529543650108,-0.09376612650077068,-0.06473040454961443,0.047920897530977426,0.03799167631278937
GRN,-0.05242086823506696,-0.023086764568928834,0.03552527762392666,0.00848923951720922,0.052363350773077307,-0.021880577246447538,-0.03478504246860231,-0.02877828813430186,0.07731464616825648,-0.0005325531916122517,-0.05356283185273891,0.035819450137517354,0.034398528409021946,0.09394456437656029,0.08572264840581004,0.06341308870574829,0.09608530748681987,-0.08433058568592808,-0.05565188178908102,-0.07398651456645816,0.03676237863568791
MIA,-0.026389146068568632,0.0804485215648067,0.017815634089939768,0.04904068182135233,-0.03683019176553345,0.011085398671308002,-0.006288483112004909,0.05628558966332013,0.06056905735897323,-0.015579082801561213,-0.01144396951986794,0.0504297520778494,-0.024148369086730914,-0.03455169042704203,0.02249639825157132,0.05894723009966905,0.00797153479013428,0.11392567136088241,-0.05559134647721187,-0.01276053934280733,-0.016805791946733584
COL4A4,-0.003325887917738851,0.04923559354439863,0.014883015848968817,0.04982491772992636,0.08451830936254455,-0.012992557527541424,0.06654025646932288,0.08872523549164182,-0.03267416316296034,-0.019531636479446033,0.039805868121611084,,-0.0052971434305465895,,0.02776231858130339,-0.029691457634603357,0.0021029095584448013,-0.0366325942897475,0.024674717300696928,-0.02310068036703701,0.033404777307553764
TAC1,-0.020161092932773024,0.043695822673491015,0.051607037414634876,0.021714615074102477,0.03599618086333317,0.06318610803133169,-0.02519979704342914,-0.10365504509408056,-0.0805649069186796,-0.020877208212869872,-0.004669199532220315,,-0.07122437132457,,,,,,9.956417366533897e-05,-0.042142934674877244,-0.001963127335197499
RARRES2,0.054910806472103085,-0.010428272625528158,-0.021989262209819217,0.02777923609220018,-0.012424730880993023,0.02435324883641931,0.015972511810492165,0.007593286414510384,0.16072919653131124,0.040542626331134965,0.06420763880469826,-0.013526231435963739,0.01577414110285931,-0.011723064779185314,-0.04256344942358112,0.016995375795537896,0.004973782990404949,-0.04416625789937536,-0.02655168396482688,0.09541030383414986,0.07245094038072063
