,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.013038941537356668,,,,,,,0.009826517323575439,
BMP1,-0.0036068184273791355,0.038483513240680084,0.03549205596333862,0.06739637162462798,0.001971694691510378,0.021273787582832555,0.11434502287623602,0.09684288388245818,0.014001758076678172,0.01031371896606754,0.011239609162425217,-0.0024055013010582057,-0.009224567393426255,-0.07289438566757717,0.05144015984517938,0.03144122919997234
NDP,0.04650422147115723,0.0020582871089544616,-0.03924231321615564,0.04286144697917259,-0.05613777396397293,0.04279755843516498,0.013274162391334679,-0.0012600675326960296,0.13528506541085172,0.005731990545002101,0.051873242579046054,-0.003451980351406873,-0.03158647583594142,0.0316528538500209,0.037776721043011816,-0.057203394155921905
TNFSF18,0.002040625095310857,0.05098371986899547,-0.029989517729713408,,,,0.06811826725492212,-0.019362436743223067,-0.027396194824461307,,,,,-0.03264734495537067,-0.03121293957874615,0.049242537476984406
RTN4,0.0386497731937104,-0.012415299758660783,0.00378171501546447,0.07331510402594643,0.003016960391827451,0.02614989259043624,-0.14542989117743463,-0.13732257014971141,0.001064086990247977,0.02830133809280488,0.04221781971137782,-0.0014164760435754463,-0.027964235955411327,0.01905981095869827,-0.022663760291018156,0.010503276222364417
HEBP1,0.01523084889233532,0.027810622968996935,-0.05870845236947673,-0.05313783122683161,0.006521154197106438,0.011268633858711715,0.050642023365507015,0.042698833122129944,-0.02025656685589443,-0.0029515844909033906,0.030848740587749925,0.017282559459977857,-0.023932562117256643,-0.024063810305210723,0.03339204040934202,-0.02907222093756506
WNT7B,-0.026111434901062217,-0.04026877309158704,-0.018628558775940485,0.03584991363628827,-0.03395068967898692,0.0805354745518587,-0.02186679337634889,-0.03913472984332819,0.09730032056251794,-0.03887548773302537,0.03694952778374806,-0.0005646532408218153,-0.028773493657111477,-0.032647311102526416,0.03294594019266236,0.002409999049721877
PTMA,0.0038593714638871144,0.07874545620662846,0.055475291724685565,0.09530699769215471,-0.018472818699326845,-0.048307147604817954,0.17895279763869387,-0.04346343912382623,-0.06775438763507735,0.028868797534922292,-0.02303432698972791,-0.006456548739338275,-0.013920481962819706,-0.07392151383070024,-0.0766680491581878,0.03518277147928062
FASLG,-0.026111442282697975,,,,,,,,,,,,,,0.01756412506513729,
CEACAM1,0.0789300945538469,-0.023129598323853754,-0.014296298428170198,,0.052028377649767074,0.0005781481207760288,,0.005506417257526529,,0.049031659140598344,-0.010709835855320874,0.030987924380842982,-0.019097386213297454,,-0.0011234436458878437,
