,UKF243,UKF248,UKF251,UKF260,UKF296,UKF304,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.015090848817213193,-0.034309989095396204,
BMP1,-0.012674737318560022,0.03295420921307556,0.033161845220295014,0.024339215199125658,-0.02178545870135438,0.022144370284048292,-0.08573179683920364,0.09327690499470247,-0.048872864067498044
NDP,0.018100877582673223,-0.010737430017224301,-0.015646643879682468,0.044545586013939736,0.026808102201862784,-0.0021901326052264723,0.0033060257543990365,-0.000991512280039052,-0.06600400855053247
TNFSF18,0.08751834376920117,-0.02446914214989032,-0.024471922839161366,,,,-0.015562926016067805,0.027671239311492877,-0.018902861778657798
RTN4,0.01234259784738391,-0.03601707489993183,-0.01605799990584147,0.0398200319468466,-0.06870652301159932,-0.07312580384081298,0.036574706267076325,-0.03300673478175947,0.060465141413962496
HEBP1,0.03094583738102475,0.0822812051836363,-0.02085882501380418,-0.007136085298401724,0.037361714298927456,0.06042515258933024,-0.021247529135997752,-0.052020489367956745,0.020390919420197738
WNT7B,0.07681126077143408,0.06520511595957079,-0.021509832945529734,-0.0341128187755563,-0.012332309450216057,,-0.015407176882709877,0.1042297269599473,-0.008583372039308295
PTMA,-0.0391958646582179,-0.027206961757319768,0.04055974576967375,-0.02239997306532072,-0.016951125772992383,0.1465508712746324,0.044816941640300985,0.015875078444892762,-0.0020656749326911114
FASLG,,,,,,,,0.024448618493720178,
CEACAM1,,0.028755791635386312,-0.016507503056357894,0.07133020772711159,,,-0.02236229989362188,-0.0005742872384970738,
PDAP1,0.02650911387132616,0.02705495432347612,-0.019395655553291986,0.0509747052125276,-0.009017165539254727,0.04354570907933835,-0.13236321216690414,0.0008892589440754432,0.06324334839665631
QDPR,-0.018576671398352004,-0.043480310810510535,0.03340773551713607,-0.06719318093946343,-0.033370575900007006,0.022086131826712596,0.03827190564477093,0.015192868382413108,0.03951046092209194
POMC,-0.026364950706211338,0.009469681954969994,0.014196393026454026,0.026548437097309467,0.0031882522701021953,0.007546719818050694,-0.012094282038719453,0.011847336355177462,0.024017818403873892
CCL18,0.04875408821732426,-0.019434803615448956,,,,0.029692197912745598,,,
CCL17,,,,,-0.015263942008241774,,-0.01989641244232544,0.09354947851290328,
VEGFD,0.005052148090607314,-0.019434809786909372,-0.010108964782068557,-0.007928542412080328,-0.011196286056391513,-0.021333582917089613,-0.020984574112506385,,
TNFSF13,,-0.0146661311245896,,,,,0.0018393472801991055,-0.024793824352548968,0.04333437655076481
WNT5A,0.0667938061614237,0.005708903549036093,0.019423187782129994,-0.07897534960275203,-0.017131008265615623,-0.06340027618753773,0.01644750707519125,0.06898195837609321,-0.019914371495443627
CXCL8,0.06849242512242498,0.017192042479175093,0.0847452481383178,0.10386321008059621,-0.010426468406414329,0.21266778967740996,0.027555549691965303,0.0014252183803785546,0.015136881402793964
GRN,-0.04046240776734114,0.06079255425555462,-0.0036966493855479,0.03632568211110607,0.04890719620087454,0.1575473225475186,0.003094777169898424,0.09720668522734319,0.06332765550755311
MIA,0.006130887704569675,0.01356183168516735,-0.021027041070659832,0.05517212527286077,0.10050988398787736,,-0.02182403256624118,-0.01632612407897952,-0.03230702640377796
COL4A4,0.07316075910830343,-0.023341041238922458,0.002037922456266861,0.012037728016145941,-0.021391128699972933,,-0.030648815040387162,0.09873461292046574,-0.021568668312429345
TAC1,-0.0410439783527644,0.02563336604260666,0.027952741103600093,-0.011877004318523073,-0.03357542195069348,-0.08255712187190707,,-0.035456669066676626,0.0588436339021139
RARRES2,-0.025599237886727192,-0.04459764373867028,0.0015317421917521578,0.07242601148703445,0.021812807844030318,0.045722339464610365,0.010351947898764455,-0.03710380666044046,0.07305679813574159
FGF7,0.04194201553734988,,0.021161289525098808,-0.021933357417937595,-0.006560170910379473,0.016504812395206205,-0.005103911504248396,0.08390333094546373,-0.038887750211267454
HBEGF,0.011162230068999754,0.03032497614986537,-0.025292087690958177,0.08731030270791293,-0.007671942188628613,0.12748600302716423,-0.017410529349837004,0.0006445646477010766,-0.0844274726992979
CSF3,-0.03277165729992571,,,0.09018279479736296,,,,-0.01331305693355147,0.07451107061240562
PI3,0.14833943673049357,0.07791507287306372,,0.06956360340987794,,,-0.01690524740131318,-0.061696682885503173,0.13006466726696606
PCSK1N,-0.08290921299045168,-0.04226321569347789,-0.06263914121926006,-0.028883933023182075,-0.06276512641753677,-0.10563350987185491,-0.024865879965102852,0.007985682490940494,0.009979644450586292
NTS,,,,0.05162127054879096,-0.011934084178445176,0.0325370892814281,,-0.02287575337185261,
SFRP1,-0.05059988335624393,-0.02898283004729147,0.055380378344636556,0.04039909732242473,-0.015263942161962208,0.07280862981801216,-0.048456446635970214,0.04411092368039609,0.014266969288675638
