,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.019781367991192872,,,,,,,,,,-0.01887240253692048,,-0.029529223674632114,,
BMP1,0.004992289493320497,0.09505925567004979,0.07510067744386664,-0.03544884707955121,0.043504743497580385,-0.009960381214582996,-0.0005363900143313683,0.040979574977396536,0.10122272430745652,0.05540789166053572,-0.05052353949700094,0.020646102506007506,0.0678523602595143,0.043197726162868495,-0.03666335186648167,0.07509093059199459,0.10682181456088623,0.047655013957061995,0.05817661714322326,0.033283161115298776,0.12733240628774203,0.008912172834807209,0.019610166504974408
NDP,-0.008667333989994088,0.03352701438380841,-0.0023540602592791045,-0.005354801990562182,-0.004592302871358787,-0.03094408035841516,0.022328976297181845,0.012187390989700064,0.01827708970854451,-0.028558278830386374,0.012347274268342102,0.028211492292572724,0.05300592527718741,0.030135876845358026,-0.0669092721311367,0.058785834113792707,0.06406175112119787,0.08186381986472786,-0.01575889700575128,0.02303241083928479,-0.05869231226541823,-0.014508743848533897,0.04448314024897656
TNFSF18,0.010645659944379446,0.08743632393614707,0.018367170058164285,0.04619886437322996,,,,-0.024771320514873667,0.03861579583901155,-0.013506325325882383,,,,-0.0252577245950281,0.019577741496266142,,,,0.16199869350892873,,0.1165263335426631,-0.01128621959440699,
IL36G,,,,,,,,,,,,,-0.032877377462798084,,,,,,,,,,
RTN4,-0.03511658550019829,-0.11326733046195128,0.004690281504241957,-0.02017824470229568,0.030706741405058344,-0.04445111271472297,-0.02016850010321774,-0.1297157298508057,-0.0690549382926258,-0.05154334109447864,-0.01269760991000477,-0.07791868191470419,-0.08145161240259098,-0.06662716785167544,-0.014988320057747624,-0.09280852383199727,-0.03725940685586093,-0.0941272567021635,-0.029617135834562113,-0.0364991985655518,-0.047837783170449795,0.0947994366732636,0.0024116676914715746
HEBP1,-0.04257455105241831,0.023792774083956383,0.06370586900926309,0.01842588377265051,-0.0533528083330729,-0.026479369008588764,0.04796448059767184,0.03047676560970308,0.022401921910015426,-0.02501603244817765,0.005217359459658886,-0.006665017473965677,0.026366684853181502,0.07684796376007777,-0.0057356409407491316,-0.030516732828824986,-0.050328927203520744,0.04923486556755878,-0.01993108067135677,0.026344074954782973,0.025738959378413386,0.027567696495547103,-0.011642241296025544
WNT7B,-0.024836606506256655,-0.05064085309625323,0.019318923671377445,0.03753983102175959,0.05203768972993242,0.033791171951957404,-0.016786197026129067,-0.016110120854862773,0.029601771708555786,-0.02354029236307132,-0.002085794378712916,0.023247834741594094,-0.0068707488158123355,0.02513223516840997,,0.12281098640226394,0.00567134838963274,-0.005231261109815597,0.1174040592323546,0.03070180935186732,-0.014970875476602917,0.015556262075272538,0.025714034866525366
PTMA,-0.020305819512499674,-0.11528438764693553,-0.03672274740145889,-0.009639744637213284,0.09251104300905716,0.00534277980067722,-0.005570386761754961,0.12796009796775992,-0.06593088261792095,-0.04842218595762058,0.01652918907125125,0.1763980836186965,0.11224324496794903,0.06993838890867117,-0.06753338008772548,-0.06566925917157793,-0.12715869918057432,-0.02908981527028878,-0.08894002653536535,0.0024018357512258386,0.09280524258994828,0.016919760243658804,0.026957503729986985
FASLG,-0.012600360205409058,,,,,,,,,,,,,,,,,,,,0.031146725644620378,,
CEACAM1,0.04548204049611227,,0.006686971234234485,-0.01676484950727073,,0.011604006638078104,-0.024474364625881453,,0.033338590793890115,-0.021242232071199903,,,,,0.02979665155032723,-0.01264099589135526,-0.009565986969419633,-0.04015977128566639,0.047519779635941964,-0.0056118486306503705,-0.029872252300143034,,
PDAP1,0.06297841800203986,0.02956176737527272,0.06992703191300631,-0.01297830556780718,0.05976698677746007,0.043032431175519026,0.02699013862903813,0.06727472550729942,0.04148086663476883,0.007236634706775749,-0.015364042008581122,0.10065723160626482,0.009078707135206828,0.001287865558628928,0.098218715228458,-0.007384894856347883,0.008601191659487719,0.04683878205784619,0.0403660226568535,0.02780273807307158,-0.05647513550586797,-0.042240342404180134,-0.06911014296816963
QDPR,-0.10734766451022597,0.051159503379467404,0.021181775080234208,0.011646875605940413,0.08092240118382939,-0.036466666671844894,0.005676837523979611,-0.043666018645370494,-0.13767228412795987,0.007034064202501704,0.006376170908306704,0.09354905985953986,-0.06353268719519299,-0.059065604753013236,0.007061630817735524,-0.1563116973701002,0.033164238216294675,0.044533564112804284,-0.07933206302156819,0.02822533706353821,0.05225371637952742,0.002858266147146548,-0.007519476535939528
