,MGH258,UKF248,UKF259,UKF269,UKF275,UKF313,ZH8812bulk
IGFL3,,,,-0.013794951823095663,,,0.052758366561714544
BMP1,0.025574679835083082,0.04361475437154116,0.0007457568995726053,0.07934316562438178,-0.017415487689136887,0.036565271796303166,0.014968426235551899
NDP,0.013420272112429011,0.10726497083914432,0.02329640228131779,0.019939031328336413,-0.004479349562056059,-0.03428644311466936,0.004614915159150556
TNFSF18,-0.021153801188259044,-0.03123043537997311,,0.05515361721083564,0.09605882035753571,,-0.01556293949963958
RTN4,-0.03637853031217556,0.07983682031824264,-0.03652888788625346,-0.07259629392925634,0.012388895870303365,-0.057529864236786785,-0.07265109042709772
HEBP1,0.07903398530782847,0.04268737961941078,0.01376808227629478,0.040404526126622035,-0.008101450557801348,0.024831744634089607,0.06497372200922513
WNT7B,-0.018635836291378705,-0.001993822379992379,0.02584132099340242,-0.057096879542004916,-0.005548815320715781,0.07817122366150543,-0.032543365502792035
PTMA,-0.008462326103161666,-0.04023081429036628,0.01342017918979416,-0.042511982870131325,0.016837154498728336,0.1509538215055087,-0.010539595067099358
FASLG,-0.01863584155968188,,,,,,
CEACAM1,-0.007242894795709843,-0.019877316227502086,0.016093810185806252,-0.026957210803639903,-0.01985153968813039,,-0.00040593669396814193
PDAP1,0.0032171102063142387,0.015237938366934522,0.04891030575957599,0.08797816646986006,-0.07156588266405702,0.06742722211827692,0.0395936485322352
QDPR,-0.09026839467742515,0.003294944587411232,-0.0360227418846826,-0.07719410867939082,0.039769128120469836,0.08247005637722846,-0.01168236724657124
POMC,-0.05279797762180907,0.036124272914522366,-0.03322230048230481,0.031325623649485566,-0.014645674462481979,-0.005272906075098792,0.11326302649704864
CCL18,,-0.02480501256303614,,,,0.15800146170527585,
CCL17,,,-0.0064340626551092515,,0.018786837910093276,,0.02948951192107038
VEGFD,,0.03098746051750587,0.07947100858203653,-0.02311024471349553,0.04773114958387347,-0.015037429264765274,-0.020984592293342746
TNFSF13,,-0.018718664412301883,-0.014263120644996423,,,,0.024967921739901505
WNT5A,0.03177297124757576,0.03485114921750295,-0.015618106855550548,0.03241760688695251,-0.03950032507375528,0.0288958710721937,0.05840085633768904
CXCL8,,-0.02693348618562311,0.03587472090841969,0.03672308852714955,0.002943795963317239,-0.05182459858206896,-0.02824859303053984
GRN,-0.09463337893822489,0.07844837046069045,-0.028294650111536115,-0.0025674738369029382,-0.020449373113988988,0.0188699762407556,0.015081581708532167
MIA,0.03339644334873023,-0.007083564243810217,0.050928402780816416,0.04618369336308809,-0.030941508203853517,-0.020393455601087587,0.09313498687165454
COL4A4,-0.021582575291310156,0.015490487412095327,0.04257211520346925,-0.01359390108905614,0.066874547445964,,-0.030648841594230376
TAC1,-0.018635831420687282,0.027098043861060087,0.007257870956053639,-0.06010223872578063,-0.01648409947177838,,
