,MGH258,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.03893238444784178,,,,,-0.01004440660828827,
BMP1,0.029445540476583574,0.06535860739615793,0.08491437349070481,-0.027587823962998505,-0.01148849489112295,-0.037968352591850184,0.18878143681728898,0.09050784713956668,0.015934837550748458,0.09256108241386453,0.14408809284034968,0.013851009006242213,0.11581655512785502
NDP,0.008794135137261763,-0.009691343328969084,-0.024519640018702646,0.022936479599569962,0.04860008360873892,0.0062643356892650446,0.02605719008855181,-0.02004749541798885,0.01697768261946661,0.11802644272234775,0.06525255311414094,0.12364389522053568,0.061908700793153984
TNFSF18,-0.03766337744634801,-0.024578340068607072,0.03043501886229131,-0.03899844479970803,,-0.0116385076924608,0.017471863903708227,0.02828990778873189,,-0.007194318755511556,,0.06222944466861091,-0.0024304162382365858
RTN4,-0.09831345092900622,0.02367398599107901,-0.0006964403098034738,-0.04414806031114067,-0.009910553177190617,0.030340303018055865,-0.24715613254069657,-0.06508884379775681,0.0158473655421532,0.039024532229457655,-0.01592915119491406,0.045678508882681886,-0.10626069939633866
HEBP1,-0.0854002994134872,-0.03315031882542591,-0.004649286087232418,0.05164387812794229,0.03190186735114361,0.014686391844120392,0.10377490431554007,-0.03540423310089674,0.005266779935400897,0.0959388493761801,0.020277995729933777,0.04351268077398733,0.04847604442027714
WNT7B,-0.03318025588044736,0.043243786686740886,0.05151786110552175,-0.024224625006284622,0.004666404186131311,0.00882050109915748,-0.04957032989782502,0.03185156941579341,-0.018583737115218272,0.06420923726210757,-0.0032477993188506304,0.0018942437977862649,0.036315779689803214
PTMA,-0.07956243491659853,-0.03592078877374321,0.07295709522955351,0.0014386113100158416,-0.0014875296536767675,-0.007998018639827905,-0.11809915963795332,-0.12032689643436915,0.011984473799129978,0.05848395924616298,-0.06053180278205724,-0.10770723111620516,0.011245799382710267
FASLG,-0.03318026526042069,,,,,,,,,,,0.03620932899430979,
CEACAM1,-0.005586021082660251,,-0.02783100790368147,0.052122442999055024,-0.029306478172612206,,0.003639029609791478,-0.003930241791151339,,,0.09315152483232696,-0.023994839218436096,
