,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.039939389350660756,,,,,,,,,,,-0.0010350683457801802,,,0.020056093689900686,
BMP1,0.12783047538812448,0.023781357565109934,-0.03374366518074321,0.053038917280743066,-0.02234142989552298,-0.056937069527249015,-0.00928845376070399,0.12378910159515566,0.12148887089486088,-0.038310257841266133,-0.053699197468000635,-0.15084519916793238,0.07534469101323923,0.050752785001893126,0.11905411727011964,0.1019215339683975,-0.07481348245975135,-0.059267463020257496,0.259731023766019,-0.11751425698440897,0.09485476029976943,-0.02350940201019383,-0.0560952309045011
NDP,0.2470839677222075,0.027966782727448486,-0.03475420526927757,0.026521081877923496,0.08339551261976637,0.20709088717070373,0.020904912848492857,0.07047342801065314,0.11359324151970288,0.03466076595435808,-0.043485833623365305,0.12867482902530214,0.1108825461501542,0.06206642767856904,0.10037208365294066,-0.054148315897967106,-0.05869518512696081,0.09513960397022389,0.184049107372584,0.14164044582766158,0.07099790443810959,0.2882728891971682,0.2732151086449021
TNFSF18,0.012625353783553835,-0.03282411913360883,-0.02528979954525549,,,,0.03275326288455384,0.011828856643600328,0.09528760625430893,,,,,0.10370633254291453,,0.18426716703678755,,,0.07285345799169532,,0.0714001707330558,0.05699003475774496,0.033289460906867095
IL36G,,,,,,,,,,,,,0.02547460876852383,,,,,,,,,,
RTN4,0.007490066631506375,0.07203578379117409,0.04229427281608561,-0.023389170478599487,0.037941406105914385,0.19726325411043563,0.028757799672537835,-0.16938212429860902,0.038234705866125616,0.08576664789265234,0.10183260438358077,-0.03146081195428111,0.012395433472587272,0.08609334417107736,-0.10597537091672117,0.017165755576937045,0.026236627755547498,0.0010924132892205255,-0.3221329430958568,0.17911438262668833,-0.147166442301242,-0.0882270130796449,0.070413523970142
HEBP1,-0.06259868951692305,0.011587386385531754,-0.05579120979373404,-0.06457058593520908,0.004929785698744101,-0.0026349744979568216,-0.010189250544064445,0.005465579066755307,-0.041935676844677375,-0.03129141706424518,-0.07829171297078934,-0.08021243062411824,-0.009244141850192542,0.06547910731324474,0.08677155923934673,0.06642277619901457,0.07834348690858121,0.0696911105817636,0.007991876455378542,0.11921439036588631,0.1198548310298641,0.1535223212007366,0.022606834308810556
WNT7B,0.19513420851893049,-0.009291716173063177,-0.015709239525174813,0.048516633156550644,-0.07116701467274623,0.03853134871170261,0.04517473986735397,-0.1063735600644085,-0.014628869245583888,-0.0006027141465377671,,-0.09815269772186803,0.07598999641364684,0.00710946444214352,-0.07173417170554022,,0.04128223560330015,0.08703989209117799,0.05415459676091148,0.06692467937253428,0.01536467081930849,-0.025984819620220746,0.1459561276678844
PTMA,-0.2732390666926746,0.07024084359920639,-0.011920673852907486,0.030355408470889626,-0.028713535052449547,-0.16093551802427958,-0.035400804975477346,-0.06221050750613769,-0.15786378481953187,-0.007964445771248399,-0.12785817678143563,-0.06429324001434875,-0.03821466548279001,0.05559180492783171,-0.12198570283663887,-0.010998084737004627,-0.024336452673399536,-0.10943915822776953,-0.2710853769633617,-0.10418162723039422,-0.11526465371877362,-0.20491573406790595,-0.24227001916459637
FASLG,,,,,,,,,,,,,,,,,,,,,,-0.046834729228236935,
