,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.012238780919719815,,,,,,,,-0.02548761375718824,
BMP1,0.004783094417130176,-0.04604977253268502,-0.007828655604560255,0.018032342684006206,0.027630658196999534,-0.005703009932077361,0.07062198207201949,0.08608557978908074,-0.007789014950834689,0.04237776547148725,0.01918809051575404,0.06691340205079269,0.018888727362596943,0.02081799580273387,0.03838426436128552,0.001982624660531724,0.003571713988161103
NDP,0.002270368286955826,-0.06150399942142041,-0.0012052928353212587,-0.024165033052861398,-0.08295132191992535,-0.006386142253108689,-0.004605459379959611,-0.011026139160836543,0.01162201880268179,0.010438566182966808,-0.0007106519265736936,-0.05076315292865256,0.008663008196459125,0.03183761303607434,0.052035706922731136,0.07199085166620364,0.0024999980781413534
TNFSF18,-0.02115380653898456,-0.024469140474004458,0.14375904143073162,,,,0.018440999017006177,-0.01817422224751234,,,,,-0.05914447958978869,,,-0.01350623280359672,-0.026996759745392743
IL36G,,,,,,,,,,,0.018189775926394185,,,,,,
RTN4,-0.004359319995436745,0.0454870191207229,-0.02160537498129696,0.04353181396295357,-0.0649352427219437,-0.03533833063981159,-0.11132099044608905,-0.06749739644487579,-0.015289176788509534,-0.006770363479709937,-0.06608894914785583,-0.0492866167163304,0.013913029737598915,0.013109781031521509,-0.09024039576300509,-0.06537016991125526,0.02013104279983613
HEBP1,0.08508955426507915,0.014523210228866431,0.026388440329755194,0.0058087989472900385,0.016924202059632482,-0.012857432611709387,0.050560946885545154,0.02421765965042387,-0.012860718192826994,0.024892319530675673,0.002694704139095405,-0.07720524381247754,-0.04203060021992556,0.06224099329145325,0.05659914132100878,0.025724531536663656,-0.04324633607769254
WNT7B,-0.018635841005200295,0.006238373727884212,-0.01570923746084031,0.02267823042410212,-0.04139678017659984,0.0323197889612438,0.0038360168128408374,-0.02990923644162406,,0.008945831613323242,0.030986293240448697,-0.05640694182480174,,0.003979672311081642,0.01316228426547999,-0.03144194970428195,-0.050405098420238326
PTMA,-0.08336950812070759,-0.08850372646213572,0.028175663400721793,0.042945750228384566,-0.019474070408124794,0.002530932481809212,0.12940848460648707,0.03200598195040175,-0.030541879955888238,-0.009928529730131256,0.008188055536533413,-0.05692393411331892,-0.08489973753382049,-0.016281345155027882,-0.09443904074728421,-0.09400152031123478,-0.04826881992789393
FASLG,-0.018635846273504803,,,,,,,,,,,,,,,-0.02210539871638428,
CEACAM1,-0.025876035645858858,-0.015573937317852907,-0.012055894904184574,,0.0011067447969799085,0.03639731545019131,,0.04191111687294186,,,,0.11697398161749072,0.05133053275359585,0.05009737668456621,-0.005178452962786852,-0.030756415621746972,
PDAP1,0.08707774774594362,-0.05564921121417948,0.07242817714280828,0.04344561614818987,-0.04183843140607606,-0.03291771380724139,0.035545034872874345,0.04771261062204147,0.036573270592166765,0.06488798807302036,0.03126865171830713,0.027059206746086178,-0.02109809154804033,-0.05749745361973635,-0.02224421653409797,0.046401521317738954,-0.011968135663105142
QDPR,-0.03811535299864301,-0.009632694817204373,0.03234659122586891,-0.003446396017673795,-0.005440585317935109,0.029697109234199638,-0.061405287365977834,-0.031263550930704515,0.03111097594500359,0.0760440243803851,-0.02882735620913256,0.08917811201336638,0.035817101910604346,0.047056916828955964,0.06313785270458112,0.021988854335491637,0.01860022265964959
POMC,-0.022359670051187466,0.01139342579461717,0.08653566289140448,,0.00941344779372535,-0.040736583686617596,-0.020894035362407637,0.006450854647852914,-0.047934858606426364,-0.005842890074727001,-0.0046753634508959006,-0.021053485874551203,0.11146179625008792,0.017236662711880308,0.058374116676515,0.08338192579820954,-0.03373619250729961
