,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.017405938381909986,,,,,,,-0.018219038584259176,,0.051287596754158775,
BMP1,0.10034527394287687,-0.05767754596774899,0.05188112528143886,0.01771488060713908,-0.062016723080197886,0.1394519328747143,0.00902198000842897,-0.008963554016586599,0.037762351419401936,0.030895989259699195,-0.027368523347412434,0.042917309942730165,0.02062907501669514,0.05621365717359425,0.006564843756664091,0.00619769173664247
NDP,0.05317978090839112,-0.03810090521051215,-0.023454959780813456,-0.011255682475250625,0.03483555393443683,0.04769698527435486,0.02130019196876462,-0.014684483689485345,-0.0035526684472201838,-0.00046124300554630757,0.1390384186637171,0.024517951648342678,-0.023771136050080965,0.007445940781081436,0.08272907564919241,0.02279219413356721
TNFSF18,-0.028381965960297788,-0.017627922679411212,-0.02528979456029738,,,0.08133342739202279,0.019682473371126198,,,0.011812871759956305,,,-0.01878897290703039,,-0.0085519290105815,0.04941066900478419
IL36G,,,,,,,,,0.04383459165519393,,,,,,,
RTN4,-0.019628149819517847,0.002691019361149307,0.06156640312386088,-0.03737992796953153,0.029139021340214684,-0.09719146026181823,-0.06318173541006677,-0.029691298598951237,0.001120997444560068,-0.03764107050289634,-0.08963726544651444,0.02210981772559594,-0.032581251111270866,-0.031238250718361022,0.014334329946735048,-0.07291953684486437
HEBP1,-0.023687896146983682,-0.0009331163371269259,-0.014505614900038478,0.02923654191983834,-0.013662893008256507,0.06642539749431592,-0.033531611652275646,-0.007954264589691559,0.04473945987410792,0.07528844366377314,-0.046563415477395315,0.014962985808370239,-0.05085616618345168,0.009719919121565548,0.01911650704816702,-0.028531824761191576
WNT7B,0.037546520768773406,-0.03483633933131189,0.06576243890865528,-0.028339109467699384,-0.022912560325882105,-0.03964455024306287,0.036571566559293896,-0.046045325288869766,-0.02331712092446439,,0.01617636333456936,-0.006151876514010744,0.015597682810001937,-0.02233890984864436,0.19945128697950906,0.03885752270871826
PTMA,-0.09275245978102978,-0.05649005726835477,-0.0517327471704034,0.013289479160510327,0.005190311296882813,-0.102724233754737,0.02155997922615756,-0.0027846762405875163,0.039094799009110934,0.12709743845088248,-0.08343900422217382,0.012671017179498006,-0.0541871772639636,0.06704774248749343,-0.10105584995528741,-0.0021102299739578882
FASLG,,,,,,,,,,,,,,,-0.005427722901108248,
CEACAM1,,-0.018547732711016715,-0.012055894112058525,-0.03272354673730552,-0.01926856149567282,0.03913424863254538,-0.0020945332285822876,,,-0.04595263104190497,-0.01514388176919595,0.028521297263988728,-0.02699779247208108,-0.014826659356958415,0.006867898640210485,
PDAP1,0.05380886033532891,-0.03375096161232517,0.02491676381791087,0.02413586237178461,-0.047213183387159775,0.06314676334231593,0.018367591036785622,0.022839024184583858,0.03561283061780821,0.018017583772493535,-0.009091989751573605,-0.0020147400524069556,0.05186338757828677,0.004707165491804724,0.03196977953330002,0.025471119703801996
QDPR,0.03178339984901766,0.0009199654526695917,-0.014280397464892179,-0.02167100984806527,0.00966595088028638,-0.09429720637699111,-0.07565656040807549,0.009904515108831898,0.037043082597659586,0.027779990674231095,-0.16057852324669333,0.04386761536223484,-0.0161906448633131,-0.019953069634998568,0.045035698750341746,-0.0186734313905203
POMC,-0.020530198420902947,-0.04396019833961556,0.008188945049828315,-0.030473494431373493,0.06734096939750514,-0.01604051450942592,0.011355778646161696,-0.024222568865598783,0.006507918627427131,0.045506064197055135,-0.012617675895792812,0.018382059689962482,-0.01455558371193028,0.02256791340659174,-0.014957641166390027,-0.012453234747546258
CCL18,0.036111274482606995,0.021438837917261984,,,,,,0.0002526659912934515,,,-0.024959912874483986,-0.03332792876755064,,0.023061967799888356,,
CCL17,,,,-0.018966972427559212,,,-0.019808621038313053,,-0.002348487010006997,,,-0.012920607013838082,-0.024020749950233924,,0.11773948985671369,
VEGFD,-0.01678351831605537,-0.023145825308748764,-0.017267649549130168,-0.021131301801764327,0.062350942428104746,-0.029159615824138178,-0.021104410280103934,-0.016365746685472676,-0.020770144858183112,0.14176406179605833,,,-0.025334477209387512,,,
TNFSF13,,-0.017466582523159167,,-0.013082993087152795,,,,,,,,-0.024792704154607683,0.05259049013853202,-0.016649344737564884,0.029018268679768727,-0.01115124501920718
WNT5A,0.029635455207937474,0.04615713482026333,-0.038601385087047614,0.012200849460122834,-0.0667961931325253,0.08479111092632353,-0.04072496161926511,-0.034976993205851035,0.10817326669998789,0.0334734232442648,0.06330605858822237,-0.026762352140809825,0.024391271874029147,0.015274456448445368,0.01377720861863644,0.06819718521334894
CXCL8,-0.08340579744843256,0.08738203441890346,-0.01616840355157588,0.006090673419803423,-0.02391857883485841,0.04794138084956068,-0.010623518465419118,-0.033348416491555066,0.004895286074191613,0.004901030082028316,0.10435733556269482,0.01552189401769399,0.05596565872438666,0.06522955203001266,-0.017402684724877545,0.06559881250780113
