,UKF243,UKF248,UKF260,UKF275,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk
IGFL3,,,,,,,,,-0.016113800555777956
BMP1,-0.0025896195494059682,-0.03367081480130139,0.03298528798790606,-0.02564105059097011,0.0721489797731332,-0.09013022184608839,-0.011749895516564687,0.039052088994988944,0.013111770547713968
NDP,0.01697653630640808,-0.030018824918775375,0.045266506855952834,0.026968591129673605,0.04403089580244782,0.06390644672633922,-0.03431165736131238,-0.006388588359518249,0.03043411040362708
TNFSF18,0.06251127877445922,-0.029141446515231772,,-0.011674764661574738,,0.013562480656180232,,,0.07382407215572136
IL36G,,,,,0.033356633729058935,,,,
RTN4,-0.04211660693127437,-0.02239580454173723,-0.0005871252058100797,-0.016784863131873762,-0.053908697603811354,0.014101109929042352,-0.026329941781530704,-0.028874726428361558,-0.05161901293338421
HEBP1,0.03343155932162201,0.02259419432949124,0.0341150189150364,-0.032055958394469626,0.027203171239475767,0.0594337358854706,0.031950816463981506,-0.018219730626204498,0.038795247457839355
WNT7B,-0.04038531648604074,0.002090131165723749,0.011248409388803227,0.0422582652809657,0.011129413154722927,,-0.01082859953024911,-0.03178788401209902,-0.004502714587558711
PTMA,0.02352236574127749,-0.016566894504947662,-0.019150777301041522,-0.05408801188596336,0.0713327564899156,0.0032914148910021647,0.023243459848301767,-0.029595515389228652,-0.009182897098722748
CEACAM1,,-0.018547732065290198,0.09707960771918789,-0.01836162348633581,,0.00946273196230215,-0.019823719700785305,0.011135661510970306,-0.023878155882344956
PDAP1,0.04531408015669109,-0.03602170460644468,0.0029361758157847645,0.03682469826745623,0.05827014974703042,-0.0037511577441173183,-0.016227809802116046,-0.030476383755518255,-0.005622368456374741
QDPR,-0.03686484940843819,-0.0461341757288986,0.048686462922334424,-0.006881715866355818,-0.08688520587073054,0.04649013041520922,-0.03628135849343944,-0.00911781510346687,0.018272613658957722
POMC,-0.023490345558823334,0.006891349094370207,-0.02656303041140286,-0.013546473694648937,-0.008213002573323637,-0.04395802936673068,-0.008399354365767454,0.059870960732834745,-0.04189180894010831
CCL18,-0.034836060266611776,-0.023145817153061795,,,,,-0.03627716388291296,0.01619579363263233,
CCL17,,,,-0.01456070453984554,-0.017474659654542007,,-0.014063969632702927,0.01485997216523993,-0.02124511521879636
VEGFD,0.021910354987280476,-0.023145824502942825,-0.0126297301036406,0.002590961097837293,-0.0007729187994520255,-0.053134427569909236,,0.11503642084910977,-0.022407039265489984
TNFSF13,,0.0211080136114082,,,,,-0.026986645284509222,-0.024163799700745715,-0.022782638587779215
WNT5A,-0.10247563195251001,0.008129051390110083,0.021788255132358873,0.005137406354324036,0.024152240262668705,-0.1071333006627436,0.04763056177785318,-0.04972860218584287,0.013068231806722745
CXCL8,0.0017073352844319838,0.06330683288482128,0.005357037212729004,-0.011973277290778041,0.029901111449019552,-0.03878302086587093,0.08383969360172444,-0.07882924183742591,0.03741001831517958
GRN,-0.04530588133883089,-0.05462079684965297,-0.013359531610978964,0.00011463194117285753,0.02569017067167267,0.02128873230524485,-0.04565744222673944,-0.023577627365482894,0.0035096075690082794
MIA,0.017367918866083753,-0.04611446805687871,-0.01598772533170474,-0.02861925738073749,-0.02564903777808772,-0.023828591818751303,0.03995769355283501,0.12038886418378521,-0.025789545453280112
