,UKF248,UKF251,UKF259,UKF275,ZH1007inf,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.02205952291188032,0.025903528546987686,
BMP1,0.05254571579459407,0.052779312106173856,-0.005003694301850405,0.08424739048233598,0.04187293609872496,0.060042120024929715,0.13183505465994644,0.12484760023016507,0.020782960924093798
NDP,-0.02892536817027458,-0.006878114052347609,-0.02074545181586707,-0.04116891530953394,0.07231264283129413,-0.10668413035483239,0.04765010986099996,-0.07262134978010705,-0.011075157881020896
TNFSF18,-0.00037360534889415505,-0.0026894839026334097,,0.1392137798187575,-0.02773833228209194,,0.023094478722666095,0.07762505520797383,0.05436145791432655
RTN4,-0.04434446231741663,-0.06312023422195435,0.04040567106298483,-0.06800522103141175,0.09785451715161449,0.017749791594154036,-0.11995347697544195,-0.027727865876400085,-0.07969906399959545
HEBP1,0.020981069858759943,-0.0026962803810480175,0.045728766944003595,-0.030328051768060433,-0.024178305460866106,0.06124536395382997,0.025403293625159556,0.04012790806540267,0.012357090881750346
WNT7B,-0.013737687340994661,0.019927768575587555,-0.011048937082005396,0.007560372599954418,0.06637814704880378,-0.028016745830648424,0.06824287129265974,-0.010297143716885192,0.012405107683585414
PTMA,-0.029042537983354516,-0.016024638277810213,0.01883313777022451,-0.019132092227238634,0.07747459890521702,0.06488966149276869,-0.14466269765731843,0.12911314180197248,0.038636590181342516
FASLG,,,,,,,,0.08726981493576946,
CEACAM1,0.047480835155637446,-0.013221173748456687,-0.027022233973989004,-0.014032876020334331,,0.08592321387974759,-0.03268879523218152,0.13161807149614835,
PDAP1,-0.012090596795440703,-0.015787704548872402,0.0047293587287737,0.008947869339584365,0.009119693242856301,0.05405513897539762,0.05658929287047422,0.01157085270861176,-0.06550751595198875
QDPR,0.004867114743928951,-0.02036239806997173,-0.042148772318210556,-0.04207422735597459,-0.025548793706737617,0.0007710969765930331,-0.11331095529702571,-0.07424958161774947,0.007720698739876811
