,MGH258,UKF243,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.02668685956636296,,,,,,,,,0.0013184114226786157,
BMP1,0.06176327867286517,0.04244981415535325,0.0030178351670294788,0.003411338341972333,0.03422399395611717,0.024326035079208514,0.026961189545623317,0.12586971525636637,0.04212805211881666,0.032177446358907916,0.10729754537549684,0.059815945781520045,0.03722504451089689,-0.036707923250950965,-0.02459956199191233,0.10066849133547695,-0.03467339364443694,0.06382931653413836
NDP,0.01014295111650164,0.054153152253784025,0.03107756369505418,0.025548458195283345,-0.011101201980600578,-0.025034778607386766,0.022066855881746242,0.031938981169477874,-0.008177614669817384,-0.05302555851944881,0.0018417790058772063,0.024002289607251124,-0.010403594199106287,-0.04426294655664081,0.08701853912108524,0.03419251238429709,0.019459016567491928,0.0810263458512356
TNFSF18,0.029515138421894117,0.07250551703325211,0.005672899444162217,,,,-0.0175099605147944,0.04012436264578478,-0.013506324955319626,,,,,,0.00451180671439845,,-0.047978763568153455,-0.03441680127331751
IL36G,,,,,,,,,,,,,-0.018081046357990037,,,,,
RTN4,-0.09499735286815342,-0.09749137535190655,-0.0012567349730380208,-0.03521860349346711,-0.024071134763990983,0.015341679643607163,-0.05743096896146907,-0.1812894987815199,0.02749754922292519,0.016333881046842205,-0.01824583909252015,-0.049744540764875375,-0.04930365324967709,-0.04911397140094867,-0.00303139057313814,-0.06403770172575672,-0.05907362898505911,-0.01337962026161654
HEBP1,0.02144498773044025,-0.05978269713107174,0.06252056536540132,-0.014178691477216943,-0.0008976753225446436,0.00894115665509621,0.05810145838110919,0.0882075429265096,0.004188621282492397,0.03782363144805943,0.10257187345986257,-0.0029094818764185348,-0.01205176074521398,-0.03999866019194007,-0.045110011290653604,-0.02181862099410627,0.04062430226184859,-0.053568215896426595
WNT7B,-0.028055832497144072,-0.015527649446875824,0.04464630369536758,0.011379236850463008,-0.019565709160909907,0.03511968421913309,0.04316968967541282,-0.09192658290491744,0.009991427176720746,-0.01022901491706758,,-0.0013302623147957175,-0.0198731536325175,0.0023166747081761322,,-0.034477280638715524,0.036030865461772976,0.03537161357283454
PTMA,-0.04615255291728425,-0.05176766614324383,0.02138725708101283,0.0879545739791564,-0.015766355152236313,0.02037134929749888,0.09198385012661382,-0.057320162975824034,0.011491881600386375,0.001596817006302378,0.024913625842992115,0.05885462813765994,0.042205080509141006,-0.11746107120595613,-0.010848989880699812,-0.02819433115797858,-0.0466694789306598,-0.022385714826786716
FASLG,-0.028055840428456047,,,,,,,,,,,,,,,,-0.024668865213311596,
